,model,interface_size_norm,model_size_norm
0,Elo_0,0.11560693641618497,1.0
1,Elo_1,0.10982658959537572,1.0
2,Elo_2,0.14450867052023122,1.0
3,Elo_3,0.12138728323699421,1.0
4,Elo_4,0.15028901734104047,1.0
5,avg_refine_0,0.12138728323699421,1.0
6,avg_refine_1,0.11560693641618497,1.0
7,avg_refine_2,0.12138728323699421,1.0
8,avg_refine_3,0.12138728323699421,1.0
9,avg_refine_4,0.12138728323699421,1.0
10,default_af_0,0.20809248554913296,1.0
11,default_af_1,0.26011560693641617,1.0
12,default_af_2,0.1907514450867052,1.0
13,default_af_3,0.26011560693641617,1.0
14,default_af_4,0.32947976878612717,1.0
15,default_af_5,0.2023121387283237,1.0
16,default_af_6,0.3063583815028902,1.0
17,default_af_7,0.06358381502890173,1.0
18,default_af_8,0.34104046242774566,1.0
19,default_af_9,0.3236994219653179,1.0
20,default_comp_0,0.12716763005780346,1.0
21,default_comp_1,0.11560693641618497,1.0
22,default_comp_2,0.1329479768786127,1.0
23,default_comp_3,0.1329479768786127,1.0
24,default_comp_4,0.1329479768786127,1.0
25,default_comp_5,0.12716763005780346,1.0
26,default_comp_6,0.1329479768786127,1.0
27,default_comp_7,0.15028901734104047,1.0
28,default_comp_8,0.31213872832369943,1.0
29,default_comp_9,0.6127167630057804,1.0
30,default_multimer_0,0.11560693641618497,1.0
31,default_multimer_1,0.15028901734104047,1.0
32,default_multimer_2,0.12138728323699421,1.0
33,default_multimer_3,0.12138728323699421,1.0
34,default_multimer_4,0.10404624277456648,1.0
35,default_multimer_5,0.12716763005780346,1.0
36,default_multimer_6,0.12716763005780346,1.0
37,default_multimer_7,0.1676300578034682,1.0
38,default_multimer_8,0.09248554913294797,1.0
39,default_multimer_9,0.5838150289017341,1.0
40,default_pdb70_0,0.11560693641618497,1.0
41,default_pdb70_1,0.11560693641618497,1.0
42,default_pdb70_2,0.12138728323699421,1.0
43,default_pdb70_3,0.12138728323699421,1.0
44,default_pdb70_4,0.12138728323699421,1.0
45,default_pdb70_5,0.12138728323699421,1.0
46,default_pdb70_6,0.12716763005780346,1.0
47,default_pdb70_7,0.1329479768786127,1.0
48,default_pdb70_8,0.16184971098265896,1.0
49,default_pdb70_9,0.08092485549132948,1.0
50,default_pdb_0,0.13872832369942195,1.0
51,default_pdb_1,0.15028901734104047,1.0
52,default_pdb_2,0.12138728323699421,1.0
53,default_pdb_3,0.23699421965317918,1.0
54,default_pdb_4,0.35260115606936415,1.0
55,default_pdb_5,0.15606936416184972,1.0
56,default_pdb_6,0.1791907514450867,1.0
57,default_pdb_7,0.12138728323699421,1.0
58,default_pdb_8,0.2832369942196532,1.0
59,default_pdb_9,0.12138728323699421,1.0
60,default_struct_0,0.11560693641618497,1.0
61,default_struct_1,0.11560693641618497,1.0
62,default_struct_2,0.11560693641618497,1.0
63,default_struct_3,0.12138728323699421,1.0
64,default_struct_4,0.12138728323699421,1.0
65,default_struct_5,0.12138728323699421,1.0
66,default_struct_6,0.12716763005780346,1.0
67,default_struct_7,0.12716763005780346,1.0
68,default_struct_8,0.14450867052023122,1.0
69,default_struct_9,0.06936416184971098,1.0
70,default_uniclust30_0,0.11560693641618497,1.0
71,default_uniclust30_1,0.14450867052023122,1.0
72,default_uniclust30_2,0.11560693641618497,1.0
73,default_uniclust30_3,0.12138728323699421,1.0
74,default_uniclust30_4,0.18497109826589594,1.0
75,default_uniclust30_5,0.12138728323699421,1.0
76,default_uniclust30_6,0.10404624277456648,1.0
77,default_uniclust30_7,0.12138728323699421,1.0
78,default_uniclust30_8,0.4913294797687861,1.0
79,default_uniclust30_9,0.1907514450867052,1.0
80,default_uniref30_22_0,0.11560693641618497,1.0
81,default_uniref30_22_1,0.12138728323699421,1.0
82,default_uniref30_22_10,0.15028901734104047,1.0
83,default_uniref30_22_11,0.12716763005780346,1.0
84,default_uniref30_22_12,0.16184971098265896,1.0
85,default_uniref30_22_13,0.12138728323699421,1.0
86,default_uniref30_22_14,0.23121387283236994,1.0
87,default_uniref30_22_15,0.12716763005780346,1.0
88,default_uniref30_22_16,0.10404624277456648,1.0
89,default_uniref30_22_17,0.11560693641618497,1.0
90,default_uniref30_22_18,0.12138728323699421,1.0
91,default_uniref30_22_19,0.16184971098265896,1.0
92,default_uniref30_22_2,0.10982658959537572,1.0
93,default_uniref30_22_20,0.3179190751445087,1.0
94,default_uniref30_22_21,0.12138728323699421,1.0
95,default_uniref30_22_22,0.23121387283236994,1.0
96,default_uniref30_22_23,0.15606936416184972,1.0
97,default_uniref30_22_24,0.16184971098265896,1.0
98,default_uniref30_22_3,0.1791907514450867,1.0
99,default_uniref30_22_4,0.12138728323699421,1.0
100,default_uniref30_22_5,0.11560693641618497,1.0
101,default_uniref30_22_6,0.12138728323699421,1.0
102,default_uniref30_22_7,0.13872832369942195,1.0
103,default_uniref30_22_8,0.11560693641618497,1.0
104,default_uniref30_22_9,0.1907514450867052,1.0
105,iter_1_0,0.11560693641618497,1.0
106,iter_1_1,0.11560693641618497,1.0
107,iter_1_2,0.11560693641618497,1.0
108,iter_1_3,0.11560693641618497,1.0
109,iter_1_4,0.1329479768786127,1.0
110,iter_1_5,0.12138728323699421,1.0
111,iter_1_6,0.2254335260115607,1.0
112,iter_1_7,0.23699421965317918,1.0
113,iter_1_8,0.10982658959537572,1.0
114,iter_1_9,0.16184971098265896,1.0
115,iter_2_0,0.11560693641618497,1.0
116,iter_2_1,0.11560693641618497,1.0
117,iter_2_2,0.12716763005780346,1.0
118,iter_2_3,0.12716763005780346,1.0
119,iter_2_4,0.11560693641618497,1.0
120,iter_2_5,0.15606936416184972,1.0
121,iter_2_6,0.15028901734104047,1.0
122,iter_2_7,0.046242774566473986,1.0
123,iter_2_8,0.08092485549132948,1.0
124,iter_2_9,0.1791907514450867,1.0
125,iter_2_ori_0,0.11560693641618497,1.0
126,iter_2_ori_1,0.11560693641618497,1.0
127,iter_2_ori_2,0.10982658959537572,1.0
128,iter_2_ori_3,0.11560693641618497,1.0
129,iter_2_ori_4,0.11560693641618497,1.0
130,iter_2_ori_5,0.10982658959537572,1.0
131,iter_2_ori_6,0.10404624277456648,1.0
132,iter_2_ori_7,0.10404624277456648,1.0
133,iter_2_ori_8,0.19653179190751446,1.0
134,iter_2_ori_9,0.18497109826589594,1.0
135,lewis_0,0.10982658959537572,1.0
136,lewis_1,0.11560693641618497,1.0
137,lewis_2,0.10982658959537572,1.0
138,lewis_3,0.11560693641618497,1.0
139,lewis_4,0.10982658959537572,1.0
140,spec_af_0,0.30057803468208094,1.0
141,spec_af_1,0.13872832369942195,1.0
142,spec_af_2,0.1791907514450867,1.0
143,spec_af_3,0.17341040462427745,1.0
144,spec_af_4,0.3930635838150289,1.0
145,spec_af_5,0.4046242774566474,1.0
146,spec_af_6,0.2774566473988439,1.0
147,spec_af_7,0.2023121387283237,1.0
148,spec_af_8,0.30057803468208094,1.0
149,spec_af_9,0.42196531791907516,1.0
150,spec_colab_iter_0,0.2543352601156069,1.0
151,spec_colab_iter_1,0.10982658959537572,1.0
152,spec_colab_iter_2,0.10982658959537572,1.0
153,spec_colab_iter_3,0.12138728323699421,1.0
154,spec_colab_iter_4,0.2023121387283237,1.0
155,spec_colab_iter_5,0.1791907514450867,1.0
156,spec_colab_iter_6,0.15606936416184972,1.0
157,spec_colab_iter_7,0.43352601156069365,1.0
158,spec_colab_iter_8,0.057803468208092484,1.0
159,spec_colab_iter_9,0.1329479768786127,1.0
160,spec_comp_0,0.2774566473988439,1.0
161,spec_comp_1,0.17341040462427745,1.0
162,spec_comp_2,0.14450867052023122,1.0
163,spec_comp_3,0.2543352601156069,1.0
164,spec_comp_4,0.2658959537572254,1.0
165,spec_comp_5,0.057803468208092484,1.0
166,spec_comp_6,0.23699421965317918,1.0
167,spec_comp_7,0.1907514450867052,1.0
168,spec_comp_8,0.5375722543352601,1.0
169,spec_comp_9,0.19653179190751446,1.0
170,spec_iter_uniprot_sto_0,0.12138728323699421,1.0
171,spec_iter_uniprot_sto_1,0.1329479768786127,1.0
172,spec_iter_uniprot_sto_2,0.12716763005780346,1.0
173,spec_iter_uniprot_sto_3,0.14450867052023122,1.0
174,spec_iter_uniprot_sto_4,0.16184971098265896,1.0
175,spec_iter_uniprot_sto_5,0.1329479768786127,1.0
