,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,avg_refine_0,avg_refine_1,avg_refine_2,avg_refine_3,avg_refine_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_comp_0,default_comp_1,default_comp_2,default_comp_3,default_comp_4,default_comp_5,default_comp_6,default_comp_7,default_comp_8,default_comp_9,default_img_0,default_img_1,default_img_2,default_img_3,default_img_4,default_img_5,default_img_6,default_img_7,default_img_8,default_img_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_pdb70_0,default_pdb70_1,default_pdb70_2,default_pdb70_3,default_pdb70_4,default_pdb70_5,default_pdb70_6,default_pdb70_7,default_pdb70_8,default_pdb70_9,default_pdb_0,default_pdb_1,default_pdb_2,default_pdb_3,default_pdb_4,default_pdb_5,default_pdb_6,default_pdb_7,default_pdb_8,default_pdb_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_2,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,img_multimer_0,img_multimer_1,img_multimer_2,img_multimer_3,img_multimer_4,img_multimer_5,img_multimer_6,img_multimer_7,img_multimer_8,img_multimer_9,iter_1_0,iter_1_1,iter_1_2,iter_1_3,iter_1_4,iter_1_5,iter_1_6,iter_1_7,iter_1_8,iter_1_9,iter_1_old_0,iter_1_old_1,iter_1_old_2,iter_1_old_3,iter_1_old_4,iter_1_old_5,iter_1_old_6,iter_1_old_7,iter_1_old_8,iter_1_old_9,iter_2_old_0,iter_2_old_1,iter_2_old_2,iter_2_old_3,iter_2_old_4,iter_2_old_5,iter_2_old_6,iter_2_old_7,iter_2_old_8,iter_2_old_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,spec_af_0,spec_af_1,spec_af_2,spec_af_3,spec_af_4,spec_af_5,spec_af_6,spec_af_7,spec_af_8,spec_af_9,spec_comp_0,spec_comp_1,spec_comp_2,spec_comp_3,spec_comp_4,spec_comp_5,spec_comp_6,spec_comp_7,spec_comp_8,spec_comp_9,spec_iter_uniprot_sto_0,spec_iter_uniprot_sto_1,spec_iter_uniprot_sto_2,spec_iter_uniprot_sto_3,spec_iter_uniprot_sto_4,spec_iter_uniprot_sto_5,spec_iter_uniprot_sto_6,spec_iter_uniprot_sto_7,spec_iter_uniprot_sto_8,spec_iter_uniprot_sto_9,spec_iter_uniref_a3m_0,spec_iter_uniref_a3m_1,spec_iter_uniref_a3m_2,spec_iter_uniref_a3m_3,spec_iter_uniref_a3m_4,spec_iter_uniref_a3m_5,spec_iter_uniref_a3m_6,spec_iter_uniref_a3m_7,spec_iter_uniref_a3m_8,spec_iter_uniref_a3m_9,spec_iter_uniref_sto_0,spec_iter_uniref_sto_1,spec_iter_uniref_sto_2,spec_iter_uniref_sto_3,spec_iter_uniref_sto_4,spec_iter_uniref_sto_5,spec_iter_uniref_sto_6,spec_iter_uniref_sto_7,spec_iter_uniref_sto_8,spec_iter_uniref_sto_9,spec_pdb70_0,spec_pdb70_1,spec_pdb70_2,spec_pdb70_3,spec_pdb70_4,spec_pdb70_5,spec_pdb70_6,spec_pdb70_7,spec_pdb70_8,spec_pdb70_9,spec_pdb_0,spec_pdb_1,spec_pdb_2,spec_pdb_3,spec_pdb_4,spec_pdb_5,spec_pdb_6,spec_pdb_7,spec_pdb_8,spec_pdb_9,spec_struct_0,spec_struct_1,spec_struct_2,spec_struct_3,spec_struct_4,spec_struct_5,spec_struct_6,spec_struct_7,spec_struct_8,spec_struct_9,uniclust_oxmatch_a3m_0,uniclust_oxmatch_a3m_1,uniclust_oxmatch_a3m_2,uniclust_oxmatch_a3m_3,uniclust_oxmatch_a3m_4,uniclust_oxmatch_a3m_5,uniclust_oxmatch_a3m_6,uniclust_oxmatch_a3m_7,uniclust_oxmatch_a3m_8,uniclust_oxmatch_a3m_9
0,1.0,0.98606,0.98396,0.98534,0.99318,0.99766,0.95587,0.96378,0.96212,0.95805,0.99121,0.99109,0.99245,0.99246,0.99147,0.99151,0.99245,0.99241,0.99274,0.99276,0.99976,0.98585,0.99886,0.9858,0.99983,0.9977,0.98509,0.99503,0.98338,0.98357,0.99828,0.9922,0.98589,0.98568,0.98612,0.99196,0.98447,0.9875,0.98597,0.98365,0.98531,0.98498,0.99686,0.98522,0.98178,0.98352,0.99055,0.98175,0.98525,0.98243,0.99824,0.98573,0.99333,0.9853,0.9996,0.98768,0.98563,0.9812,0.98562,0.9842,0.99791,0.9935,0.99877,0.99724,0.99356,0.99834,0.986,0.98578,0.96765,0.98291,0.99813,0.98588,0.98551,0.99266,0.98777,0.99316,0.98415,0.98754,0.98592,0.97904,0.98585,0.98552,0.98409,0.98322,0.9937,0.98205,0.98743,0.98156,0.98429,0.98214,0.98513,0.98638,0.98517,0.98739,0.98634,0.98231,0.98668,0.99034,0.98413,0.9842,0.98982,0.99104,0.98808,0.98855,0.98708,0.976,0.98931,0.98924,0.97935,0.97642,0.99945,0.99389,0.99779,0.99482,0.98304,0.99303,0.98085,0.98641,0.98603,0.98742,0.99448,0.98595,0.98482,0.98173,0.9855,0.98737,0.98431,0.9793,0.9864,0.97875,0.98649,0.98515,0.98501,0.99554,0.98536,0.98047,0.98705,0.98156,0.98672,0.98503,0.99397,0.99399,0.98571,0.9857,0.98565,0.99279,0.99232,0.99176,0.99172,0.99281,0.99315,0.99312,0.99275,0.99257,0.99257,0.94304,0.85418,0.94343,0.85527,0.85195,0.95126,0.91807,0.91275,0.9279,0.92725,0.99628,0.99804,0.9968,0.99611,0.99664,0.99628,0.99497,0.99458,0.99269,0.98884,0.85365,0.92199,0.90278,0.90338,0.93509,0.90266,0.85915,0.93603,0.92319,0.84086,0.9985,0.9986,0.99856,0.99828,0.99764,0.99751,0.99627,0.99626,0.98978,0.98829,0.85299,0.8524,0.89254,0.90226,0.94126,0.90309,0.91751,0.85628,0.91263,0.9299,0.85643,0.94357,0.85576,0.8977,0.92621,0.95291,0.90903,0.90176,0.9272,0.86457,0.94555,0.93976,0.91096,0.96277,0.9371,0.92246,0.93632,0.85776,0.85785,0.85633,0.94934,0.90054,0.857,0.9004,0.85816,0.94443,0.90023,0.91819,0.90145,0.92504
1,0.98606,1.0,0.99804,0.99955,0.98121,0.98491,0.95987,0.96337,0.9593,0.95571,0.97842,0.97827,0.98085,0.98091,0.97851,0.97851,0.98088,0.98085,0.9812,0.98105,0.98582,0.99983,0.98614,0.99965,0.9857,0.98654,0.99785,0.98402,0.99794,0.99767,0.98587,0.98845,0.99972,0.99783,0.99985,0.98847,0.99462,0.99708,0.99683,0.99792,0.99953,0.99911,0.98575,0.99807,0.99186,0.99351,0.98997,0.99215,0.99646,0.99338,0.98631,0.99977,0.98913,0.99751,0.98615,0.99701,0.99872,0.99535,0.99681,0.99369,0.98695,0.98924,0.98656,0.9863,0.98914,0.98663,0.9998,0.99733,0.98308,0.99234,0.98706,0.99968,0.99814,0.98833,0.99684,0.9885,0.99538,0.99831,0.99703,0.99306,0.99979,0.9995,0.99684,0.99227,0.98254,0.9923,0.98934,0.99201,0.99596,0.99328,0.99923,0.99967,0.99807,0.99773,0.99662,0.99264,0.98562,0.98971,0.9954,0.99579,0.97591,0.97716,0.97605,0.97677,0.97541,0.98875,0.97748,0.97703,0.96736,0.98697,0.98549,0.98154,0.98628,0.98404,0.99129,0.98868,0.99402,0.99728,0.997,0.99709,0.98255,0.99417,0.99164,0.98638,0.99011,0.98868,0.9919,0.96647,0.99511,0.98701,0.99523,0.99318,0.98964,0.98398,0.99297,0.96744,0.99362,0.98753,0.97479,0.98645,0.9819,0.98183,0.99966,0.9997,0.9997,0.98094,0.98049,0.97993,0.97989,0.98143,0.98135,0.98132,0.98145,0.98056,0.98056,0.93804,0.84427,0.94745,0.84494,0.84164,0.9568,0.91126,0.9054,0.91783,0.91644,0.98516,0.98493,0.98467,0.9841,0.98404,0.98546,0.98328,0.98317,0.982,0.9772,0.8432,0.91556,0.90309,0.90702,0.92637,0.90429,0.84865,0.92829,0.91065,0.83085,0.986,0.98659,0.98669,0.98592,0.98621,0.98596,0.98487,0.98493,0.97897,0.97788,0.84198,0.84177,0.89551,0.90513,0.94266,0.89794,0.90423,0.86029,0.91292,0.9172,0.84583,0.9379,0.84514,0.90189,0.9183,0.94628,0.91154,0.90436,0.92352,0.8565,0.94027,0.93559,0.9063,0.95383,0.93966,0.91472,0.92766,0.84692,0.84727,0.86228,0.94254,0.90523,0.84644,0.90519,0.84814,0.93512,0.90333,0.90756,0.90535,0.91299
2,0.98396,0.99804,1.0,0.99895,0.98451,0.98576,0.96215,0.96575,0.95958,0.95697,0.97796,0.97782,0.98049,0.9806,0.97827,0.97826,0.9803,0.98027,0.98087,0.98072,0.98349,0.99765,0.98546,0.99715,0.98329,0.98616,0.99611,0.98645,0.998,0.99876,0.98593,0.98572,0.99756,0.99702,0.99788,0.98577,0.99731,0.99525,0.9977,0.99819,0.99909,0.99956,0.98685,0.99771,0.99489,0.99674,0.98981,0.99518,0.99815,0.99672,0.98573,0.99825,0.98685,0.99589,0.98382,0.99566,0.99734,0.99817,0.99802,0.99619,0.98556,0.9867,0.98532,0.98658,0.98669,0.98585,0.99787,0.99777,0.98141,0.99501,0.98602,0.99752,0.99688,0.9856,0.99613,0.98612,0.9975,0.99698,0.99782,0.99278,0.99836,0.99916,0.99815,0.9956,0.98588,0.99547,0.99187,0.99518,0.9984,0.99647,0.99952,0.99865,0.99756,0.99664,0.99732,0.99575,0.9885,0.99004,0.99817,0.99814,0.97964,0.98079,0.9796,0.98024,0.9787,0.99168,0.98092,0.98037,0.96963,0.98972,0.98345,0.98487,0.98597,0.98639,0.99483,0.98664,0.99698,0.99724,0.99746,0.99611,0.98315,0.99482,0.99163,0.98823,0.99031,0.98924,0.99341,0.96934,0.99519,0.98865,0.9952,0.99437,0.98948,0.98459,0.9941,0.97024,0.99396,0.98891,0.97692,0.98901,0.98502,0.98493,0.99777,0.99784,0.99793,0.98069,0.98059,0.97902,0.97902,0.98083,0.98113,0.9811,0.98105,0.98026,0.98025,0.93981,0.84449,0.94743,0.84627,0.84251,0.96047,0.91319,0.90934,0.91833,0.91752,0.9848,0.98421,0.98516,0.9851,0.98428,0.9837,0.98392,0.98422,0.98192,0.97651,0.84383,0.91704,0.90622,0.9085,0.9271,0.90749,0.85086,0.93089,0.91304,0.83239,0.98326,0.98502,0.98491,0.98311,0.98385,0.98363,0.98357,0.98307,0.97478,0.97344,0.84282,0.84249,0.89823,0.90671,0.94373,0.9006,0.90961,0.86399,0.91537,0.91986,0.84681,0.93853,0.84631,0.90451,0.91918,0.94792,0.91461,0.90576,0.92535,0.86034,0.94106,0.93776,0.91066,0.95753,0.94025,0.917,0.93011,0.84784,0.84828,0.86626,0.94433,0.90869,0.84684,0.90815,0.8487,0.93752,0.90581,0.91091,0.90844,0.91571
3,0.98534,0.99955,0.99895,1.0,0.98206,0.98489,0.96003,0.96318,0.95864,0.95469,0.97826,0.9781,0.98022,0.97968,0.97832,0.97832,0.98031,0.97967,0.98,0.97986,0.98502,0.99942,0.98596,0.99912,0.98486,0.98637,0.99783,0.9847,0.99903,0.99885,0.98587,0.98787,0.99928,0.99783,0.9994,0.98799,0.99548,0.99679,0.9978,0.99892,0.99986,0.99961,0.98611,0.99822,0.99273,0.99432,0.99014,0.99306,0.99725,0.9945,0.98622,0.99962,0.98855,0.99759,0.98542,0.99679,0.99862,0.99664,0.99773,0.99438,0.98654,0.98862,0.98632,0.98638,0.98857,0.98662,0.99945,0.99821,0.98381,0.99292,0.98695,0.99927,0.99803,0.98771,0.99665,0.98793,0.99628,0.99809,0.9979,0.99379,0.99969,0.99974,0.99741,0.9931,0.98334,0.99322,0.99021,0.99291,0.99705,0.99436,0.99974,0.99965,0.99821,0.99769,0.99696,0.99359,0.98656,0.99002,0.99655,0.99699,0.9765,0.97778,0.97678,0.97757,0.97581,0.98928,0.97823,0.97775,0.96765,0.98763,0.98472,0.98215,0.98618,0.9848,0.99202,0.98813,0.99472,0.99788,0.99785,0.99676,0.98213,0.99389,0.99095,0.986,0.98939,0.98871,0.99215,0.96622,0.99475,0.98754,0.99484,0.99293,0.98866,0.98382,0.99276,0.96724,0.99336,0.98763,0.97454,0.98714,0.98266,0.98254,0.99941,0.99945,0.99948,0.981,0.98064,0.97867,0.97864,0.98153,0.98143,0.9814,0.98155,0.97928,0.97928,0.93692,0.84354,0.94556,0.84416,0.84112,0.95606,0.91053,0.90442,0.91623,0.91512,0.98469,0.98447,0.98434,0.98393,0.98357,0.9847,0.9828,0.98287,0.98168,0.97684,0.84233,0.91499,0.90274,0.9056,0.92678,0.90403,0.84823,0.92788,0.9097,0.8294,0.98524,0.98621,0.98625,0.98509,0.98546,0.98532,0.98423,0.98414,0.97794,0.97693,0.84236,0.841,0.89471,0.90377,0.94084,0.89619,0.90348,0.85923,0.91209,0.91677,0.84493,0.93622,0.84427,0.90099,0.91716,0.945,0.91082,0.90284,0.92272,0.85575,0.93824,0.9345,0.9059,0.9535,0.93778,0.91411,0.92714,0.84615,0.84681,0.86145,0.94146,0.90485,0.84573,0.90446,0.84742,0.9347,0.90234,0.90738,0.90474,0.91228
4,0.99318,0.98121,0.98451,0.98206,1.0,0.99585,0.95432,0.96254,0.95933,0.95687,0.98817,0.98805,0.98946,0.98959,0.98866,0.98866,0.98907,0.98905,0.98979,0.98967,0.99314,0.98061,0.9946,0.98019,0.99281,0.99546,0.97961,0.99829,0.98135,0.98279,0.99589,0.98445,0.98054,0.98144,0.98109,0.98429,0.98757,0.98179,0.98454,0.98147,0.98222,0.98314,0.9966,0.98195,0.98698,0.987,0.98779,0.98701,0.98548,0.98795,0.99531,0.98132,0.98612,0.97999,0.99323,0.98247,0.98171,0.9853,0.98492,0.98761,0.99424,0.98622,0.99383,0.99589,0.98633,0.99423,0.98117,0.98387,0.96477,0.98749,0.99414,0.98058,0.98062,0.98488,0.98337,0.98586,0.98616,0.98315,0.98444,0.9771,0.98144,0.98258,0.98333,0.98807,0.99901,0.98692,0.99004,0.98706,0.98609,0.98779,0.98305,0.98266,0.98174,0.98215,0.98454,0.98679,0.99216,0.98846,0.98661,0.98609,0.99577,0.99718,0.99563,0.99603,0.99391,0.98194,0.99661,0.99609,0.9857,0.98253,0.99313,0.99853,0.99525,0.99786,0.98802,0.9864,0.98598,0.9836,0.98384,0.98373,0.99326,0.98462,0.9821,0.98249,0.98327,0.98624,0.98495,0.98304,0.9836,0.97756,0.984,0.98452,0.98196,0.99299,0.98412,0.98392,0.98407,0.98234,0.98834,0.98731,0.9996,0.99954,0.98079,0.98085,0.98091,0.98959,0.98932,0.98863,0.98865,0.9895,0.99006,0.99004,0.98969,0.98936,0.98934,0.94289,0.85464,0.94249,0.85617,0.8524,0.95324,0.9168,0.91731,0.92863,0.92732,0.99435,0.9944,0.99502,0.9951,0.99477,0.99268,0.99422,0.99438,0.9915,0.98689,0.85416,0.92057,0.90571,0.90387,0.93204,0.90546,0.86099,0.93557,0.92399,0.84137,0.9919,0.99345,0.99325,0.99176,0.99263,0.99242,0.99233,0.99154,0.98265,0.98108,0.85257,0.85298,0.89486,0.90289,0.94052,0.90569,0.92218,0.85872,0.91135,0.92968,0.85636,0.94247,0.8561,0.90015,0.92541,0.95206,0.91072,0.90132,0.92639,0.86729,0.94399,0.94089,0.91567,0.96541,0.93572,0.92086,0.93629,0.85718,0.85822,0.86014,0.94996,0.90413,0.85697,0.90363,0.85895,0.94648,0.90296,0.92048,0.90536,0.92697
5,0.99766,0.98491,0.98576,0.98489,0.99585,1.0,0.95861,0.96654,0.96429,0.9614,0.99195,0.99185,0.99308,0.99316,0.99233,0.99237,0.99263,0.9926,0.99326,0.9932,0.99725,0.98417,0.99916,0.9838,0.99719,0.99829,0.98424,0.99708,0.98307,0.98427,0.999,0.98916,0.98442,0.98616,0.98484,0.9889,0.98665,0.98664,0.98658,0.98353,0.98521,0.98587,0.99869,0.9862,0.98389,0.98709,0.99097,0.98384,0.98746,0.98526,0.99834,0.98474,0.99068,0.98445,0.99707,0.98729,0.98493,0.98324,0.9865,0.98591,0.99761,0.99057,0.99843,0.99825,0.99066,0.99849,0.98458,0.98589,0.9661,0.98497,0.99773,0.98419,0.98551,0.98947,0.98836,0.99048,0.98596,0.98651,0.98634,0.97838,0.98502,0.98581,0.98677,0.9864,0.9967,0.98415,0.98986,0.98382,0.98648,0.98481,0.98574,0.98589,0.98596,0.9862,0.98837,0.98436,0.98901,0.99149,0.98628,0.98577,0.99256,0.99365,0.99112,0.99147,0.98979,0.97863,0.99257,0.99225,0.9813,0.97878,0.99749,0.99749,0.99851,0.99683,0.98664,0.99098,0.98333,0.98647,0.98618,0.98698,0.99637,0.98789,0.98572,0.98408,0.98658,0.98845,0.98618,0.98249,0.9872,0.98039,0.98766,0.98764,0.98557,0.99653,0.98711,0.98354,0.98779,0.98396,0.98951,0.98821,0.99641,0.9965,0.98442,0.98447,0.9845,0.99339,0.99342,0.99248,0.99253,0.99283,0.9936,0.99356,0.9932,0.9931,0.99309,0.94692,0.85605,0.94565,0.85776,0.85396,0.95619,0.92187,0.91931,0.93137,0.93146,0.99744,0.99784,0.99902,0.99874,0.99784,0.99622,0.9972,0.99707,0.99386,0.98929,0.85499,0.92505,0.90702,0.90709,0.93778,0.90688,0.86185,0.94065,0.9278,0.84581,0.99586,0.99775,0.9975,0.99564,0.9961,0.99595,0.99578,0.99519,0.98589,0.98419,0.85407,0.85369,0.89647,0.906,0.9449,0.90763,0.92419,0.86141,0.91679,0.93443,0.85811,0.94675,0.85772,0.9014,0.92962,0.95676,0.91377,0.90504,0.93169,0.86996,0.94934,0.94438,0.91699,0.96719,0.94054,0.92615,0.94127,0.85904,0.85985,0.86141,0.95372,0.90491,0.85748,0.90452,0.8591,0.94885,0.90404,0.92264,0.90552,0.92876
6,0.95587,0.95987,0.96215,0.96003,0.95432,0.95861,1.0,0.98606,0.98396,0.98261,0.95011,0.95013,0.95064,0.95087,0.95174,0.95176,0.95016,0.95016,0.9512,0.95129,0.955,0.95913,0.95595,0.95858,0.95534,0.9546,0.95779,0.95445,0.95851,0.9615,0.9567,0.95498,0.95881,0.96122,0.95928,0.95423,0.96256,0.95886,0.96157,0.95903,0.9606,0.96168,0.95554,0.96078,0.96416,0.96172,0.95745,0.96406,0.96341,0.96179,0.95519,0.95976,0.95708,0.95749,0.95413,0.96026,0.95919,0.96145,0.9621,0.96118,0.95351,0.95475,0.95434,0.95485,0.95504,0.95421,0.95942,0.96128,0.93737,0.9608,0.95536,0.95952,0.9606,0.95469,0.96259,0.956,0.96217,0.96087,0.96219,0.95492,0.95999,0.96115,0.96273,0.96174,0.95475,0.96475,0.95714,0.96425,0.96217,0.96116,0.96164,0.96038,0.96005,0.96397,0.96198,0.96472,0.95556,0.95716,0.96242,0.96146,0.95796,0.95797,0.95424,0.9538,0.95375,0.9615,0.95368,0.954,0.94491,0.95975,0.95657,0.95693,0.95603,0.95534,0.96347,0.95679,0.96152,0.96118,0.96143,0.96136,0.95806,0.96655,0.96434,0.96594,0.96628,0.96131,0.96562,0.95146,0.96701,0.97701,0.96612,0.96759,0.96406,0.96169,0.96742,0.95215,0.96972,0.96704,0.95554,0.96291,0.95462,0.95469,0.95892,0.95897,0.95916,0.95114,0.95095,0.95102,0.95114,0.95001,0.95153,0.95146,0.95036,0.95214,0.95214,0.96719,0.86999,0.98381,0.87278,0.86747,0.97379,0.94435,0.93292,0.94226,0.94353,0.95475,0.95645,0.95862,0.95889,0.95843,0.95049,0.95784,0.95836,0.95377,0.94881,0.86847,0.94606,0.92798,0.93635,0.95528,0.92715,0.87482,0.96156,0.9389,0.86159,0.95313,0.955,0.95428,0.95279,0.95239,0.95161,0.95435,0.95287,0.94183,0.93899,0.87141,0.86981,0.92337,0.93634,0.97611,0.92445,0.92867,0.88358,0.94374,0.94851,0.87204,0.96705,0.87304,0.92784,0.95123,0.96888,0.94519,0.93492,0.95825,0.88341,0.97276,0.97184,0.93165,0.97101,0.97443,0.94784,0.9588,0.87385,0.87312,0.88406,0.96992,0.92954,0.86917,0.92951,0.8729,0.9294,0.93185,0.93123,0.92875,0.93287
7,0.96378,0.96337,0.96575,0.96318,0.96254,0.96654,0.98606,1.0,0.99318,0.99132,0.95889,0.95892,0.95917,0.95942,0.96068,0.96071,0.95844,0.95849,0.95977,0.95984,0.96268,0.96246,0.96401,0.96195,0.96306,0.96236,0.96028,0.96239,0.96092,0.96408,0.96451,0.96187,0.96202,0.96413,0.96276,0.96104,0.9665,0.96219,0.96509,0.96153,0.9638,0.96497,0.96328,0.96373,0.96804,0.96582,0.96445,0.96776,0.96712,0.96589,0.96273,0.96294,0.96447,0.95995,0.96186,0.96374,0.96184,0.96435,0.96596,0.96619,0.96104,0.96314,0.96291,0.96273,0.96337,0.96265,0.96297,0.96488,0.94071,0.96614,0.96276,0.96269,0.96337,0.96273,0.96626,0.9641,0.96571,0.9651,0.96597,0.95893,0.96316,0.9644,0.96576,0.96601,0.96287,0.96849,0.96455,0.96803,0.96598,0.96542,0.96496,0.96407,0.96297,0.96699,0.96548,0.96838,0.96301,0.96418,0.9663,0.96533,0.96712,0.96692,0.96333,0.96271,0.96345,0.9661,0.96249,0.96283,0.95471,0.96517,0.96427,0.96518,0.96358,0.96305,0.96798,0.96508,0.96571,0.96489,0.96522,0.96591,0.967,0.97133,0.96983,0.97229,0.9719,0.97158,0.97248,0.96146,0.97188,0.97113,0.97051,0.97265,0.97007,0.97194,0.97281,0.96202,0.97424,0.97495,0.96528,0.9733,0.9628,0.96289,0.96191,0.96201,0.96216,0.95956,0.95933,0.95967,0.9598,0.95822,0.95998,0.95993,0.95855,0.96088,0.96086,0.97443,0.87104,0.97635,0.87221,0.86848,0.98178,0.94874,0.94127,0.94762,0.94621,0.96276,0.96435,0.96671,0.96704,0.96693,0.95828,0.96676,0.96712,0.96251,0.9577,0.86958,0.94782,0.9353,0.93639,0.95685,0.93316,0.87556,0.96135,0.94441,0.86526,0.96066,0.96296,0.96225,0.96045,0.96023,0.95939,0.9625,0.96095,0.94989,0.94676,0.87046,0.87014,0.92534,0.93575,0.97385,0.92958,0.93545,0.89167,0.94599,0.94526,0.87261,0.96643,0.87239,0.92921,0.95099,0.98409,0.94076,0.93463,0.95796,0.89394,0.97723,0.97323,0.9403,0.98359,0.97163,0.95551,0.96016,0.87431,0.87252,0.89191,0.97172,0.93169,0.86895,0.93097,0.87416,0.9358,0.9323,0.93993,0.93175,0.94006
8,0.96212,0.9593,0.95958,0.95864,0.95933,0.96429,0.98396,0.99318,1.0,0.99713,0.95696,0.957,0.95713,0.95732,0.95858,0.9586,0.95648,0.95653,0.95738,0.95746,0.96097,0.95712,0.96147,0.95729,0.96138,0.96049,0.95647,0.95948,0.95537,0.95871,0.96258,0.95857,0.95684,0.95993,0.95746,0.95774,0.95948,0.95664,0.95805,0.95517,0.95925,0.96004,0.96095,0.95945,0.96254,0.95839,0.96026,0.96219,0.95964,0.9583,0.96096,0.95749,0.96103,0.956,0.96025,0.9581,0.95767,0.95857,0.95851,0.95927,0.95937,0.95985,0.96007,0.96067,0.96011,0.95969,0.95756,0.9579,0.93596,0.95925,0.96115,0.95741,0.95941,0.9595,0.96021,0.9609,0.95894,0.95899,0.95875,0.95341,0.95885,0.95986,0.96085,0.95852,0.95971,0.96284,0.95935,0.96235,0.95847,0.9579,0.96004,0.95842,0.9587,0.96249,0.95904,0.9628,0.95829,0.96018,0.95853,0.95772,0.96307,0.96295,0.95976,0.95931,0.9598,0.96031,0.95878,0.95914,0.95109,0.95863,0.96248,0.96209,0.9618,0.96017,0.96059,0.96172,0.95937,0.95846,0.95847,0.96013,0.96342,0.96462,0.96287,0.96308,0.96465,0.97045,0.96637,0.95519,0.96627,0.96768,0.96418,0.96543,0.96348,0.96706,0.96683,0.95575,0.96784,0.97303,0.95997,0.97121,0.95976,0.9599,0.95774,0.95785,0.95794,0.95743,0.95709,0.95755,0.95768,0.95618,0.95754,0.95748,0.95649,0.95869,0.95867,0.98269,0.87252,0.98001,0.87518,0.87145,0.97311,0.95285,0.93659,0.95017,0.95213,0.95938,0.961,0.96354,0.96336,0.96309,0.9564,0.96338,0.96311,0.9593,0.95486,0.87155,0.9496,0.92827,0.93183,0.95843,0.92604,0.87899,0.9617,0.9455,0.86923,0.95891,0.96048,0.95989,0.95863,0.95866,0.95789,0.96,0.95876,0.94822,0.94534,0.87205,0.87185,0.91786,0.93176,0.97347,0.9259,0.93126,0.88227,0.94662,0.94454,0.87494,0.97299,0.87488,0.92373,0.95382,0.98717,0.93865,0.93297,0.95776,0.88681,0.98434,0.97789,0.93189,0.9759,0.9737,0.95734,0.96142,0.87619,0.87658,0.88237,0.97523,0.92463,0.87151,0.9242,0.87538,0.93169,0.92658,0.93507,0.92351,0.9382
9,0.95805,0.95571,0.95697,0.95469,0.95687,0.9614,0.98261,0.99132,0.99713,1.0,0.95431,0.95438,0.95433,0.95457,0.95592,0.95594,0.95355,0.95361,0.95448,0.95454,0.95691,0.95407,0.95807,0.95337,0.95727,0.95723,0.95222,0.95679,0.95201,0.95488,0.95925,0.95415,0.95375,0.95657,0.95442,0.95334,0.95783,0.95326,0.95511,0.95244,0.9553,0.95639,0.95805,0.95632,0.95995,0.95724,0.95684,0.9596,0.95791,0.95689,0.95749,0.95453,0.9567,0.95231,0.95615,0.95485,0.95405,0.95584,0.95627,0.95685,0.95577,0.95552,0.95653,0.9575,0.95577,0.95624,0.95455,0.95552,0.93318,0.95706,0.95748,0.95426,0.95531,0.95504,0.95778,0.95652,0.95697,0.95572,0.95646,0.95038,0.95474,0.95659,0.95829,0.95729,0.95731,0.96026,0.95659,0.95983,0.95685,0.95651,0.95635,0.95562,0.95547,0.95859,0.95719,0.96018,0.95552,0.9569,0.95689,0.95588,0.96085,0.96059,0.95762,0.95716,0.95772,0.95832,0.95664,0.95677,0.94923,0.95701,0.95844,0.95983,0.95845,0.95736,0.95929,0.95746,0.95753,0.95535,0.95538,0.95693,0.96051,0.96203,0.96018,0.96104,0.96186,0.96694,0.96342,0.95359,0.96353,0.96557,0.9613,0.96303,0.9608,0.96409,0.96442,0.95402,0.96498,0.97047,0.95787,0.96874,0.95729,0.95744,0.95355,0.9537,0.95379,0.9547,0.9546,0.95494,0.9551,0.9531,0.95462,0.95457,0.95367,0.95591,0.9559,0.98118,0.87146,0.97943,0.8742,0.87108,0.97226,0.95153,0.93768,0.94893,0.9524,0.95659,0.95791,0.96113,0.96115,0.96038,0.95315,0.96092,0.96087,0.95664,0.9522,0.86975,0.95136,0.92849,0.93452,0.95781,0.92683,0.87869,0.9604,0.94636,0.87193,0.95482,0.95687,0.95625,0.95459,0.95475,0.95408,0.95655,0.95517,0.94435,0.9415,0.87084,0.87078,0.91844,0.93375,0.97611,0.92728,0.93213,0.88088,0.94563,0.94381,0.87376,0.9733,0.8739,0.92532,0.95438,0.98501,0.939,0.93546,0.95766,0.88712,0.98579,0.97827,0.93287,0.97475,0.97356,0.95553,0.9634,0.87529,0.87657,0.88151,0.97567,0.92579,0.86976,0.92563,0.87469,0.9316,0.92825,0.9349,0.92462,0.93848
