,model,score,score_norm
0,T1110TS003_1o,0.8896484375,0.8896484375
1,T1110TS003_2o,0.89013671875,0.89013671875
2,T1110TS003_3o,0.8916015625,0.8916015625
3,T1110TS003_4o,0.896484375,0.896484375
4,T1110TS003_5o,0.890625,0.890625
5,T1110TS035_1o,0.90380859375,0.90380859375
6,T1110TS035_2o,0.64013671875,0.64013671875
7,T1110TS035_3o,0.65869140625,0.65869140625
8,T1110TS035_4o,0.5361328125,0.5361328125
9,T1110TS035_5o,0.5556640625,0.5556640625
10,T1110TS037_1o,0.9208984375,0.9208984375
11,T1110TS037_2o,0.794921875,0.794921875
12,T1110TS037_3o,0.9091796875,0.9091796875
13,T1110TS054_1o,0.8818359375,0.8818359375
14,T1110TS054_2o,0.87353515625,0.87353515625
15,T1110TS054_3o,0.8974609375,0.8974609375
16,T1110TS054_4o,0.87744140625,0.87744140625
17,T1110TS054_5o,0.88720703125,0.88720703125
18,T1110TS071_1o,0.888671875,0.888671875
19,T1110TS071_2o,0.89501953125,0.89501953125
20,T1110TS071_3o,0.9072265625,0.9072265625
21,T1110TS071_4o,0.904296875,0.904296875
22,T1110TS071_5o,0.89306640625,0.89306640625
23,T1110TS073_1o,0.88623046875,0.88623046875
24,T1110TS073_2o,0.8798828125,0.8798828125
25,T1110TS073_3o,0.87841796875,0.87841796875
26,T1110TS073_4o,0.8837890625,0.8837890625
27,T1110TS073_5o,0.87890625,0.87890625
28,T1110TS086_1o,0.90234375,0.90234375
29,T1110TS086_2o,0.9013671875,0.9013671875
30,T1110TS086_3o,0.89013671875,0.89013671875
31,T1110TS086_4o,0.900390625,0.900390625
32,T1110TS086_5o,0.890625,0.890625
33,T1110TS091_1o,0.58642578125,0.58642578125
34,T1110TS091_2o,0.57763671875,0.57763671875
35,T1110TS091_3o,0.580078125,0.580078125
36,T1110TS091_4o,0.57421875,0.57421875
37,T1110TS091_5o,0.56884765625,0.56884765625
38,T1110TS098_1o,0.9296875,0.9296875
39,T1110TS098_2o,0.81103515625,0.81103515625
40,T1110TS098_3o,0.775390625,0.775390625
41,T1110TS098_4o,0.9248046875,0.9248046875
42,T1110TS098_5o,0.90185546875,0.90185546875
43,T1110TS119_1o,0.8916015625,0.8916015625
44,T1110TS119_2o,0.89208984375,0.89208984375
45,T1110TS119_3o,0.88623046875,0.88623046875
46,T1110TS119_4o,0.89404296875,0.89404296875
47,T1110TS119_5o,0.8916015625,0.8916015625
48,T1110TS125_1o,0.88720703125,0.88720703125
49,T1110TS125_2o,0.8984375,0.8984375
50,T1110TS125_3o,0.896484375,0.896484375
51,T1110TS125_4o,0.87841796875,0.87841796875
52,T1110TS125_5o,0.89111328125,0.89111328125
53,T1110TS131_1o,0.89208984375,0.89208984375
54,T1110TS131_2o,0.89404296875,0.89404296875
55,T1110TS131_3o,0.8935546875,0.8935546875
56,T1110TS131_4o,0.9033203125,0.9033203125
57,T1110TS131_5o,0.892578125,0.892578125
58,T1110TS147_1o,0.0,0.0
59,T1110TS147_2o,0.0,0.0
60,T1110TS147_3o,0.0,0.0
61,T1110TS147_4o,0.0,0.0
62,T1110TS147_5o,0.0,0.0
63,T1110TS158_1o,0.90380859375,0.90380859375
64,T1110TS158_2o,0.9033203125,0.9033203125
65,T1110TS158_3o,0.9033203125,0.9033203125
66,T1110TS158_4o,0.89794921875,0.89794921875
67,T1110TS158_5o,0.8896484375,0.8896484375
68,T1110TS165_1o,0.57958984375,0.57958984375
69,T1110TS165_2o,0.5625,0.5625
70,T1110TS165_3o,0.5810546875,0.5810546875
71,T1110TS165_4o,0.56396484375,0.56396484375
72,T1110TS165_5o,0.56591796875,0.56591796875
73,T1110TS169_1o,0.931640625,0.931640625
74,T1110TS169_2o,0.9296875,0.9296875
75,T1110TS169_3o,0.9248046875,0.9248046875
76,T1110TS169_4o,0.9248046875,0.9248046875
77,T1110TS169_5o,0.931640625,0.931640625
78,T1110TS180_1o,0.93212890625,0.93212890625
79,T1110TS180_2o,0.93115234375,0.93115234375
80,T1110TS180_3o,0.93017578125,0.93017578125
81,T1110TS180_4o,0.92822265625,0.92822265625
82,T1110TS180_5o,0.92626953125,0.92626953125
83,T1110TS185_1o,0.91162109375,0.91162109375
84,T1110TS185_2o,0.89892578125,0.89892578125
85,T1110TS185_3o,0.89892578125,0.89892578125
86,T1110TS185_4o,0.89013671875,0.89013671875
87,T1110TS185_5o,0.89306640625,0.89306640625
88,T1110TS187_1o,0.8681640625,0.8681640625
89,T1110TS187_2o,0.88671875,0.88671875
90,T1110TS187_3o,0.89013671875,0.89013671875
