,model,DockQ
0,T1132TS037_3o,0.52487
1,T1132TS444_3o,0.12918
2,T1132TS098_4o,0.08581
3,T1132TS444_2o,0.08432
4,T1132TS494_5o,0.07959
5,T1132TS444_4o,0.04693
6,T1132TS350_4o,0.04166
7,T1132TS037_2o,0.03723
8,T1132TS185_1o,0.03667
9,T1132TS091_3o,0.02456
10,T1132TS091_5o,0.02252
11,T1132TS037_5o,0.02207
12,T1132TS091_2o,0.02133
13,T1132TS350_3o,0.01975
14,T1132TS091_1o,0.01856
15,T1132TS350_5o,0.01848
16,T1132TS494_4o,0.01517
17,T1132TS462_3o,0.01496
18,T1132TS444_5o,0.01412
19,T1132TS185_5o,0.01385
20,T1132TS185_4o,0.01374
21,T1132TS098_3o,0.0129
22,T1132TS462_4o,0.01267
23,T1132TS037_4o,0.01237
24,T1132TS462_2o,0.01134
25,T1132TS205_1o,0.0109
26,T1132TS185_2o,0.01058
27,T1132TS462_1o,0.01037
28,T1132TS494_3o,0.00996
29,T1132TS348_2o,0.00991
30,T1132TS205_3o,0.00938
31,T1132TS169_5o,0.00938
32,T1132TS098_5o,0.00938
33,T1132TS350_2o,0.00938
34,T1132TS298_4o,0.00934
35,T1132TS086_4o,0.00908
36,T1132TS205_4o,0.00899
37,T1132TS462_5o,0.00896
38,T1132TS350_1o,0.00866
39,T1132TS348_4o,0.00849
40,T1132TS158_4o,0.00849
41,T1132TS390_4o,0.00834
42,T1132TS320_4o,0.00834
43,T1132TS314_4o,0.00834
44,T1132TS298_3o,0.00829
45,T1132TS150_4o,0.00765
46,T1132TS278_3o,0.0074
47,T1132TS086_3o,0.00706
48,T1132TS367_5o,0.00706
49,T1132TS158_3o,0.00706
50,T1132TS188_1o,0.00702
51,T1132TS312_4o,0.00676
52,T1132TS035_3o,0.00629
53,T1132TS248_3o,0.00629
54,T1132TS091_4o,0.0062
55,T1132TS098_2o,0.00618
56,T1132TS248_4o,0.00611
57,T1132TS035_4o,0.00611
58,T1132TS447_3o,0.00603
59,T1132TS447_4o,0.00603
60,T1132TS447_5o,0.00602
61,T1132TS003_5o,0.00584
62,T1132TS158_2o,0.00584
63,T1132TS086_2o,0.00584
64,T1132TS447_1o,0.00568
65,T1132TS447_2o,0.00568
66,T1132TS071_2o,0.00562
67,T1132TS374_1o,0.00557
68,T1132TS147_4o,0.00549
69,T1132TS360_5o,0.00534
70,T1132TS185_3o,0.00516
71,T1132TS367_4o,0.00486
72,T1132TS312_1o,0.0048
73,T1132TS385_1o,0.00463
74,T1132TS205_2o,0.00454
75,T1132TS071_3o,0.00427
76,T1132TS187_1o,0.00416
77,T1132TS423_1o,0.00416
78,T1132TS248_5o,0.00415
79,T1132TS035_5o,0.00415
80,T1132TS278_2o,0.0041
81,T1132TS312_2o,0.00404
82,T1132TS071_4o,0.00398
83,T1132TS312_3o,0.00387
84,T1132TS312_5o,0.00386
85,T1132TS423_4o,0.00385
86,T1132TS187_4o,0.00385
87,T1132TS374_5o,0.00369
88,T1132TS180_4o,0.00368
89,T1132TS071_5o,0.00361
90,T1132TS278_5o,0.00357
91,T1132TS125_2o,0.00355
92,T1132TS399_2o,0.00355
93,T1132TS054_2o,0.00355
94,T1132TS180_3o,0.00349
95,T1132TS188_2o,0.00339
96,T1132TS147_2o,0.00333
97,T1132TS374_3o,0.00323
98,T1132TS147_5o,0.00322
99,T1132TS147_3o,0.00319
100,T1132TS461_3o,0.00308
101,T1132TS446_3o,0.00308
102,T1132TS446_1o,0.00306
103,T1132TS461_1o,0.00306
104,T1132TS071_1o,0.00305
105,T1132TS461_5o,0.003
106,T1132TS446_5o,0.003
107,T1132TS180_2o,0.00298
108,T1132TS119_5o,0.00289
109,T1132TS131_5o,0.00289
110,T1132TS180_5o,0.00281
111,T1132TS165_4o,0.00277
112,T1132TS298_2o,0.00274
113,T1132TS180_1o,0.00271
114,T1132TS150_3o,0.00271
115,T1132TS390_3o,0.00268
116,T1132TS320_3o,0.00268
117,T1132TS360_2o,0.00268
118,T1132TS494_2o,0.00266
119,T1132TS298_1o,0.00266
120,T1132TS188_4o,0.00256
121,T1132TS298_5o,0.00254
122,T1132TS360_4o,0.00253
123,T1132TS360_3o,0.00253
124,T1132TS314_2o,0.00253
125,T1132TS399_1o,0.00252
126,T1132TS054_1o,0.00252
127,T1132TS125_1o,0.00252
128,T1132TS494_1o,0.00248
129,T1132TS367_2o,0.00246
130,T1132TS461_2o,0.00244
131,T1132TS446_2o,0.00244
132,T1132TS205_5o,0.00242
133,T1132TS188_3o,0.00241
134,T1132TS131_4o,0.00238
135,T1132TS399_5o,0.00232
136,T1132TS054_5o,0.00232
137,T1132TS125_5o,0.00232
138,T1132TS169_3o,0.00231
139,T1132TS348_3o,0.00229
140,T1132TS390_2o,0.00229
141,T1132TS119_4o,0.00229
142,T1132TS320_2o,0.00229
143,T1132TS314_3o,0.00229
144,T1132TS187_3o,0.00227
145,T1132TS423_3o,0.00227
146,T1132TS131_3o,0.00226
147,T1132TS003_2o,0.00223
148,T1132TS158_5o,0.00223
149,T1132TS367_1o,0.00223
150,T1132TS239_2o,0.00222
151,T1132TS054_4o,0.00214
152,T1132TS399_4o,0.00214
153,T1132TS125_4o,0.00214
154,T1132TS239_4o,0.00212
155,T1132TS239_3o,0.0021
156,T1132TS367_3o,0.00208
157,T1132TS423_5o,0.00203
158,T1132TS187_5o,0.00203
159,T1132TS169_1o,0.00197
160,T1132TS169_2o,0.00197
161,T1132TS098_1o,0.00197
162,T1132TS165_1o,0.00184
163,T1132TS119_3o,0.00179
164,T1132TS131_2o,0.00179
165,T1132TS444_1o,0.00177
166,T1132TS248_2o,0.00174
167,T1132TS035_2o,0.00174
168,T1132TS348_5o,0.00173
169,T1132TS003_4o,0.00173
170,T1132TS150_2o,0.00171
171,T1132TS374_4o,0.00162
172,T1132TS165_2o,0.00158
173,T1132TS374_2o,0.00157
174,T1132TS248_1o,0.00156
175,T1132TS035_1o,0.00156
176,T1132TS003_1o,0.00148
177,T1132TS158_1o,0.00148
178,T1132TS086_1o,0.00148
179,T1132TS037_1o,0.00147
180,T1132TS360_1o,0.00146
181,T1132TS320_5o,0.00146
182,T1132TS314_5o,0.00146
183,T1132TS390_5o,0.00146
184,T1132TS398_4o,0.00141
185,T1132TS461_4o,0.00138
186,T1132TS446_4o,0.00138
187,T1132TS187_2o,0.00137
188,T1132TS423_2o,0.00137
189,T1132TS399_3o,0.00137
190,T1132TS054_3o,0.00137
191,T1132TS125_3o,0.00137
192,T1132TS278_1o,0.00136
193,T1132TS398_5o,0.00134
