,model,DockQ
0,T1153TS447_3o,0.34233
1,T1153TS447_5o,0.34233
2,T1153TS147_4o,0.33528
3,T1153TS073_3o,0.29694
4,T1153TS147_2o,0.27927
5,T1153TS073_4o,0.25903
6,T1153TS185_3o,0.25189
7,T1153TS147_1o,0.24982
8,T1153TS398_5o,0.23366
9,T1153TS073_1o,0.23304
10,T1153TS147_5o,0.22717
11,T1153TS444_3o,0.22055
12,T1153TS147_3o,0.21658
13,T1153TS444_2o,0.21133
14,T1153TS350_5o,0.20941
15,T1153TS073_5o,0.20789
16,T1153TS447_4o,0.20672
17,T1153TS493_2o,0.20416
18,T1153TS350_1o,0.19493
19,T1153TS444_4o,0.1917
20,T1153TS205_5o,0.19055
21,T1153TS350_2o,0.18779
22,T1153TS314_3o,0.18628
23,T1153TS350_3o,0.18421
24,T1153TS239_2o,0.18299
25,T1153TS185_2o,0.18259
26,T1153TS314_4o,0.18205
27,T1153TS439_3o,0.17535
28,T1153TS447_2o,0.17509
29,T1153TS350_4o,0.17384
30,T1153TS493_3o,0.1734
31,T1153TS054_3o,0.17152
32,T1153TS125_3o,0.17152
33,T1153TS399_3o,0.17152
34,T1153TS165_4o,0.17079
35,T1153TS374_3o,0.1676
36,T1153TS312_2o,0.16642
37,T1153TS278_2o,0.16536
38,T1153TS185_1o,0.16434
39,T1153TS003_1o,0.16395
40,T1153TS086_1o,0.16395
41,T1153TS158_1o,0.16395
42,T1153TS312_3o,0.16248
43,T1153TS439_1o,0.16175
44,T1153TS003_3o,0.16095
45,T1153TS037_4o,0.15991
46,T1153TS074_2o,0.15905
47,T1153TS288_1o,0.15905
48,T1153TS444_1o,0.15832
49,T1153TS239_4o,0.15689
50,T1153TS439_2o,0.15689
51,T1153TS461_4o,0.15642
52,T1153TS446_4o,0.15642
53,T1153TS314_2o,0.1558
54,T1153TS003_2o,0.15545
55,T1153TS086_2o,0.15545
56,T1153TS158_2o,0.15545
57,T1153TS073_2o,0.15244
58,T1153TS037_3o,0.15101
59,T1153TS098_2o,0.14942
60,T1153TS188_2o,0.14942
61,T1153TS447_1o,0.14811
62,T1153TS185_4o,0.1481
63,T1153TS446_2o,0.14687
64,T1153TS461_2o,0.14687
65,T1153TS131_1o,0.14439
66,T1153TS119_1o,0.14439
67,T1153TS348_1o,0.14394
68,T1153TS086_3o,0.1439
69,T1153TS158_3o,0.1439
70,T1153TS348_3o,0.14264
71,T1153TS493_1o,0.14139
72,T1153TS312_4o,0.14008
73,T1153TS481_2o,0.13828
74,T1153TS091_2o,0.13824
75,T1153TS360_3o,0.1382
76,T1153TS374_4o,0.13684
77,T1153TS312_5o,0.13526
78,T1153TS239_3o,0.13485
79,T1153TS494_5o,0.13329
80,T1153TS439_4o,0.13294
81,T1153TS205_1o,0.13223
82,T1153TS239_5o,0.13194
83,T1153TS398_2o,0.13171
84,T1153TS348_2o,0.1316
85,T1153TS493_4o,0.13052
86,T1153TS037_2o,0.13051
87,T1153TS205_4o,0.1296
88,T1153TS367_4o,0.12823
89,T1153TS446_5o,0.12716
90,T1153TS461_5o,0.12716
91,T1153TS374_5o,0.12691
92,T1153TS360_4o,0.12651
93,T1153TS399_1o,0.12589
94,T1153TS125_1o,0.12589
95,T1153TS054_1o,0.12589
96,T1153TS205_2o,0.12581
97,T1153TS298_4o,0.12556
98,T1153TS278_3o,0.12538
99,T1153TS461_3o,0.12528
100,T1153TS446_3o,0.12528
101,T1153TS360_5o,0.12481
102,T1153TS298_1o,0.1245
103,T1153TS165_5o,0.12409
104,T1153TS444_5o,0.12315
105,T1153TS320_4o,0.12156
106,T1153TS390_4o,0.12156
107,T1153TS278_4o,0.11991
