,model,DockQ
0,T1187TS314_2o,0.2275
1,T1187TS291_5o,0.22644
2,T1187TS291_3o,0.21576
3,T1187TS350_5o,0.2155
4,T1187TS447_5o,0.20541
5,T1187TS278_1o,0.20538
6,T1187TS291_1o,0.20343
7,T1187TS350_3o,0.20102
8,T1187TS350_1o,0.19438
9,T1187TS314_3o,0.1881
10,T1187TS314_5o,0.18566
11,T1187TS073_4o,0.18488
12,T1187TS037_1o,0.18325
13,T1187TS291_4o,0.18144
14,T1187TS054_1o,0.18142
15,T1187TS125_1o,0.18142
16,T1187TS399_1o,0.18142
17,T1187TS350_4o,0.17805
18,T1187TS125_2o,0.17368
19,T1187TS054_2o,0.17368
20,T1187TS399_2o,0.17368
21,T1187TS054_5o,0.16503
22,T1187TS399_5o,0.16503
23,T1187TS125_5o,0.16503
24,T1187TS423_4o,0.1638
25,T1187TS073_3o,0.16307
26,T1187TS037_2o,0.15951
27,T1187TS073_2o,0.15914
28,T1187TS291_2o,0.15845
29,T1187TS185_1o,0.15833
30,T1187TS374_3o,0.15827
31,T1187TS314_4o,0.15729
32,T1187TS348_3o,0.15691
33,T1187TS350_2o,0.15567
34,T1187TS187_5o,0.1552
35,T1187TS367_5o,0.15171
36,T1187TS158_4o,0.15171
37,T1187TS003_5o,0.15171
38,T1187TS086_4o,0.15171
39,T1187TS119_2o,0.1514
40,T1187TS325_3o,0.1501
41,T1187TS347_1o,0.1501
42,T1187TS347_3o,0.1501
43,T1187TS347_5o,0.1501
44,T1187TS325_5o,0.1501
45,T1187TS325_4o,0.1501
46,T1187TS347_4o,0.1501
47,T1187TS456_5o,0.1501
48,T1187TS347_2o,0.1501
49,T1187TS456_3o,0.1501
50,T1187TS456_2o,0.1501
51,T1187TS456_4o,0.1501
52,T1187TS325_2o,0.1501
53,T1187TS325_1o,0.1501
54,T1187TS456_1o,0.1501
55,T1187TS073_1o,0.14831
56,T1187TS374_1o,0.14723
57,T1187TS444_3o,0.14705
58,T1187TS147_1o,0.1452
59,T1187TS278_3o,0.14308
60,T1187TS493_5o,0.14096
61,T1187TS239_3o,0.13825
62,T1187TS439_1o,0.13825
63,T1187TS229_2o,0.13825
64,T1187TS433_4o,0.1375
65,T1187TS441_4o,0.1375
66,T1187TS169_1o,0.13566
67,T1187TS098_4o,0.13566
68,T1187TS298_3o,0.13366
69,T1187TS374_4o,0.13324
70,T1187TS205_2o,0.1331
71,T1187TS165_5o,0.13277
72,T1187TS037_3o,0.13187
73,T1187TS147_5o,0.13081
74,T1187TS074_4o,0.12999
75,T1187TS288_5o,0.12999
76,T1187TS169_4o,0.12965
77,T1187TS098_2o,0.12965
78,T1187TS278_2o,0.1295
79,T1187TS278_5o,0.12882
80,T1187TS185_2o,0.12839
81,T1187TS205_5o,0.12787
82,T1187TS229_5o,0.12765
83,T1187TS239_5o,0.12765
84,T1187TS439_5o,0.12765
85,T1187TS131_3o,0.12564
86,T1187TS187_4o,0.12548
87,T1187TS348_1o,0.12398
88,T1187TS074_5o,0.12225
89,T1187TS098_1o,0.12211
90,T1187TS169_2o,0.12211
91,T1187TS312_1o,0.122
92,T1187TS185_3o,0.12194
93,T1187TS003_2o,0.12177
94,T1187TS086_3o,0.12177
95,T1187TS367_2o,0.12177
96,T1187TS158_2o,0.12177
97,T1187TS147_3o,0.12146
98,T1187TS444_1o,0.1207
99,T1187TS003_1o,0.12041
100,T1187TS086_2o,0.12041
101,T1187TS158_1o,0.12041
102,T1187TS188_2o,0.11849
103,T1187TS131_5o,0.11844
104,T1187TS119_5o,0.11822
105,T1187TS003_3o,0.11645
106,T1187TS245_4o,0.11566
107,T1187TS494_1o,0.11504
108,T1187TS245_2o,0.11476
109,T1187TS245_5o,0.11466
110,T1187TS444_5o,0.11416
111,T1187TS444_2o,0.11345
112,T1187TS493_1o,0.11311
113,T1187TS185_4o,0.11289
114,T1187TS147_4o,0.11215
115,T1187TS086_5o,0.11083
116,T1187TS158_5o,0.11083
117,T1187TS037_4o,0.10933
118,T1187TS298_2o,0.10886
119,T1187TS054_4o,0.10811
120,T1187TS399_4o,0.10811
121,T1187TS125_4o,0.10811
122,T1187TS169_3o,0.10671
123,T1187TS098_5o,0.10671
124,T1187TS348_2o,0.10562
125,T1187TS205_1o,0.10491
