,model,DockQ
0,H1135TS423_4,0.16387
1,H1135TS187_4,0.16387
2,H1135TS423_1,0.16094
3,H1135TS187_1,0.16094
4,H1135TS494_2,0.13666
5,H1135TS245_5,0.11416
6,H1135TS245_1,0.09463
7,H1135TS037_5,0.09219
8,H1135TS071_1,0.09211
9,H1135TS071_5,0.08759
10,H1135TS245_3,0.08464
11,H1135TS245_2,0.08348
12,H1135TS385_1,0.08348
13,H1135TS071_2,0.08055
14,H1135TS071_3,0.07935
15,H1135TS245_4,0.07296
16,H1135TS215_1,0.06752
17,H1135TS423_3,0.06634
18,H1135TS187_3,0.06634
19,H1135TS215_3,0.0644
20,H1135TS215_5,0.06369
21,H1135TS071_4,0.05833
22,H1135TS215_2,0.05796
23,H1135TS187_2,0.05621
24,H1135TS423_2,0.05621
25,H1135TS423_5,0.0515
26,H1135TS187_5,0.0515
27,H1135TS477_1,0.05048
28,H1135TS399_4,0.04112
29,H1135TS125_4,0.04112
30,H1135TS054_4,0.04112
31,H1135TS054_3,0.02648
32,H1135TS125_3,0.02648
33,H1135TS399_3,0.02648
34,H1135TS215_4,0.02635
35,H1135TS494_3,0.02531
36,H1135TS472_1,0.0228
37,H1135TS248_1,0.02257
38,H1135TS091_4,0.0224
39,H1135TS333_1,0.02212
40,H1135TS368_4,0.02212
41,H1135TS333_4,0.02212
42,H1135TS368_1,0.02212
43,H1135TS091_5,0.02048
44,H1135TS091_3,0.01889
45,H1135TS248_5,0.01739
46,H1135TS054_5,0.0162
47,H1135TS125_5,0.0162
48,H1135TS399_5,0.0162
49,H1135TS248_2,0.01431
50,H1135TS091_1,0.01396
51,H1135TS434_2,0.01032
52,H1135TS205_3,0.01016
53,H1135TS350_3,0.01002
54,H1135TS291_3,0.01002
55,H1135TS444_1,0.00868
56,H1135TS444_3,0.00846
57,H1135TS291_4,0.00822
58,H1135TS350_4,0.00822
59,H1135TS119_4,0.00813
60,H1135TS350_2,0.00764
61,H1135TS291_2,0.00764
62,H1135TS444_2,0.00761
63,H1135TS444_5,0.00736
64,H1135TS248_3,0.00707
65,H1135TS291_5,0.00628
66,H1135TS350_5,0.00628
67,H1135TS248_4,0.00618
68,H1135TS091_2,0.00609
69,H1135TS444_4,0.00607
70,H1135TS350_1,0.0059
71,H1135TS291_1,0.0059
72,H1135TS368_2,0.0059
73,H1135TS333_2,0.0059
74,H1135TS185_2,0.00495
75,H1135TS185_1,0.0045
76,H1135TS035_4,0.00403
77,H1135TS494_1,0.00391
78,H1135TS494_4,0.00371
79,H1135TS205_5,0.00367
80,H1135TS035_5,0.00332
81,H1135TS119_5,0.00295
82,H1135TS205_1,0.00278
83,H1135TS278_4,0.00267
84,H1135TS368_5,0.00264
85,H1135TS333_5,0.00264
86,H1135TS239_1,0.00242
87,H1135TS229_1,0.00242
88,H1135TS368_3,0.00239
89,H1135TS333_3,0.00239
90,H1135TS119_3,0.00227
91,H1135TS229_4,0.0021
92,H1135TS239_4,0.0021
93,H1135TS439_1,0.00206
94,H1135TS225_2,0.002
95,H1135TS119_1,0.00199
96,H1135TS205_2,0.00183
97,H1135TS278_1,0.00182
98,H1135TS185_3,0.00169
99,H1135TS035_2,0.00155
100,H1135TS312_1,0.00135
101,H1135TS035_1,0.00133
102,H1135TS320_4,0.00128
103,H1135TS158_5,0.00127
104,H1135TS347_2,0.00121
105,H1135TS347_1,0.00121
106,H1135TS325_5,0.00121
107,H1135TS347_4,0.00121
108,H1135TS347_5,0.00121
109,H1135TS325_4,0.00121
110,H1135TS347_3,0.00121
111,H1135TS325_1,0.00121
112,H1135TS325_3,0.00121
113,H1135TS325_2,0.00121
114,H1135TS456_3,0.00121
115,H1135TS456_5,0.00121
116,H1135TS456_4,0.00121
117,H1135TS456_2,0.00121
118,H1135TS456_1,0.00121
119,H1135TS229_5,0.0012
120,H1135TS239_5,0.0012
121,H1135TS205_4,0.00119
122,H1135TS035_3,0.00118
123,H1135TS320_5,0.00118
124,H1135TS234_1,0.00111
125,H1135TS180_3,0.00106
126,H1135TS086_4,0.00104
127,H1135TS312_4,0.00098
128,H1135TS158_2,0.00097
129,H1135TS158_3,0.00097
130,H1135TS086_3,0.00093
131,H1135TS320_2,0.00089
132,H1135TS439_3,0.00086
133,H1135TS399_2,0.00085
134,H1135TS054_2,0.00085
135,H1135TS125_2,0.00085
136,H1135TS225_3,0.0008
137,H1135TS374_5,0.00077
138,H1135TS158_4,0.00074
139,H1135TS131_1,0.00067
140,H1135TS086_1,0.00066
141,H1135TS086_5,0.00063
142,H1135TS092_1,0.00057
143,H1135TS493_1,0.00055
144,H1135TS348_3,0.00055
145,H1135TS180_1,0.00055
146,H1135TS312_3,0.00055
147,H1135TS278_5,0.00052
148,H1135TS037_3,0.00051
149,H1135TS461_2,0.0005
150,H1135TS446_2,0.0005
151,H1135TS003_5,0.0005
152,H1135TS225_5,0.00047
153,H1135TS320_1,0.00044
154,H1135TS320_3,0.00044
155,H1135TS011_3,0.00042
156,H1135TS185_4,0.00041
157,H1135TS234_4,0.0004
158,H1135TS086_2,0.00039
159,H1135TS158_1,0.00039
160,H1135TS185_5,0.00037
161,H1135TS312_2,0.00036
162,H1135TS234_3,0.00035
163,H1135TS234_5,0.00034
164,H1135TS234_2,0.00033
165,H1135TS225_1,0.00031
166,H1135TS239_2,0.00031
167,H1135TS229_2,0.00031
168,H1135TS439_4,0.00031
169,H1135TS348_2,0.0003
170,H1135TS439_2,0.00029
171,H1135TS257_5,0.00029
172,H1135TS257_3,0.00028
173,H1135TS180_4,0.00026
174,H1135TS434_4,0.00025
175,H1135TS147_2,0.00024
176,H1135TS147_4,0.00024
177,H1135TS462_3,0.00022
178,H1135TS119_2,0.00021
179,H1135TS147_5,0.0002
180,H1135TS003_2,0.00019
181,H1135TS150_3,0.00018
182,H1135TS150_4,0.00017
183,H1135TS461_5,0.00017
184,H1135TS446_5,0.00017
185,H1135TS398_1,0.00017
186,H1135TS439_5,0.00015
187,H1135TS131_4,0.00014
188,H1135TS348_4,0.00013
189,H1135TS229_3,0.00011
190,H1135TS239_3,0.00011
191,H1135TS390_3,0.00011
192,H1135TS312_5,0.00011
193,H1135TS298_3,0.0001
194,H1135TS298_2,0.0001
195,H1135TS150_5,0.0001
196,H1135TS131_3,0.0001
197,H1135TS147_3,0.0001
198,H1135TS003_3,9e-05
199,H1135TS257_4,9e-05
200,H1135TS037_1,9e-05
201,H1135TS390_5,8e-05
202,H1135TS360_3,8e-05
203,H1135TS257_2,8e-05
204,H1135TS037_2,8e-05
205,H1135TS374_3,8e-05
206,H1135TS374_2,7e-05
207,H1135TS461_4,7e-05
208,H1135TS446_4,7e-05
209,H1135TS461_1,7e-05
210,H1135TS446_1,7e-05
211,H1135TS446_3,6e-05
212,H1135TS461_3,6e-05
213,H1135TS374_1,6e-05
214,H1135TS390_2,6e-05
215,H1135TS147_1,6e-05
216,H1135TS180_2,6e-05
217,H1135TS011_4,6e-05
218,H1135TS374_4,6e-05
219,H1135TS225_4,5e-05
220,H1135TS257_1,5e-05
221,H1135TS298_1,5e-05
222,H1135TS037_4,5e-05
223,H1135TS348_5,5e-05
224,H1135TS462_2,5e-05
225,H1135TS131_5,4e-05
226,H1135TS462_1,4e-05
227,H1135TS098_2,4e-05
228,H1135TS188_4,4e-05
229,H1135TS132_1,4e-05
230,H1135TS390_1,4e-05
231,H1135TS188_5,4e-05
232,H1135TS367_4,4e-05
233,H1135TS180_5,3e-05
234,H1135TS298_4,3e-05
235,H1135TS390_4,3e-05
236,H1135TS367_2,3e-05
237,H1135TS367_5,3e-05
238,H1135TS360_2,3e-05
239,H1135TS493_4,3e-05
240,H1135TS367_3,3e-05
241,H1135TS278_2,3e-05
242,H1135TS133_1,3e-05
243,H1135TS227_1,3e-05
244,H1135TS360_5,2e-05
245,H1135TS278_3,2e-05
246,H1135TS011_5,2e-05
247,H1135TS003_4,2e-05
248,H1135TS131_2,2e-05
249,H1135TS367_1,2e-05
250,H1135TS003_1,2e-05
251,H1135TS434_1,1e-05
252,H1135TS011_2,1e-05
253,H1135TS165_3,1e-05
254,H1135TS227_2,1e-05
255,H1135TS133_2,1e-05
256,H1135TS494_5,1e-05
257,H1135TS360_1,1e-05
258,H1135TS150_2,1e-05
259,H1135TS434_3,1e-05
260,H1135TS098_5,1e-05
261,H1135TS098_1,1e-05
262,H1135TS188_3,1e-05
263,H1135TS169_1,1e-05
264,H1135TS169_3,1e-05
265,H1135TS434_5,1e-05
266,H1135TS165_2,0.0
267,H1135TS298_5,0.0
268,H1135TS360_4,0.0
269,H1135TS348_1,0.0
270,H1135TS462_4,0.0
271,H1135TS399_1,0.0
272,H1135TS054_1,0.0
273,H1135TS125_1,0.0
274,H1135TS493_3,0.0
275,H1135TS150_1,0.0
276,H1135TS165_1,0.0
277,H1135TS493_5,0.0
278,H1135TS133_3,0.0
279,H1135TS227_3,0.0
280,H1135TS011_1,0.0
281,H1135TS227_5,0.0
282,H1135TS133_5,0.0
283,H1135TS169_4,0.0
284,H1135TS188_1,0.0
285,H1135TS098_3,0.0
286,H1135TS169_2,0.0
287,H1135TS227_4,0.0
288,H1135TS133_4,0.0
289,H1135TS165_5,0.0
290,H1135TS493_2,0.0
291,H1135TS433_3,0.0
292,H1135TS441_3,0.0
293,H1135TS433_1,0.0
294,H1135TS441_1,0.0
295,H1135TS433_2,0.0
296,H1135TS441_2,0.0
297,H1135TS165_4,0.0
298,H1135TS462_5,0.0
299,H1135TS433_5,0.0
300,H1135TS441_5,0.0
301,H1135TS098_4,0.0
302,H1135TS169_5,0.0
303,H1135TS188_2,0.0
304,H1135TS073_1,0.0
305,H1135TS073_2,0.0
306,H1135TS073_3,0.0
307,H1135TS073_4,0.0
308,H1135TS073_5,0.0
