,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,unidist_uniref_sto_4,1119.891,1119.891,0.916,0.916,0.693,0.693
1,spec_colab_iter_6,1183.76,1183.76,0.92,0.92,0.693,0.693
2,default_uniclust30_4,788.557,788.557,0.741,0.741,0.692,0.692
3,iter_2_6,701.787,701.787,0.719,0.719,0.691,0.691
4,uniclust_oxmatch_a3m_4,584.367,584.367,0.66,0.66,0.695,0.695
5,spec_iter_uniref_a3m_8,624.984,624.984,0.619,0.619,0.693,0.693
6,unidist_uniprot_sto_6,600.055,600.055,0.673,0.673,0.695,0.695
7,default_uniref30_22_15,713.78,713.78,0.739,0.739,0.685,0.685
8,spec_pdb70_7,445.027,445.027,0.677,0.677,0.692,0.692
9,default_pdb_1,897.437,897.437,0.627,0.627,0.697,0.697
10,default_pdb70_5,837.666,837.666,0.626,0.626,0.686,0.686
11,default_pdb70_4,797.034,797.034,0.606,0.606,0.687,0.687
12,default_uniref30_22_12,600.949,600.949,0.613,0.613,0.692,0.692
13,default_pdb70_3,816.261,816.261,0.598,0.598,0.687,0.687
14,spec_iter_uniprot_sto_4,427.276,427.276,0.531,0.531,0.693,0.693
15,default_pdb_0,812.376,812.376,0.712,0.712,0.692,0.692
16,default_comp_2,680.916,680.916,0.538,0.538,0.689,0.689
17,default_pdb_2,642.849,642.849,0.609,0.609,0.692,0.692
18,spec_comp_1,74.617,74.617,0.486,0.486,0.698,0.698
19,avg_refine_3,673.886,673.886,0.516,0.516,0.679,0.679
20,default_pdb70_0,693.865,693.865,0.528,0.528,0.679,0.679
21,iter_1_0,597.197,597.197,0.518,0.518,0.687,0.687
22,default_multimer_8,886.178,886.178,0.754,0.754,0.682,0.682
23,default_multimer_7,-385.848,-385.848,0.287,0.287,0.693,0.693
24,default_struct_9,262.949,262.949,0.661,0.661,0.688,0.688
25,uniclust_oxmatch_a3m_5,-995.854,-995.854,0.131,0.131,0.688,0.688
26,default_comp_7,-539.759,-539.759,0.233,0.233,0.697,0.697
27,default_pdb_6,-248.838,-248.838,0.305,0.305,0.691,0.691
28,default_multimer_5,873.773,873.773,0.737,0.737,0.686,0.686
29,default_uniclust30_6,658.906,658.906,0.664,0.664,0.688,0.688
30,spec_iter_uniref_sto_4,607.126,607.126,0.708,0.708,0.686,0.686
31,iter_2_ori_7,631.224,631.224,0.69,0.69,0.685,0.685
32,default_pdb70_7,683.49,683.49,0.688,0.688,0.691,0.691
33,spec_pdb70_2,574.701,574.701,0.685,0.685,0.689,0.689
34,spec_pdb_1,421.024,421.024,0.616,0.616,0.691,0.691
35,spec_struct_3,-1032.683,-1032.683,0.077,0.077,0.689,0.689
36,spec_pdb70_6,-624.674,-624.674,0.207,0.207,0.696,0.696
37,spec_struct_6,-954.446,-954.446,0.234,0.234,0.696,0.696
38,iter_2_ori_9,385.33,385.33,0.603,0.603,0.687,0.687
39,iter_2_ori_8,193.353,193.353,0.492,0.492,0.687,0.687
40,spec_iter_uniref_a3m_4,-488.93,-488.93,0.267,0.267,0.682,0.682
41,spec_colab_iter_5,-192.46,-192.46,0.29,0.29,0.678,0.678
42,spec_comp_5,710.688,710.688,0.604,0.604,0.694,0.694
43,unidist_uniref_sto_9,-568.544,-568.544,0.419,0.419,0.636,0.636
44,uniclust_oxmatch_a3m_9,-26.864,-26.864,0.447,0.447,0.645,0.645
45,spec_colab_iter_7,-588.342,-588.342,0.302,0.302,0.668,0.668
46,spec_pdb_0,685.072,685.072,0.6,0.6,0.696,0.696
