,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,default_multimer_0,2671.58,2671.58,0.684,0.684,0.679,0.679
1,iter_1_old_1,3281.777,3281.777,0.806,0.806,0.673,0.673
2,default_uniclust30_2,2398.576,2398.576,0.68,0.68,0.678,0.678
3,spec_iter_uniprot_sto_1,2987.229,2987.229,0.718,0.718,0.681,0.681
4,iter_2_old_1,2828.675,2828.675,0.664,0.664,0.678,0.678
5,lewis_0,3646.392,3646.392,0.852,0.852,0.681,0.681
6,avg_refine_4,2991.182,2991.182,0.746,0.746,0.679,0.679
7,spec_comp_1,2051.205,2051.205,0.612,0.612,0.675,0.675
8,img_multimer_3,1617.75,1617.75,0.572,0.572,0.68,0.68
9,img_multimer_0,2612.401,2612.401,0.702,0.702,0.675,0.675
10,Elo_3,3322.096,3322.096,0.752,0.752,0.679,0.679
11,lewis_4,1738.013,1738.013,0.539,0.539,0.68,0.68
12,spec_pdb70_1,2079.751,2079.751,0.656,0.656,0.676,0.676
13,iter_2_old_0,3366.683,3366.683,0.778,0.778,0.677,0.677
14,img_multimer_2,1527.305,1527.305,0.49,0.49,0.678,0.678
15,uniclust_oxmatch_a3m_1,3298.523,3298.523,0.727,0.727,0.676,0.676
16,avg_refine_0,3453.48,3453.48,0.824,0.824,0.679,0.679
17,default_uniref30_22_4,1447.926,1447.926,0.502,0.502,0.68,0.68
18,iter_1_old_5,3250.528,3250.528,0.805,0.805,0.675,0.675
19,spec_pdb70_6,2259.729,2259.729,0.593,0.593,0.672,0.672
20,iter_2_old_2,3271.188,3271.188,0.78,0.78,0.677,0.677
21,default_uniref30_22_8,745.524,745.524,0.438,0.438,0.676,0.676
22,default_img_4,2511.142,2511.142,0.705,0.705,0.674,0.674
23,spec_iter_uniref_a3m_7,2786.158,2786.158,0.737,0.737,0.671,0.671
24,default_struct_2,2572.07,2572.07,0.704,0.704,0.675,0.675
25,spec_iter_uniprot_sto_8,2944.204,2944.204,0.779,0.779,0.675,0.675
26,spec_pdb_2,2900.597,2900.597,0.828,0.828,0.677,0.677
