,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,uniclust_oxmatch_a3m_4,1527.87,1527.87,0.834,0.834,0.698,0.698
1,default_multimer_3,1462.764,1462.764,0.868,0.868,0.699,0.699
2,default_uniref30_22_6,1829.808,1829.808,0.861,0.861,0.7,0.7
3,default_pdb70_0,1222.165,1222.165,0.738,0.738,0.703,0.703
4,default_pdb_1,1369.574,1369.574,0.844,0.844,0.703,0.703
5,default_uniref30_22_9,1170.647,1170.647,0.737,0.737,0.696,0.696
6,spec_pdb_1,726.714,726.714,0.693,0.693,0.7,0.7
7,spec_iter_uniref_a3m_2,-427.536,-427.536,0.295,0.295,0.697,0.697
8,spec_pdb70_1,-283.012,-283.012,0.301,0.301,0.699,0.699
9,default_uniref30_22_10,1034.938,1034.938,0.714,0.714,0.694,0.694
10,spec_pdb_2,-426.928,-426.928,0.267,0.267,0.697,0.697
11,spec_colab_iter_1,875.025,875.025,0.589,0.589,0.698,0.698
12,spec_comp_2,751.636,751.636,0.604,0.604,0.7,0.7
13,spec_colab_iter_4,1244.103,1244.103,0.665,0.665,0.69,0.69
14,unidist_uniref_sto_4,223.01,223.01,0.426,0.426,0.688,0.688
15,spec_comp_3,167.577,167.577,0.42,0.42,0.7,0.7
16,spec_pdb70_0,967.505,967.505,0.584,0.584,0.697,0.697
17,spec_struct_1,99.644,99.644,0.411,0.411,0.699,0.699
18,unidist_uniref_sto_3,1.349,1.349,0.372,0.372,0.689,0.689
19,default_pdb70_3,449.418,449.418,0.547,0.547,0.694,0.694
20,unidist_uniref_sto_7,861.512,861.512,0.628,0.628,0.698,0.698
21,spec_iter_uniref_sto_7,1250.633,1250.633,0.648,0.648,0.697,0.697
22,iter_1_5,611.099,611.099,0.536,0.536,0.692,0.692
23,uniclust_oxmatch_a3m_8,992.167,992.167,0.625,0.625,0.695,0.695
24,iter_2_4,-32.619,-32.619,0.387,0.387,0.697,0.697
25,iter_2_3,-232.458,-232.458,0.335,0.335,0.696,0.696
26,spec_pdb_8,593.606,593.606,0.584,0.584,0.7,0.7
27,spec_pdb70_5,-239.896,-239.896,0.34,0.34,0.692,0.692
28,default_comp_9,309.259,309.259,0.523,0.523,0.699,0.699
29,default_pdb_3,1013.545,1013.545,0.733,0.733,0.699,0.699
30,spec_iter_uniref_a3m_8,517.446,517.446,0.637,0.637,0.694,0.694
31,spec_iter_uniref_sto_6,528.859,528.859,0.623,0.623,0.696,0.696
32,spec_iter_uniprot_sto_4,598.076,598.076,0.656,0.656,0.693,0.693
33,spec_struct_6,617.703,617.703,0.588,0.588,0.693,0.693
34,spec_pdb70_9,-791.529,-791.529,0.146,0.146,0.692,0.692
35,spec_comp_8,286.561,286.561,0.509,0.509,0.7,0.7
36,default_struct_3,-35.321,-35.321,0.396,0.396,0.695,0.695
37,default_af_1,87.171,87.171,0.418,0.418,0.692,0.692
38,spec_pdb70_3,-324.785,-324.785,0.271,0.271,0.7,0.7
39,default_pdb70_4,-280.291,-280.291,0.328,0.328,0.695,0.695
40,spec_pdb70_2,-226.293,-226.293,0.301,0.301,0.7,0.7
41,default_multimer_7,-91.833,-91.833,0.387,0.387,0.697,0.697
42,spec_colab_iter_6,-193.899,-193.899,0.361,0.361,0.69,0.69
43,spec_iter_uniref_a3m_7,-379.696,-379.696,0.269,0.269,0.691,0.691
