,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,iter_1_old_v2_7,5020.587,5020.587,0.89,0.89,0.682,0.682
1,iter_2_old_v2_1,5040.854,5040.854,0.784,0.784,0.696,0.696
2,avg_refine_1,5195.893,5195.893,0.766,0.766,0.71,0.71
3,default_pdb70_v1_0,4747.527,4747.527,0.827,0.827,0.696,0.696
4,iter_1_old_v2_3,4202.191,4202.191,0.796,0.796,0.705,0.705
5,iter_1_v2_3,3530.256,3530.256,0.729,0.729,0.694,0.694
6,iter_1_old_v2_4,3371.191,3371.191,0.695,0.695,0.702,0.702
7,iter_1_old_v2_5,3369.376,3369.376,0.707,0.707,0.684,0.684
8,avg_refine_2,5875.948,5875.948,0.873,0.873,0.714,0.714
9,iter_2_old_v2_6,3213.603,3213.603,0.757,0.757,0.673,0.673
10,iter_1_old_v2_0,3420.231,3420.231,0.692,0.692,0.702,0.702
11,avg_refine_3,4030.165,4030.165,0.685,0.685,0.704,0.704
12,iter_2_old_v2_4,4444.186,4444.186,0.876,0.876,0.674,0.674
13,iter_2_old_v2_2,5121.883,5121.883,0.859,0.859,0.694,0.694
14,iter_2_old_v2_7,2433.382,2433.382,0.705,0.705,0.682,0.682
15,default_comp_v1_1,4093.8,4093.8,0.766,0.766,0.68,0.68
16,iter_1_v2_2,4174.751,4174.751,0.822,0.822,0.675,0.675
17,iter_2_old_v2_3,3806.289,3806.289,0.825,0.825,0.685,0.685
18,iter_1_old_v1_5,2826.428,2826.428,0.725,0.725,0.679,0.679
19,default_pdb_v2_2,4336.654,4336.654,0.839,0.839,0.695,0.695
20,default_pdb_v2_0,3002.24,3002.24,0.765,0.765,0.672,0.672
21,lewis_2,3932.699,3932.699,0.727,0.727,0.687,0.687
22,iter_1_v2_0,2490.852,2490.852,0.746,0.746,0.693,0.693
23,default_comp_v1_0,5690.718,5690.718,0.88,0.88,0.7,0.7
24,default_img_v2_1,3721.318,3721.318,0.682,0.682,0.69,0.69
25,avg_refine_0,3794.729,3794.729,0.638,0.638,0.7,0.7
26,default_pdb_v1_0,1262.293,1262.293,0.499,0.499,0.689,0.689
27,lewis_3,4133.512,4133.512,0.881,0.881,0.684,0.684
28,iter_1_old_v1_2,2877.173,2877.173,0.643,0.643,0.705,0.705
29,lewis_0,4697.309,4697.309,0.744,0.744,0.707,0.707
30,default_img_v2_2,1930.884,1930.884,0.61,0.61,0.678,0.678
31,iter_1_old_v1_0,3070.214,3070.214,0.711,0.711,0.71,0.71
32,iter_2_old_v2_0,2085.7,2085.7,0.586,0.586,0.704,0.704
33,default_pdb_v2_3,3265.887,3265.887,0.688,0.688,0.67,0.67
34,iter_1_v1_7,2529.175,2529.175,0.72,0.72,0.693,0.693
35,iter_1_v1_0,3115.71,3115.71,0.729,0.729,0.696,0.696
36,lewis_1,6530.373,6530.373,0.861,0.861,0.69,0.69
37,default_pdb_v1_1,158.197,158.197,0.443,0.443,0.667,0.667
38,avg_refine_4,2727.276,2727.276,0.759,0.759,0.687,0.687
39,iter_1_old_v1_9,2647.75,2647.75,0.704,0.704,0.677,0.677
40,iter_1_old_v1_1,2293.141,2293.141,0.612,0.612,0.68,0.68
41,default_pdb_v1_3,2543.281,2543.281,0.688,0.688,0.626,0.626
42,iter_1_old_v2_6,2526.016,2526.016,0.669,0.669,0.697,0.697
43,iter_1_old_v1_3,2036.168,2036.168,0.598,0.598,0.691,0.691
44,iter_1_v2_5,2337.819,2337.819,0.621,0.621,0.689,0.689
45,iter_1_v2_4,1415.166,1415.166,0.562,0.562,0.701,0.701
46,default_struct_v1_2,2819.595,2819.595,0.704,0.704,0.691,0.691
47,default_pdb70_v2_1,1542.859,1542.859,0.612,0.612,0.666,0.666
48,default_img_v2_3,2514.66,2514.66,0.675,0.675,0.665,0.665
49,iter_1_v2_6,3143.805,3143.805,0.719,0.719,0.689,0.689
50,default_comp_v2_4,1071.648,1071.648,0.53,0.53,0.678,0.678
51,default_img_v2_0,2600.537,2600.537,0.688,0.688,0.681,0.681
52,default_pdb70_v2_0,905.863,905.863,0.508,0.508,0.678,0.678
53,iter_1_old_v1_6,677.793,677.793,0.487,0.487,0.68,0.68
54,default_pdb70_v2_3,2358.734,2358.734,0.552,0.552,0.664,0.664
55,iter_1_v2_8,733.334,733.334,0.483,0.483,0.681,0.681
56,default_comp_v1_5,2538.767,2538.767,0.589,0.589,0.66,0.66
57,default_pdb70_v1_1,2105.022,2105.022,0.633,0.633,0.672,0.672
58,iter_1_v2_7,396.283,396.283,0.475,0.475,0.667,0.667
59,default_img_v2_4,1824.636,1824.636,0.583,0.583,0.678,0.678
60,iter_1_old_v2_8,2565.348,2565.348,0.719,0.719,0.688,0.688
61,iter_1_v2_1,3089.707,3089.707,0.669,0.669,0.701,0.701
62,default_struct_v1_4,1953.779,1953.779,0.605,0.605,0.675,0.675
63,default_struct_v1_0,1519.489,1519.489,0.531,0.531,0.689,0.689
64,default_comp_v1_2,1407.676,1407.676,0.512,0.512,0.664,0.664
65,default_pdb_v1_2,2341.639,2341.639,0.741,0.741,0.661,0.661
66,iter_1_old_v2_2,1741.32,1741.32,0.634,0.634,0.695,0.695
67,default_pdb70_v2_4,2830.929,2830.929,0.74,0.74,0.652,0.652
68,default_struct_v1_6,1407.841,1407.841,0.611,0.611,0.664,0.664
69,iter_1_old_v2_1,2480.213,2480.213,0.613,0.613,0.705,0.705
70,default_pdb_v2_5,1596.821,1596.821,0.596,0.596,0.674,0.674
71,default_comp_v2_0,2861.635,2861.635,0.704,0.704,0.68,0.68
72,default_comp_v1_3,-261.61,-261.61,0.38,0.38,0.66,0.66
73,default_img_v2_5,-6.47,-6.47,0.328,0.328,0.665,0.665
74,iter_2_old_v2_5,2336.806,2336.806,0.588,0.588,0.681,0.681
75,default_comp_v2_2,3135.949,3135.949,0.722,0.722,0.675,0.675
76,lewis_4,1753.783,1753.783,0.588,0.588,0.673,0.673
77,default_comp_v2_3,3245.467,3245.467,0.723,0.723,0.667,0.667
78,default_struct_v1_7,813.695,813.695,0.531,0.531,0.663,0.663
79,default_struct_v1_3,1324.927,1324.927,0.575,0.575,0.685,0.685
80,iter_1_v1_6,-127.412,-127.412,0.404,0.404,0.684,0.684
81,default_struct_v1_5,1272.276,1272.276,0.567,0.567,0.671,0.671
82,iter_1_v1_8,608.835,608.835,0.423,0.423,0.679,0.679
83,iter_1_v1_2,155.736,155.736,0.39,0.39,0.676,0.676
84,iter_1_old_v1_4,-472.686,-472.686,0.35,0.35,0.679,0.679
85,default_comp_v2_1,3166.519,3166.519,0.656,0.656,0.663,0.663
86,iter_2_old_v2_8,809.756,809.756,0.52,0.52,0.671,0.671
87,default_pdb_v1_5,248.775,248.775,0.407,0.407,0.656,0.656
88,default_multimer_v2_0,1169.069,1169.069,0.604,0.604,0.684,0.684
89,iter_1_v2_9,1352.448,1352.448,0.553,0.553,0.658,0.658
90,default_struct_v1_1,1798.554,1798.554,0.53,0.53,0.676,0.676
91,iter_1_v1_1,326.656,326.656,0.423,0.423,0.676,0.676
92,default_comp_v2_5,1018.12,1018.12,0.542,0.542,0.654,0.654
93,img_multimer_v2_0,1357.795,1357.795,0.566,0.566,0.665,0.665
94,iter_1_old_v1_7,976.724,976.724,0.453,0.453,0.684,0.684
95,default_img_v2_6,1329.612,1329.612,0.61,0.61,0.655,0.655
96,default_img_v2_7,265.839,265.839,0.416,0.416,0.657,0.657
97,iter_1_old_v1_8,229.649,229.649,0.41,0.41,0.676,0.676
98,default_pdb_v2_4,2601.001,2601.001,0.716,0.716,0.652,0.652
99,iter_1_v1_5,-126.101,-126.101,0.373,0.373,0.677,0.677
100,default_pdb_v2_7,-1321.843,-1321.843,0.324,0.324,0.677,0.677
101,default_pdb_v2_8,1238.374,1238.374,0.54,0.54,0.656,0.656
102,iter_1_v1_3,2415.326,2415.326,0.62,0.62,0.679,0.679
103,default_pdb_v1_6,496.803,496.803,0.412,0.412,0.661,0.661
104,iter_1_v1_9,2559.609,2559.609,0.646,0.646,0.672,0.672
105,default_struct_v1_8,-71.325,-71.325,0.385,0.385,0.663,0.663
106,default_pdb_v2_1,1207.89,1207.89,0.481,0.481,0.655,0.655
107,default_pdb_v2_6,1864.268,1864.268,0.678,0.678,0.673,0.673
108,default_pdb70_v1_2,843.882,843.882,0.479,0.479,0.641,0.641
109,iter_1_v1_4,1311.421,1311.421,0.564,0.564,0.668,0.668
110,default_multimer_v1_0,-239.82,-239.82,0.425,0.425,0.647,0.647
111,default_multimer_v2_1,-193.68,-193.68,0.356,0.356,0.664,0.664
112,default_struct_v1_9,-1134.245,-1134.245,0.189,0.189,0.649,0.649
113,default_pdb70_v2_2,2037.413,2037.413,0.675,0.675,0.613,0.613
114,default_multimer_v1_1,-449.977,-449.977,0.37,0.37,0.652,0.652
115,default_pdb_v1_4,977.462,977.462,0.583,0.583,0.65,0.65
116,default_uniclust_v2_0,741.454,741.454,0.499,0.499,0.625,0.625
117,img_multimer_v2_1,455.656,455.656,0.477,0.477,0.65,0.65
118,iter_1_old_v2_9,252.139,252.139,0.422,0.422,0.671,0.671
119,Elo_1,647.966,647.966,0.54,0.54,0.636,0.636
120,default_comp_v1_6,204.816,204.816,0.38,0.38,0.666,0.666
121,default_uniref30_22_0,-71.057,-71.057,0.372,0.372,0.653,0.653
122,default_uniref30_22_1,-87.66,-87.66,0.396,0.396,0.664,0.664
123,img_multimer_v2_2,-1325.576,-1325.576,0.169,0.169,0.647,0.647
124,default_uniclust_v2_1,37.508,37.508,0.418,0.418,0.64,0.64
125,iter_2_old_v2_9,-1394.853,-1394.853,0.107,0.107,0.643,0.643
126,default_comp_v2_6,-1021.389,-1021.389,0.171,0.171,0.649,0.649
127,default_uniref30_22_2,572.811,572.811,0.483,0.483,0.659,0.659
128,default_af_v1_0,-626.076,-626.076,0.262,0.262,0.654,0.654
129,default_uniclust_v1_2,252.577,252.577,0.396,0.396,0.634,0.634
130,img_multimer_v2_3,2262.843,2262.843,0.793,0.793,0.653,0.653
131,default_pdb70_v1_7,-963.835,-963.835,0.043,0.043,0.642,0.642
132,default_uniclust_v1_0,527.149,527.149,0.472,0.472,0.653,0.653
133,default_uniclust_v1_1,524.856,524.856,0.465,0.465,0.603,0.603
134,default_af_v1_1,-162.632,-162.632,0.284,0.284,0.642,0.642
135,default_af_v1_2,-236.347,-236.347,0.191,0.191,0.639,0.639
136,default_pdb70_v2_7,-741.384,-741.384,0.19,0.19,0.642,0.642
137,default_multimer_v1_7,223.73,223.73,0.402,0.402,0.493,0.493
138,default_uniclust_v1_5,-229.096,-229.096,0.312,0.312,0.612,0.612
139,default_uniclust_v1_3,701.746,701.746,0.538,0.538,0.596,0.596
140,default_uniref30_22_7,1036.494,1036.494,0.556,0.556,0.652,0.652
141,default_uniclust_v2_6,241.385,241.385,0.405,0.405,0.592,0.592
142,default_pdb70_v1_5,-528.021,-528.021,0.168,0.168,0.633,0.633
143,img_multimer_v2_9,310.782,310.782,0.348,0.348,0.612,0.612
144,img_multimer_v2_5,-21.1,-21.1,0.45,0.45,0.64,0.64
145,default_uniclust_v2_5,-447.844,-447.844,0.269,0.269,0.571,0.571
146,default_pdb70_v1_8,-1036.525,-1036.525,0.133,0.133,0.641,0.641
147,img_multimer_v2_6,-943.08,-943.08,0.09,0.09,0.627,0.627
148,default_multimer_v1_9,-485.183,-485.183,0.304,0.304,0.512,0.512
149,default_multimer_v2_2,-287.533,-287.533,0.381,0.381,0.651,0.651
150,default_pdb_v2_9,-528.503,-528.503,0.139,0.139,0.636,0.636
151,default_uniclust_v2_4,-855.824,-855.824,0.187,0.187,0.599,0.599
152,default_pdb70_v2_6,-115.104,-115.104,0.336,0.336,0.649,0.649
153,default_pdb_v1_8,-219.819,-219.819,0.421,0.421,0.651,0.651
154,default_pdb70_v1_4,-744.32,-744.32,0.265,0.265,0.616,0.616
155,default_img_v2_9,-522.503,-522.503,0.211,0.211,0.644,0.644
156,default_uniclust_v1_7,477.991,477.991,0.444,0.444,0.587,0.587
157,default_uniref30_22_5,-931.126,-931.126,0.221,0.221,0.649,0.649
158,default_pdb70_v1_3,-325.512,-325.512,0.31,0.31,0.638,0.638
159,default_uniref30_22_3,-745.839,-745.839,0.306,0.306,0.623,0.623
160,default_comp_v1_7,-1191.893,-1191.893,0.127,0.127,0.634,0.634
161,default_uniclust_v1_6,-1990.659,-1990.659,0.06,0.06,0.607,0.607
162,img_multimer_v2_4,1294.551,1294.551,0.648,0.648,0.625,0.625
163,default_uniref30_22_6,-669.288,-669.288,0.282,0.282,0.641,0.641
164,default_pdb_v1_7,-1100.001,-1100.001,0.182,0.182,0.648,0.648
165,default_af_v1_6,-1126.098,-1126.098,0.023,0.023,0.647,0.647
166,default_uniref30_22_4,-746.155,-746.155,0.313,0.313,0.664,0.664
167,default_comp_v2_7,-1425.267,-1425.267,0.092,0.092,0.641,0.641
168,default_multimer_v1_2,436.298,436.298,0.487,0.487,0.662,0.662
169,default_comp_v1_4,1396.889,1396.889,0.639,0.639,0.66,0.66
170,default_uniclust_v2_7,-601.656,-601.656,0.134,0.134,0.623,0.623
171,default_pdb70_v2_5,718.814,718.814,0.553,0.553,0.637,0.637
172,default_multimer_v2_3,-16.694,-16.694,0.453,0.453,0.616,0.616
173,default_uniclust_v1_4,-1044.997,-1044.997,0.114,0.114,0.589,0.589
174,default_uniclust_v2_3,-1599.259,-1599.259,0.134,0.134,0.629,0.629
175,default_multimer_v1_3,-626.023,-626.023,0.168,0.168,0.625,0.625
176,Elo_0,-946.934,-946.934,0.21,0.21,0.642,0.642
177,Elo_3,-64.729,-64.729,0.343,0.343,0.642,0.642
178,default_uniref30_22_9,-1176.278,-1176.278,0.1,0.1,0.658,0.658
179,default_uniclust_v1_9,-776.449,-776.449,0.076,0.076,0.623,0.623
180,Elo_4,220.395,220.395,0.361,0.361,0.654,0.654
181,default_pdb70_v2_8,-624.384,-624.384,0.17,0.17,0.66,0.66
182,default_af_v1_3,-331.743,-331.743,0.165,0.165,0.642,0.642
183,default_img_v2_8,-960.841,-960.841,0.122,0.122,0.584,0.584
184,default_multimer_v2_4,-306.484,-306.484,0.233,0.233,0.617,0.617
185,default_uniclust_v1_8,-1091.188,-1091.188,0.178,0.178,0.595,0.595
186,default_pdb_v1_9,-672.359,-672.359,0.332,0.332,0.636,0.636
