,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,default_comp_2,1051.759,1051.759,0.848,0.848,0.67,0.67
1,default_mul_newest_16,944.392,944.392,0.872,0.872,0.667,0.667
2,default_mul_newest_1,1029.73,1029.73,0.922,0.922,0.667,0.667
3,default_pdb_0,872.89,872.89,0.832,0.832,0.668,0.668
4,spec_iter_uniref_sto_3,1777.478,1777.478,0.958,0.958,0.668,0.668
5,spec_iter_uniref_sto_2,1539.091,1539.091,0.959,0.959,0.666,0.666
6,spec_iter_uniprot_sto_7,1523.08,1523.08,0.941,0.941,0.68,0.68
7,spec_af_3,1723.109,1723.109,0.937,0.937,0.664,0.664
8,default_af_1,692.771,692.771,0.736,0.736,0.67,0.67
9,iter_1_5,1335.346,1335.346,0.888,0.888,0.674,0.674
10,spec_iter_uniref_sto_5,1503.306,1503.306,0.926,0.926,0.67,0.67
11,default_uniref30_22_1,1412.433,1412.433,0.904,0.904,0.663,0.663
12,spec_iter_uniprot_sto_1,1656.273,1656.273,0.915,0.915,0.67,0.67
13,uniclust_oxmatch_a3m_0,1670.182,1670.182,0.969,0.969,0.663,0.663
14,spec_iter_uniref_sto_8,1142.246,1142.246,0.897,0.897,0.668,0.668
15,spec_af_4,1751.68,1751.68,0.939,0.939,0.665,0.665
16,default_uniref30_22_20,1742.8,1742.8,0.978,0.978,0.662,0.662
17,default_multimer_2,1335.598,1335.598,0.886,0.886,0.668,0.668
18,default_uniref30_22_11,1120.44,1120.44,0.849,0.849,0.67,0.67
19,Elo_4,1283.053,1283.053,0.865,0.865,0.672,0.672
20,spec_iter_uniprot_sto_0,1572.447,1572.447,0.906,0.906,0.67,0.67
21,img_multimer_4,1347.26,1347.26,0.906,0.906,0.662,0.662
22,spec_af_7,1278.992,1278.992,0.853,0.853,0.672,0.672
23,uniclust_oxmatch_a3m_1,1517.609,1517.609,0.9,0.9,0.662,0.662
24,default_af_6,1477.253,1477.253,0.856,0.856,0.666,0.666
25,uniclust_oxmatch_a3m_7,1242.737,1242.737,0.947,0.947,0.659,0.659
26,default_uniclust30_9,1818.047,1818.047,0.966,0.966,0.663,0.663
27,uniclust_oxmatch_a3m_8,535.818,535.818,0.71,0.71,0.652,0.652
28,default_mul_newest_11,1300.15,1300.15,0.888,0.888,0.671,0.671
29,default_af_4,1166.683,1166.683,0.777,0.777,0.671,0.671
30,spec_pdb70_5,-893.167,-893.167,0.184,0.184,0.649,0.649
31,spec_pdb_0,91.492,91.492,0.526,0.526,0.654,0.654
32,spec_iter_uniref_a3m_2,-148.957,-148.957,0.399,0.399,0.644,0.644
33,spec_pdb70_1,647.683,647.683,0.644,0.644,0.654,0.654
34,avg_refine_1,-486.108,-486.108,0.314,0.314,0.652,0.652
35,pdb_iter_uniref_a3m_7,-671.791,-671.791,0.142,0.142,0.647,0.647
36,avg_refine_4,-217.79,-217.79,0.438,0.438,0.656,0.656
37,spec_pdb70_0,69.159,69.159,0.49,0.49,0.652,0.652
38,avg_refine_0,434.096,434.096,0.518,0.518,0.653,0.653
39,spec_comp_1,670.034,670.034,0.638,0.638,0.653,0.653
40,spec_pdb_4,-909.055,-909.055,0.064,0.064,0.649,0.649
41,spec_struct_0,341.696,341.696,0.57,0.57,0.647,0.647
42,spec_comp_0,-15.048,-15.048,0.47,0.47,0.649,0.649
43,spec_struct_1,23.505,23.505,0.519,0.519,0.649,0.649
44,spec_comp_5,-1225.788,-1225.788,0.038,0.038,0.654,0.654
45,spec_comp_2,-771.454,-771.454,0.141,0.141,0.649,0.649
46,spec_pdb70_3,-858.785,-858.785,0.14,0.14,0.652,0.652
47,spec_struct_3,-1189.5,-1189.5,0.04,0.04,0.644,0.644
48,spec_pdb_1,-833.028,-833.028,0.116,0.116,0.657,0.657
