,model,plddt
0,H1143TS398_1,0.9350886
1,H1143TS434_5,0.88973033
2,H1143TS288_5,0.8869086
3,H1143TS423_2,0.93544084
4,H1143TS165_5,0.29405
5,H1143TS245_2,0.9079906
6,H1143TS187_4,0.8824321
7,H1143TS071_5,0.8820152
8,H1143TS399_3,0.8638115
9,H1143TS185_3,0.9106928
10,H1143TS390_1,0.9404457
11,H1143TS097_4,0.9050176
12,H1143TS278_1,0.94530463
13,H1143TS494_1,0.6980826
14,H1143TS350_5,0.0
15,H1143TS278_2,0.90756965
16,H1143TS158_3,0.9446097
17,H1143TS314_1,0.94162434
18,H1143TS091_2,0.7285314
19,H1143TS054_1,0.88747287
20,H1143TS086_2,0.944412
21,H1143TS288_2,0.8957355
22,H1143TS052_1,0.95012033
23,H1143TS067_1,0.8295714
24,H1143TS147_1,0.1122857
25,H1143TS158_2,0.9437448
26,H1143TS461_5,0.88314176
27,H1143TS444_1,0.9404457
28,H1143TS037_4,0.923898
29,H1143TS434_1,0.9417158
30,H1143TS312_1,0.0
31,H1143TS205_2,0.0
32,H1143TS446_4,0.87744606
33,H1143TS003_1,0.9463298
34,H1143TS257_3,0.93082744
35,H1143TS288_4,0.88265514
36,H1143TS298_3,0.94003403
37,H1143TS054_3,0.8638115
38,H1143TS125_1,0.88747287
39,H1143TS298_5,0.93731236
40,H1143TS368_1,0.0
41,H1143TS239_3,0.95473003
42,H1143TS125_3,0.8638115
43,H1143TS312_2,0.0
44,H1143TS185_5,0.88357544
45,H1143TS434_4,0.9396303
46,H1143TS461_1,0.93770856
47,H1143TS125_4,0.88131964
48,H1143TS239_2,0.89308316
49,H1143TS180_1,0.97152406
50,H1143TS367_5,0.93299174
51,H1143TS091_4,0.7500669
52,H1143TS187_2,0.93544084
53,H1143TS187_1,0.93076205
54,H1143TS073_1,0.94243336
55,H1143TS150_1,0.87455994
56,H1143TS091_3,0.6613854
57,H1143TS447_1,0.20760459
58,H1143TS462_4,0.95352346
59,H1143TS446_1,0.93770856
60,H1143TS131_5,0.8876094
61,H1143TS086_4,0.9437495
62,H1143TS390_5,0.9350886
63,H1143TS312_3,0.0
64,H1143TS131_4,0.88592637
65,H1143TS447_5,0.20381574
66,H1143TS494_5,0.6274697
67,H1143TS125_2,0.8749942
68,H1143TS368_2,0.7780971
69,H1143TS399_2,0.8749942
70,H1143TS098_4,0.9337354
71,H1143TS360_5,0.93731236
72,H1143TS367_4,0.93976545
73,H1143TS444_3,0.92519826
74,H1143TS462_2,0.9566306
75,H1143TS119_2,0.8959528
76,H1143TS150_5,0.87455994
77,H1143TS097_1,0.90346164
78,H1143TS477_1,0.92972606
79,H1143TS398_4,0.9371086
80,H1143TS158_5,0.9437495
81,H1143TS298_2,0.94343996
82,H1143TS248_5,0.9109126
83,H1143TS433_5,0.8990182
84,H1143TS234_5,0.5804314
85,H1143TS368_3,0.7974601
86,H1143TS147_5,0.0
87,H1143TS234_3,0.5804314
88,H1143TS225_5,0.9209992
89,H1143TS165_3,0.124818005
90,H1143TS446_2,0.93396693
91,H1143TS493_5,0.94090456
92,H1143TS225_2,0.9368311
93,H1143TS067_2,0.77108574
94,H1143TS073_5,0.8869086
95,H1143TS367_3,0.93748283
96,H1143TS180_3,0.9688122
97,H1143TS119_3,0.8900177
98,H1143TS348_3,0.93606114
99,H1143TS097_2,0.90932083
100,H1143TS037_2,0.9294791
101,H1143TS439_5,0.94885343
102,H1143TS133_4,0.9358857
103,H1143TS091_5,0.56891745
104,H1143TS348_5,0.9447524
105,H1143TS086_5,0.9441475
106,H1143TS037_3,0.92754406
107,H1143TS133_2,0.89662826
108,H1143TS493_2,0.94090456
109,H1143TS225_1,0.9502694
110,H1143TS348_2,0.94577724
111,H1143TS350_2,0.0
112,H1143TS188_2,0.93970776
113,H1143TS248_3,0.8872115
114,H1143TS169_2,0.939944
115,H1143TS444_4,0.92519826
116,H1143TS385_1,0.9106475
117,H1143TS423_4,0.8824321
118,H1143TS248_4,0.88144916
119,H1143TS399_1,0.88747287
120,H1143TS133_1,0.92888653
121,H1143TS234_4,0.5804314
