,model,plddt
0,T1178TS360_1o,0.73857486
1,T1178TS187_5o,0.75170183
2,T1178TS150_1o,0.7628984
3,T1178TS439_5o,0.8104628
4,T1178TS444_4o,0.7439016
5,T1178TS441_2o,0.8063998
6,T1178TS091_5o,0.5155507
7,T1178TS205_5o,0.0
8,T1178TS433_2o,0.8063998
9,T1178TS091_1o,0.8639757
10,T1178TS185_3o,0.7965535
11,T1178TS054_4o,0.76819474
12,T1178TS320_3o,0.7885335
13,T1178TS131_5o,0.7589342
14,T1178TS119_2o,0.86821634
15,T1178TS291_2o,0.0
16,T1178TS147_1o,0.8052595
17,T1178TS147_4o,0.7956587
18,T1178TS131_1o,0.7895488
19,T1178TS229_3o,0.83067274
20,T1178TS234_3o,0.41637287
21,T1178TS348_4o,0.74272174
22,T1178TS037_1o,0.90221786
23,T1178TS374_2o,0.8502686
24,T1178TS447_5o,0.20914216
25,T1178TS278_2o,0.70780605
26,T1178TS446_3o,0.6064152
27,T1178TS288_4o,0.86084485
28,T1178TS119_1o,0.87144053
29,T1178TS086_5o,0.8769291
30,T1178TS291_4o,0.0
31,T1178TS423_2o,0.7640407
32,T1178TS493_2o,0.7956587
33,T1178TS086_2o,0.86360675
34,T1178TS433_5o,0.7945333
35,T1178TS003_3o,0.8555175
36,T1178TS312_3o,0.0
37,T1178TS350_5o,0.0
38,T1178TS461_4o,0.6413667
39,T1178TS462_3o,0.7770601
40,T1178TS462_2o,0.80275065
41,T1178TS239_5o,0.8104628
42,T1178TS147_2o,0.7863384
43,T1178TS462_1o,0.83236426
44,T1178TS125_3o,0.78896713
45,T1178TS131_4o,0.7681737
46,T1178TS234_2o,0.41637287
47,T1178TS245_4o,0.7956587
48,T1178TS494_2o,0.67293626
49,T1178TS091_4o,0.91385967
50,T1178TS288_1o,0.8816542
51,T1178TS374_3o,0.7927969
52,T1178TS119_4o,0.80948216
53,T1178TS441_4o,0.7950585
54,T1178TS278_1o,0.8789285
55,T1178TS205_2o,0.72018105
56,T1178TS298_4o,0.7541949
57,T1178TS188_3o,0.6972791
58,T1178TS399_1o,0.85539544
59,T1178TS461_5o,0.5884247
60,T1178TS493_4o,0.7332714
61,T1178TS390_3o,0.7880621
62,T1178TS350_1o,0.0
63,T1178TS150_3o,0.7628984
64,T1178TS439_2o,0.84738755
65,T1178TS158_4o,0.8660542
66,T1178TS225_2o,0.8000573
67,T1178TS073_1o,0.8816542
68,T1178TS433_4o,0.7950585
69,T1178TS098_1o,0.7657593
70,T1178TS288_5o,0.8816542
71,T1178TS398_5o,0.7764445
72,T1178TS367_3o,0.85283095
73,T1178TS288_2o,0.88209665
74,T1178TS367_1o,0.8355333
75,T1178TS188_5o,0.7537688
76,T1178TS314_4o,0.7764676
77,T1178TS320_4o,0.7764676
78,T1178TS245_2o,0.7956587
79,T1178TS035_2o,0.86476207
80,T1178TS165_4o,0.7702945
81,T1178TS494_3o,0.67426467
82,T1178TS035_5o,0.8133219
83,T1178TS248_4o,0.85980386
84,T1178TS314_2o,0.7956587
85,T1178TS234_5o,0.41637287
86,T1178TS098_3o,0.7549975
87,T1178TS494_5o,0.6659898
88,T1178TS423_1o,0.8799994
89,T1178TS374_4o,0.8004812
90,T1178TS035_4o,0.85980386
91,T1178TS291_3o,0.0
92,T1178TS091_2o,0.87876123
93,T1178TS187_4o,0.76112825
94,T1178TS439_3o,0.83067274
95,T1178TS248_3o,0.86351573
96,T1178TS185_1o,0.8533832
97,T1178TS320_1o,0.8052595
98,T1178TS399_2o,0.84964067
99,T1178TS350_2o,0.0
100,T1178TS169_1o,0.7382698
101,T1178TS288_3o,0.86860305
102,T1178TS086_4o,0.8637047
103,T1178TS054_2o,0.84964067
