,model,plddt
0,H1157TS180_4,0.88937235
1,H1157TS097_5,0.8369397
2,H1157TS091_2,0.9024645
3,H1157TS348_2,0.8121646
4,H1157TS423_4,0.8227222
5,H1157TS091_3,0.8371567
6,H1157TS086_3,0.8407947
7,H1157TS086_1,0.8408222
8,H1157TS350_1,0.0
9,H1157TS494_3,0.6318541
10,H1157TS185_1,0.9612275
11,H1157TS225_2,0.8337845
12,H1157TS447_3,0.21603854
13,H1157TS229_4,0.8383754
14,H1157TS248_2,0.8593824
15,H1157TS367_5,0.84064627
16,H1157TS298_1,0.8370512
17,H1157TS433_3,0.79839045
18,H1157TS158_5,0.8405832
19,H1157TS074_2,0.83683413
20,H1157TS229_2,0.8857967
21,H1157TS091_5,0.9235589
22,H1157TS187_1,0.8239856
23,H1157TS444_1,0.87098473
24,H1157TS493_1,0.8240274
25,H1157TS003_2,0.8404746
26,H1157TS462_3,0.8951865
27,H1157TS348_3,0.8267454
28,H1157TS360_3,0.82338285
29,H1157TS348_1,0.8284733
30,H1157TS360_1,0.82287616
31,H1157TS227_3,0.83590263
32,H1157TS333_5,0.92794156
33,H1157TS446_4,0.83137894
34,H1157TS150_5,0.7974245
35,H1157TS205_1,0.8370105
36,H1157TS446_2,0.8401052
37,H1157TS312_3,0.0
38,H1157TS239_5,0.83157045
39,H1157TS367_4,0.837301
40,H1157TS035_3,0.85802853
41,H1157TS150_4,0.7974245
42,H1157TS150_2,0.7974245
43,H1157TS360_5,0.82372916
44,H1157TS248_1,0.8579037
45,H1157TS011_2,0.83262134
46,H1157TS288_3,0.8375429
47,H1157TS314_3,0.81323767
48,H1157TS494_2,0.6404406
49,H1157TS227_1,0.8336161
50,H1157TS390_4,0.82524717
51,H1157TS165_3,0.808908
52,H1157TS399_3,0.83645165
53,H1157TS433_5,0.79493123
54,H1157TS073_3,0.8375429
55,H1157TS441_5,0.79493123
56,H1157TS234_4,0.29403347
57,H1157TS350_4,0.0
58,H1157TS462_4,0.88937235
59,H1157TS074_3,0.8375429
60,H1157TS180_5,0.89753705
61,H1157TS278_2,0.6794012
62,H1157TS368_4,0.92544484
63,H1157TS086_4,0.8404746
64,H1157TS333_3,0.9341857
65,H1157TS229_1,0.88757575
66,H1157TS493_3,0.81632406
67,H1157TS150_1,0.7974245
68,H1157TS461_4,0.83137894
69,H1157TS447_4,0.2143324
70,H1157TS461_3,0.83052886
71,H1157TS314_2,0.8079937
72,H1157TS169_5,0.8217499
73,H1157TS125_4,0.8372319
74,H1157TS187_4,0.8227222
75,H1157TS185_3,0.9035949
76,H1157TS180_1,0.92008513
77,H1157TS054_3,0.83645165
78,H1157TS003_5,0.83824176
79,H1157TS439_3,0.8827295
80,H1157TS441_4,0.7971806
81,H1157TS350_3,0.0
82,H1157TS390_5,0.8134909
83,H1157TS229_3,0.83837956
84,H1157TS374_3,0.84488934
85,H1157TS390_1,0.82357335
86,H1157TS312_5,0.0
87,H1157TS071_5,0.8306889
88,H1157TS298_4,0.83522785
89,H1157TS288_5,0.8343988
90,H1157TS054_5,0.87347734
91,H1157TS314_5,0.8139343
92,H1157TS278_5,0.72419447
93,H1157TS119_2,0.84855247
94,H1157TS229_5,0.8438852
95,H1157TS423_3,0.8191416
96,H1157TS158_4,0.8408222
97,H1157TS350_2,0.0
98,H1157TS188_5,0.8134909
99,H1157TS291_5,0.0
100,H1157TS011_1,0.83389544
101,H1157TS188_3,0.81587744
102,H1157TS494_5,0.65472203
103,H1157TS441_3,0.79839045
104,H1157TS248_4,0.8577471
105,H1157TS239_3,0.87390447
106,H1157TS320_2,0.82094485
107,H1157TS239_1,0.8857967
108,H1157TS091_1,0.8572485
109,H1157TS125_2,0.83785516
110,H1157TS278_3,0.75295436
111,H1157TS011_3,0.83623034
112,H1157TS131_4,0.8432191
113,H1157TS071_1,0.8362105
114,H1157TS368_1,0.9185197
115,H1157TS367_1,0.8404746
116,H1157TS097_2,0.867231
117,H1157TS439_2,0.8826498
118,H1157TS434_5,0.82234365
119,H1157TS257_1,0.85202914
120,H1157TS312_1,0.0
121,H1157TS035_5,0.85242087
122,H1157TS205_3,0.82542866
123,H1157TS091_4,0.8371567
124,H1157TS165_5,0.79752874
125,H1157TS133_1,0.8336161
126,H1157TS073_5,0.8343988
127,H1157TS257_5,0.84407496
128,H1157TS239_2,0.8407293
129,H1157TS360_4,0.8370512
130,H1157TS035_4,0.8577471
131,H1157TS086_2,0.84064627
132,H1157TS444_4,0.87141806
133,H1157TS147_4,0.0
134,H1157TS333_2,0.92230767
135,H1157TS185_4,0.91121405
136,H1157TS320_5,0.8139343
137,H1157TS433_1,0.80211306
138,H1157TS439_1,0.88757575
139,H1157TS447_1,0.2150483
140,H1157TS446_3,0.83052886
141,H1157TS367_3,0.8385256
142,H1157TS399_1,0.8367098
143,H1157TS494_1,0.6364232
144,H1157TS125_3,0.83645165
145,H1157TS003_3,0.8408222
146,H1157TS097_3,0.8674801
147,H1157TS257_2,0.85606354
148,H1157TS074_5,0.8343988
149,H1157TS291_4,0.0
150,H1157TS054_2,0.83785516
151,H1157TS225_1,0.83939505
152,H1157TS169_2,0.83630276
153,H1157TS098_5,0.8134909
154,H1157TS248_3,0.85802853
155,H1157TS312_2,0.0
156,H1157TS011_5,0.82234365
157,H1157TS165_1,0.79981893
158,H1157TS390_3,0.81587744
159,H1157TS234_1,0.29403347
160,H1157TS187_2,0.83060116
161,H1157TS399_2,0.83785516
162,H1157TS433_4,0.7971806
163,H1157TS314_4,0.7974245
164,H1157TS477_1,0.83902466
165,H1157TS180_2,0.908563
166,H1157TS245_1,0.8714799
167,H1157TS291_2,0.0
168,H1157TS423_5,0.82198465
169,H1157TS390_2,0.82048494
170,H1157TS494_4,0.6568369
171,H1157TS071_2,0.83397895
172,H1157TS187_5,0.82198465
173,H1157TS187_3,0.8191416
174,H1157TS434_2,0.83262134
175,H1157TS288_1,0.8360706
176,H1157TS446_5,0.82764083
177,H1157TS385_1,0.8714799
178,H1157TS462_1,0.92008513
179,H1157TS298_5,0.8342288
180,H1157TS131_2,0.84195036
181,H1157TS493_2,0.82094485
182,H1157TS185_2,0.9487287
183,H1157TS350_5,0.0
184,H1157TS073_2,0.83683413
185,H1157TS092_1,0.8451474
186,H1157TS125_1,0.8367098
187,H1157TS185_5,0.900799
188,H1157TS314_1,0.8240274
189,H1157TS348_5,0.8291187
190,H1157TS180_3,0.8951865
191,H1157TS158_1,0.8404746
192,H1157TS320_1,0.8240274
193,H1157TS444_2,0.8436096
194,H1157TS073_1,0.8360706
195,H1157TS374_4,0.8452964
196,H1157TS131_5,0.84253263
197,H1157TS461_2,0.8401052
198,H1157TS119_1,0.84855247
199,H1157TS119_3,0.8465134
200,H1157TS098_4,0.82524717
201,H1157TS133_3,0.8229238
202,H1157TS368_3,0.9341857
203,H1157TS278_1,0.795604
204,H1157TS447_2,0.21307185
205,H1157TS225_4,0.8298547
206,H1157TS374_1,0.84240705
207,H1157TS074_1,0.8360706
208,H1157TS434_1,0.83389544
209,H1157TS131_3,0.8437479
210,H1157TS150_3,0.7974245
211,H1157TS320_4,0.8256976
212,H1157TS205_4,0.0
213,H1157TS147_1,0.0
214,H1157TS278_4,0.6993804
215,H1157TS374_5,0.83819836
216,H1157TS169_3,0.8334959
217,H1157TS205_2,0.0
218,H1157TS098_2,0.8230277
219,H1157TS441_2,0.80003434
220,H1157TS119_5,0.8415837
221,H1157TS399_5,0.87347734
222,H1157TS074_4,0.83291465
223,H1157TS098_1,0.82312775
224,H1157TS003_4,0.8416038
225,H1157TS462_2,0.908563
226,H1157TS071_4,0.8321572
227,H1157TS291_3,0.0
228,H1157TS147_5,0.0
229,H1157TS086_5,0.84084064
230,H1157TS054_4,0.8372319
231,H1157TS288_4,0.83291465
232,H1157TS434_3,0.83623034
233,H1157TS169_4,0.82312775
234,H1157TS035_1,0.8579037
235,H1157TS133_4,0.8177852
236,H1157TS227_4,0.8277024
237,H1157TS399_4,0.8372319
238,H1157TS360_2,0.8239213
239,H1157TS097_4,0.8433903
240,H1157TS205_5,0.80577683
241,H1157TS158_2,0.8407947
242,H1157TS234_3,0.29403347
243,H1157TS147_3,0.0
244,H1157TS333_1,0.9185197
245,H1157TS423_2,0.83060116
246,H1157TS257_3,0.8529207
247,H1157TS188_4,0.82524717
248,H1157TS368_2,0.92230767
249,H1157TS234_5,0.29403347
250,H1157TS011_4,0.83624357
251,H1157TS367_2,0.8373365
252,H1157TS125_5,0.87347734
253,H1157TS131_1,0.8453567
254,H1157TS312_4,0.0
255,H1157TS227_2,0.83697575
256,H1157TS054_1,0.8367098
257,H1157TS288_2,0.83683413
258,H1157TS441_1,0.80211306
259,H1157TS298_3,0.8350793
260,H1157TS461_1,0.83408964
261,H1157TS133_5,0.82280266
262,H1157TS169_1,0.83555096
263,H1157TS320_3,0.81632406
264,H1157TS225_5,0.8692874
265,H1157TS165_2,0.80719143
266,H1157TS493_4,0.7974245
267,H1157TS225_3,0.8656585
268,H1157TS333_4,0.92544484
269,H1157TS434_4,0.83624357
