,model,plddt
0,T1179TS150_3o,0.6298111
1,T1179TS003_5o,0.6335283
2,T1179TS399_1o,0.5430354
3,T1179TS423_2o,0.60375226
4,T1179TS441_4o,0.7692021
5,T1179TS398_2o,0.55639464
6,T1179TS147_4o,0.0
7,T1179TS091_1o,0.7923018
8,T1179TS291_3o,0.0
9,T1179TS150_5o,0.55982417
10,T1179TS398_4o,0.5593985
11,T1179TS037_2o,0.6164594
12,T1179TS291_2o,0.0
13,T1179TS003_4o,0.58181953
14,T1179TS390_3o,0.626023
15,T1179TS229_5o,0.5509879
16,T1179TS086_4o,0.5987736
17,T1179TS439_2o,0.81614465
18,T1179TS278_1o,0.92358166
19,T1179TS399_4o,0.51457936
20,T1179TS433_1o,0.7913076
21,T1179TS350_5o,0.0
22,T1179TS288_2o,0.6689464
23,T1179TS461_2o,0.31896475
24,T1179TS447_1o,0.22553295
25,T1179TS074_5o,0.6689464
26,T1179TS054_1o,0.5430354
27,T1179TS054_3o,0.54542947
28,T1179TS433_3o,0.7824375
29,T1179TS180_4o,0.6171745
30,T1179TS291_1o,0.0
31,T1179TS147_2o,0.0
32,T1179TS185_3o,0.8048741
33,T1179TS433_2o,0.79160035
34,T1179TS098_3o,0.6369843
35,T1179TS390_2o,0.58045405
36,T1179TS367_3o,0.71580535
37,T1179TS091_3o,0.50735265
38,T1179TS439_4o,0.7813688
39,T1179TS091_2o,0.8009018
40,T1179TS037_1o,0.65204525
41,T1179TS494_4o,0.6178423
42,T1179TS180_1o,0.7308358
43,T1179TS188_3o,0.5520154
44,T1179TS054_5o,0.55612546
45,T1179TS158_4o,0.662037
46,T1179TS350_2o,0.0
47,T1179TS245_1o,0.5808964
48,T1179TS091_4o,0.7756437
49,T1179TS374_2o,0.78933275
50,T1179TS131_1o,0.5163504
51,T1179TS229_3o,0.63109016
52,T1179TS278_4o,0.6864608
53,T1179TS248_1o,0.5271977
54,T1179TS494_5o,0.5851218
55,T1179TS493_3o,0.6264809
56,T1179TS239_4o,0.5274663
57,T1179TS461_5o,0.22427414
58,T1179TS423_4o,0.58237606
59,T1179TS461_4o,0.26435977
60,T1179TS165_4o,0.5787234
61,T1179TS071_3o,0.55797815
62,T1179TS312_3o,0.0
63,T1179TS298_1o,0.6263311
64,T1179TS003_3o,0.62335867
65,T1179TS086_2o,0.6739711
66,T1179TS399_5o,0.55612546
67,T1179TS367_2o,0.6739711
68,T1179TS185_4o,0.7634282
69,T1179TS441_1o,0.7913076
70,T1179TS350_1o,0.0
71,T1179TS071_5o,0.6668335
72,T1179TS131_4o,0.551177
73,T1179TS298_2o,0.6403029
74,T1179TS229_2o,0.63865936
75,T1179TS150_2o,0.5801475
76,T1179TS035_1o,0.5271977
77,T1179TS461_3o,0.27884194
78,T1179TS374_1o,0.7632782
79,T1179TS119_5o,0.61298966
80,T1179TS098_4o,0.5994356
81,T1179TS494_2o,0.59883106
82,T1179TS298_5o,0.57357264
83,T1179TS444_1o,0.57972413
84,T1179TS086_3o,0.7012801
85,T1179TS350_4o,0.0
86,T1179TS291_4o,0.0
87,T1179TS320_1o,0.5792774
88,T1179TS312_4o,0.0
89,T1179TS147_3o,0.0
90,T1179TS125_4o,0.51457936
91,T1179TS165_1o,0.35874787
92,T1179TS291_5o,0.0
93,T1179TS446_5o,0.22427414
94,T1179TS073_4o,0.63214445
95,T1179TS447_2o,0.22533143
96,T1179TS444_5o,0.55639464
97,T1179TS158_2o,0.62335867
98,T1179TS185_1o,0.82854235
99,T1179TS165_5o,0.61924595
100,T1179TS158_5o,0.6126969
101,T1179TS035_4o,0.61398596
102,T1179TS245_3o,0.5808964
103,T1179TS390_1o,0.5542835
104,T1179TS439_3o,0.7549132
105,T1179TS169_5o,0.0
106,T1179TS180_5o,0.63590693
107,T1179TS447_4o,0.22131228
108,T1179TS398_5o,0.55639464
109,T1179TS091_5o,0.9185239
110,T1179TS054_4o,0.51457936
111,T1179TS360_4o,0.49901572
112,T1179TS229_1o,0.73025054
113,T1179TS169_2o,0.5980898
114,T1179TS493_1o,0.554733
115,T1179TS205_3o,0.50037104
116,T1179TS185_2o,0.8138672
117,T1179TS245_5o,0.5808964
118,T1179TS147_1o,0.0
119,T1179TS035_2o,0.6816477
120,T1179TS035_3o,0.6703502
121,T1179TS446_3o,0.27884194
122,T1179TS131_2o,0.5152414
123,T1179TS073_1o,0.8333508
124,T1179TS462_4o,0.7011128
125,T1179TS125_3o,0.54542947
126,T1179TS073_2o,0.6689464
127,T1179TS461_1o,0.30116358
128,T1179TS348_1o,0.5269552
129,T1179TS188_1o,0.5069611
130,T1179TS131_3o,0.61101115
131,T1179TS239_1o,0.73025054
132,T1179TS158_1o,0.6739711
133,T1179TS298_4o,0.5646159
134,T1179TS205_4o,0.0
135,T1179TS119_4o,0.67449486
136,T1179TS248_3o,0.6703502
137,T1179TS367_5o,0.610459
138,T1179TS248_2o,0.6816477
139,T1179TS234_2o,0.47174907
140,T1179TS444_3o,0.7555452
141,T1179TS278_2o,0.72779405
142,T1179TS314_2o,0.51563215
143,T1179TS185_5o,0.7427295
144,T1179TS086_5o,0.662037
145,T1179TS348_4o,0.50949633
146,T1179TS035_5o,0.64459926
147,T1179TS320_5o,0.5421585
148,T1179TS278_3o,0.7751081
