,Elo_0,Elo_1,Elo_2,Elo_3,Elo_4,avg_refine_0,avg_refine_1,avg_refine_2,avg_refine_3,avg_refine_4,default_af_0,default_af_1,default_af_2,default_af_3,default_af_4,default_af_5,default_af_6,default_af_7,default_af_8,default_af_9,default_img_0,default_img_1,default_img_2,default_img_3,default_img_4,default_img_5,default_img_6,default_img_7,default_img_8,default_img_9,default_mul_newest_0,default_mul_newest_1,default_mul_newest_10,default_mul_newest_11,default_mul_newest_12,default_mul_newest_13,default_mul_newest_14,default_mul_newest_15,default_mul_newest_16,default_mul_newest_17,default_mul_newest_18,default_mul_newest_19,default_mul_newest_2,default_mul_newest_20,default_mul_newest_21,default_mul_newest_22,default_mul_newest_23,default_mul_newest_24,default_mul_newest_3,default_mul_newest_4,default_mul_newest_5,default_mul_newest_6,default_mul_newest_7,default_mul_newest_8,default_mul_newest_9,default_multimer_0,default_multimer_1,default_multimer_2,default_multimer_3,default_multimer_4,default_multimer_5,default_multimer_6,default_multimer_7,default_multimer_8,default_multimer_9,default_struct_0,default_struct_1,default_struct_2,default_struct_3,default_struct_4,default_struct_5,default_struct_6,default_struct_7,default_struct_8,default_struct_9,default_uniclust30_0,default_uniclust30_1,default_uniclust30_2,default_uniclust30_3,default_uniclust30_4,default_uniclust30_5,default_uniclust30_6,default_uniclust30_7,default_uniclust30_8,default_uniclust30_9,default_uniref30_22_0,default_uniref30_22_1,default_uniref30_22_10,default_uniref30_22_11,default_uniref30_22_12,default_uniref30_22_13,default_uniref30_22_14,default_uniref30_22_15,default_uniref30_22_16,default_uniref30_22_17,default_uniref30_22_18,default_uniref30_22_19,default_uniref30_22_2,default_uniref30_22_20,default_uniref30_22_21,default_uniref30_22_22,default_uniref30_22_23,default_uniref30_22_24,default_uniref30_22_3,default_uniref30_22_4,default_uniref30_22_5,default_uniref30_22_6,default_uniref30_22_7,default_uniref30_22_8,default_uniref30_22_9,img_multimer_0,img_multimer_1,img_multimer_2,img_multimer_3,img_multimer_4,img_multimer_5,img_multimer_6,img_multimer_7,img_multimer_8,img_multimer_9,iter_1_0,iter_1_1,iter_1_2,iter_1_3,iter_1_4,iter_1_5,iter_1_6,iter_1_7,iter_1_8,iter_1_9,iter_1_old_0,iter_1_old_1,iter_1_old_2,iter_1_old_3,iter_1_old_4,iter_1_old_5,iter_1_old_6,iter_1_old_7,iter_1_old_8,iter_1_old_9,iter_2_old_0,iter_2_old_1,iter_2_old_2,iter_2_old_3,iter_2_old_4,iter_2_old_5,iter_2_old_6,iter_2_old_7,iter_2_old_8,iter_2_old_9,lewis_0,lewis_1,lewis_2,lewis_3,lewis_4,spec_af_0,spec_af_1,spec_af_2,spec_af_3,spec_af_4,spec_af_5,spec_af_6,spec_af_7,spec_af_8,spec_af_9,spec_iter_uniprot_sto_0,spec_iter_uniprot_sto_1,spec_iter_uniprot_sto_2,spec_iter_uniprot_sto_3,spec_iter_uniprot_sto_4,spec_iter_uniprot_sto_5,spec_iter_uniprot_sto_6,spec_iter_uniprot_sto_7,spec_iter_uniprot_sto_8,spec_iter_uniprot_sto_9,spec_iter_uniref_a3m_0,spec_iter_uniref_a3m_1,spec_iter_uniref_a3m_2,spec_iter_uniref_a3m_3,spec_iter_uniref_a3m_4,spec_iter_uniref_a3m_5,spec_iter_uniref_a3m_6,spec_iter_uniref_a3m_7,spec_iter_uniref_a3m_8,spec_iter_uniref_a3m_9,spec_iter_uniref_sto_0,spec_iter_uniref_sto_1,spec_iter_uniref_sto_2,spec_iter_uniref_sto_3,spec_iter_uniref_sto_4,spec_iter_uniref_sto_5,spec_iter_uniref_sto_6,spec_iter_uniref_sto_7,spec_iter_uniref_sto_8,spec_iter_uniref_sto_9,spec_struct_0,spec_struct_1,spec_struct_2,spec_struct_3,spec_struct_4,spec_struct_5,spec_struct_6,spec_struct_7,spec_struct_8,spec_struct_9,uniclust_oxmatch_a3m_0,uniclust_oxmatch_a3m_1,uniclust_oxmatch_a3m_2,uniclust_oxmatch_a3m_3,uniclust_oxmatch_a3m_4,uniclust_oxmatch_a3m_5,uniclust_oxmatch_a3m_6,uniclust_oxmatch_a3m_7,uniclust_oxmatch_a3m_8,uniclust_oxmatch_a3m_9
0,1.0,0.9574,0.82892,0.47014,0.67746,0.94783,0.93599,0.92963,0.76621,0.72922,0.71843,0.60484,0.49541,0.61883,0.69625,0.63299,0.45275,0.50251,0.51763,0.4336,0.86085,0.67815,0.67728,0.44674,0.68242,0.53919,0.51314,0.44381,0.45922,0.56592,0.93007,0.89379,0.8482,0.57267,0.85678,0.69206,0.72229,0.79448,0.40156,0.75014,0.68442,0.51559,0.94259,0.66453,0.5231,0.52432,0.59303,0.40682,0.94118,0.96459,0.85278,0.85532,0.79558,0.79436,0.78366,0.83367,0.92343,0.49161,0.71854,0.8049,0.35571,0.54066,0.37643,0.61696,0.55912,0.87119,0.76436,0.75917,0.78588,0.66201,0.59195,0.93263,0.80117,0.58278,0.65164,0.93541,0.91703,0.41935,0.45164,0.92702,0.77956,0.75124,0.78006,0.48204,0.52326,0.94536,0.96415,0.34378,0.82209,0.71734,0.84175,0.41258,0.51488,0.50945,0.34991,0.51838,0.74163,0.9362,0.53842,0.45177,0.67861,0.50765,0.5707,0.94402,0.86516,0.8821,0.7966,0.76664,0.78686,0.49483,0.39316,0.4107,0.37796,0.39295,0.37845,0.38828,0.35425,0.59461,0.55982,0.57114,0.82798,0.73919,0.57165,0.76911,0.76144,0.67097,0.35471,0.36035,0.53699,0.52406,0.83244,0.92456,0.8331,0.86878,0.5853,0.51918,0.54505,0.68506,0.34079,0.66251,0.85215,0.54337,0.59598,0.72858,0.59064,0.74356,0.70013,0.70054,0.46703,0.61868,0.93834,0.9411,0.94235,0.92937,0.92715,0.48929,0.43067,0.4284,0.61036,0.59123,0.6033,0.41305,0.49786,0.52194,0.51033,0.93944,0.79838,0.34061,0.69627,0.5599,0.34152,0.65288,0.36727,0.51152,0.58455,0.36314,0.36515,0.34889,0.58235,0.33547,0.59845,0.58138,0.36901,0.59383,0.42952,0.84786,0.58826,0.73669,0.6038,0.3374,0.60833,0.65326,0.64903,0.55549,0.49108,0.62229,0.41227,0.38341,0.37465,0.36534,0.63365,0.36079,0.34234,0.40514,0.40236,0.8407,0.84499,0.68115,0.76448,0.62204,0.55077,0.52161,0.58824,0.62684,0.54127
1,0.9574,1.0,0.87891,0.47693,0.6747,0.9468,0.95351,0.9423,0.76178,0.76745,0.76844,0.58603,0.49088,0.61004,0.74628,0.62459,0.62212,0.67797,0.50726,0.44124,0.85629,0.68211,0.67913,0.4617,0.68562,0.35427,0.60645,0.44556,0.45879,0.45677,0.94423,0.94474,0.89301,0.77726,0.47623,0.75018,0.74053,0.83775,0.56259,0.78172,0.6863,0.76056,0.95345,0.66326,0.52203,0.53754,0.63732,0.41099,0.94057,0.98064,0.85396,0.90416,0.80409,0.80006,0.80403,0.85378,0.94766,0.74808,0.71284,0.85976,0.35782,0.82574,0.37583,0.49952,0.69521,0.90453,0.76714,0.77237,0.78623,0.43617,0.61452,0.9516,0.84454,0.56003,0.64702,0.95453,0.94333,0.78105,0.76485,0.9563,0.78685,0.76754,0.82041,0.47756,0.51274,0.94804,0.96509,0.34434,0.87784,0.74026,0.81945,0.42353,0.34648,0.50533,0.35092,0.70214,0.77508,0.95821,0.61003,0.57494,0.44215,0.72635,0.61696,0.93108,0.91405,0.93221,0.77234,0.75739,0.77667,0.48483,0.39281,0.41081,0.52616,0.53883,0.38136,0.38068,0.35646,0.44525,0.56136,0.57517,0.86763,0.45313,0.59777,0.55532,0.7735,0.66937,0.35684,0.3626,0.55267,0.52655,0.88398,0.95121,0.87753,0.92155,0.62333,0.74517,0.78055,0.46271,0.34076,0.34103,0.90025,0.77392,0.62226,0.74334,0.62817,0.74154,0.45444,0.70842,0.46111,0.61895,0.95306,0.94775,0.95332,0.94711,0.9459,0.5133,0.43794,0.43421,0.60342,0.58583,0.43312,0.59733,0.48783,0.65265,0.64139,0.94556,0.81156,0.63779,0.75409,0.67825,0.34198,0.34429,0.45549,0.58666,0.62249,0.37322,0.58771,0.53908,0.58518,0.33865,0.59031,0.57352,0.56149,0.59013,0.42956,0.87022,0.62127,0.75139,0.46068,0.33728,0.60824,0.56114,0.69706,0.55528,0.41256,0.62029,0.65307,0.38001,0.6418,0.57865,0.62636,0.37058,0.3488,0.39572,0.40042,0.82385,0.8556,0.70634,0.756,0.62497,0.57014,0.51588,0.59794,0.60435,0.55025
2,0.82892,0.87891,1.0,0.77855,0.35513,0.84926,0.86301,0.84642,0.67366,0.73985,0.79661,0.55161,0.56684,0.46074,0.78481,0.46698,0.4539,0.56679,0.54126,0.58324,0.86988,0.68654,0.37237,0.96372,0.3942,0.55512,0.63267,0.58395,0.44735,0.59189,0.89303,0.91156,0.97116,0.64322,0.92706,0.77778,0.80101,0.88012,0.45939,0.86809,0.70087,0.82535,0.86045,0.34912,0.527,0.57923,0.63718,0.53937,0.84892,0.87108,0.86093,0.9592,0.72165,0.71789,0.86367,0.90621,0.87507,0.64233,0.70156,0.96137,0.37219,0.75992,0.55461,0.70208,0.62764,0.95114,0.67599,0.68796,0.69779,0.61376,0.55392,0.86767,0.80074,0.6368,0.56372,0.86456,0.86159,0.41225,0.82651,0.87424,0.55645,0.61006,0.8711,0.43942,0.56129,0.85019,0.86891,0.66314,0.89812,0.80823,0.80843,0.66192,0.52051,0.59395,0.68479,0.81926,0.76314,0.87139,0.66118,0.58829,0.74722,0.67983,0.62148,0.84,0.9714,0.94784,0.74406,0.66779,0.78192,0.57225,0.38563,0.38271,0.39074,0.39286,0.3835,0.38775,0.36615,0.4497,0.38065,0.56516,0.81703,0.80583,0.68859,0.60755,0.68801,0.35432,0.36111,0.6463,0.83769,0.53307,0.97509,0.86559,0.93648,0.93044,0.73492,0.76283,0.66614,0.79013,0.66412,0.66323,0.9788,0.66193,0.56517,0.77449,0.74514,0.52649,0.73083,0.73672,0.70683,0.34132,0.86398,0.8517,0.85876,0.85799,0.85699,0.58351,0.45463,0.58642,0.58567,0.57316,0.4587,0.5782,0.56429,0.57439,0.57207,0.855,0.72683,0.34605,0.83713,0.53278,0.65478,0.35167,0.46239,0.55491,0.63876,0.40916,0.60136,0.38185,0.59935,0.52659,0.5734,0.55914,0.41743,0.59685,0.43283,0.79286,0.582,0.57503,0.45748,0.34103,0.34322,0.67378,0.55988,0.55358,0.40234,0.36637,0.48062,0.58866,0.40074,0.58049,0.62732,0.39925,0.36832,0.41377,0.3983,0.76964,0.82478,0.74566,0.73365,0.38459,0.60945,0.56737,0.54004,0.50334,0.5769
3,0.47014,0.47693,0.77855,1.0,0.34451,0.83854,0.85507,0.46612,0.46679,0.85646,0.77218,0.66996,0.61644,0.44726,0.74908,0.5906,0.61139,0.51569,0.51079,0.44533,0.74497,0.34563,0.56616,0.77385,0.57222,0.55536,0.51357,0.39839,0.45177,0.56776,0.83438,0.84187,0.78961,0.5694,0.836,0.76679,0.73756,0.45583,0.41094,0.40376,0.37349,0.5111,0.47016,0.33964,0.34594,0.53419,0.49478,0.47567,0.83522,0.47813,0.42865,0.46169,0.81393,0.46544,0.4082,0.42972,0.85329,0.51509,0.60207,0.76795,0.56543,0.49269,0.36803,0.44527,0.57703,0.78938,0.86197,0.46766,0.45673,0.70381,0.62253,0.85194,0.78228,0.54998,0.60058,0.85096,0.85186,0.41129,0.65815,0.85715,0.63519,0.57686,0.71646,0.62612,0.55187,0.84474,0.47478,0.55032,0.4673,0.38635,0.70744,0.40449,0.51964,0.56604,0.34619,0.47504,0.48014,0.47065,0.51035,0.37619,0.43551,0.50043,0.4834,0.82326,0.80528,0.82708,0.64969,0.46567,0.68249,0.48269,0.38453,0.40705,0.38136,0.37908,0.37919,0.37836,0.53315,0.42899,0.40933,0.58269,0.83389,0.4471,0.66009,0.64961,0.46102,0.55772,0.55881,0.58728,0.46573,0.33421,0.76932,0.47017,0.4475,0.82487,0.7018,0.5014,0.57493,0.77845,0.55649,0.33519,0.78842,0.57306,0.68091,0.49822,0.43451,0.61096,0.60184,0.41952,0.4486,0.33287,0.84836,0.46978,0.85132,0.85362,0.85305,0.51466,0.59352,0.43934,0.58599,0.57946,0.43388,0.57485,0.48905,0.5532,0.5446,0.46848,0.85131,0.55446,0.78164,0.55222,0.55263,0.55992,0.39171,0.52567,0.60336,0.37492,0.6111,0.54216,0.35911,0.33381,0.3794,0.37048,0.39598,0.3617,0.44183,0.50535,0.62923,0.56117,0.4624,0.34955,0.33714,0.56516,0.55967,0.61353,0.49486,0.3568,0.56224,0.59147,0.38386,0.35832,0.35393,0.37878,0.35808,0.39798,0.4046,0.76632,0.80554,0.39923,0.69679,0.58167,0.57012,0.47438,0.49839,0.50091,0.50447
4,0.67746,0.6747,0.35513,0.34451,1.0,0.67759,0.67645,0.66818,0.49644,0.34942,0.55992,0.35113,0.35051,0.56317,0.55809,0.35378,0.56777,0.35211,0.34658,0.55729,0.67935,0.43739,0.69997,0.35654,0.69119,0.37969,0.47459,0.45953,0.48395,0.56813,0.35316,0.67785,0.35466,0.67479,0.35049,0.34746,0.35019,0.35252,0.53386,0.67148,0.68665,0.60463,0.3509,0.69955,0.56052,0.39684,0.53407,0.40899,0.35251,0.35176,0.36008,0.67407,0.52976,0.34326,0.35967,0.67648,0.34882,0.36929,0.38146,0.35505,0.68813,0.42227,0.35459,0.56162,0.37603,0.35312,0.34633,0.34738,0.5106,0.50789,0.48488,0.67394,0.60243,0.52395,0.37894,0.35119,0.34974,0.34657,0.66956,0.35087,0.66558,0.36314,0.66485,0.35794,0.41046,0.67685,0.34932,0.38045,0.35125,0.35663,0.67761,0.55532,0.54847,0.55612,0.70646,0.56341,0.41032,0.67654,0.51829,0.44156,0.62835,0.46512,0.51958,0.68077,0.35615,0.67802,0.35533,0.49742,0.62047,0.37361,0.33685,0.33344,0.31771,0.48677,0.48253,0.32816,0.51734,0.41185,0.33286,0.50399,0.63004,0.35537,0.35377,0.67555,0.34155,0.72992,0.39997,0.66865,0.54906,0.45176,0.67701,0.35041,0.35141,0.67489,0.49056,0.67365,0.36025,0.50116,0.36476,0.6796,0.35541,0.35944,0.3536,0.36788,0.35003,0.62387,0.35543,0.37407,0.64443,0.6417,0.67797,0.35109,0.351,0.34953,0.34935,0.3472,0.56556,0.56282,0.33777,0.33902,0.56341,0.55589,0.55891,0.33873,0.34497,0.34941,0.53955,0.37203,0.33558,0.57962,0.36576,0.40953,0.48174,0.42551,0.50585,0.36963,0.55611,0.54332,0.39974,0.34157,0.55888,0.34195,0.36179,0.3372,0.41865,0.58727,0.35428,0.6676,0.5295,0.6025,0.64996,0.41076,0.45311,0.45206,0.37419,0.64379,0.35491,0.35521,0.34443,0.5847,0.6292,0.55716,0.55877,0.35694,0.36304,0.62066,0.33873,0.32496,0.33763,0.37338,0.48562,0.41351,0.33263,0.38456,0.47257
5,0.94783,0.9468,0.8492,0.83854,0.67759,1.0,0.97964,0.98603,0.81269,0.77462,0.73757,0.60706,0.47898,0.44119,0.71399,0.43628,0.63986,0.49757,0.5106,0.44027,0.8554,0.68043,0.36815,0.84856,0.3785,0.54339,0.51772,0.44471,0.44902,0.5671,0.93797,0.93926,0.86487,0.5675,0.8655,0.72101,0.72893,0.81281,0.56485,0.76174,0.3818,0.73585,0.99206,0.66535,0.34679,0.52298,0.60496,0.40937,0.99096,0.96708,0.8514,0.87431,0.8441,0.84221,0.79119,0.83904,0.97494,0.49029,0.3767,0.82834,0.35991,0.83446,0.54725,0.62556,0.54927,0.87718,0.81003,0.80512,0.83022,0.65862,0.60608,0.98577,0.83098,0.60502,0.66361,0.98645,0.95989,0.76766,0.75275,0.97066,0.67037,0.56125,0.79393,0.48587,0.50875,0.99475,0.95634,0.65527,0.83239,0.72541,0.83563,0.67075,0.34688,0.4908,0.68021,0.67959,0.79183,0.98539,0.60639,0.4549,0.68591,0.51472,0.58499,0.98915,0.88839,0.90557,0.8066,0.81035,0.78035,0.47587,0.38843,0.39866,0.3764,0.38267,0.37691,0.37761,0.52911,0.44301,0.55791,0.36292,0.85416,0.74732,0.44627,0.56138,0.80991,0.3507,0.67232,0.36235,0.69205,0.52527,0.8516,0.97037,0.84285,0.8916,0.59928,0.50811,0.55454,0.46435,0.3416,0.66226,0.46693,0.55354,0.64308,0.49085,0.60556,0.66356,0.70391,0.42048,0.46548,0.33998,0.98757,0.99288,0.99005,0.97257,0.97034,0.48826,0.62693,0.61986,0.4322,0.59897,0.42903,0.41792,0.47804,0.53095,0.52217,0.98728,0.84488,0.637,0.71896,0.60574,0.64586,0.6509,0.45498,0.5641,0.63777,0.36491,0.57784,0.35543,0.35923,0.3389,0.59479,0.58182,0.56254,0.59837,0.42604,0.89403,0.63932,0.58173,0.61428,0.57609,0.60797,0.53142,0.69095,0.56469,0.41357,0.35405,0.65515,0.38359,0.65444,0.57991,0.63244,0.36201,0.34315,0.39928,0.39741,0.84675,0.8581,0.68898,0.77182,0.36125,0.55585,0.51003,0.63893,0.61314,0.5468
6,0.93601,0.95351,0.86301,0.85507,0.67645,0.97964,1.0,0.97891,0.7985,0.78765,0.77759,0.59767,0.48113,0.61638,0.75406,0.62969,0.46371,0.50426,0.63171,0.59838,0.8422,0.68269,0.36871,0.86766,0.6845,0.54953,0.52086,0.57382,0.45781,0.56729,0.94594,0.96527,0.87634,0.56574,0.89814,0.75322,0.72902,0.84636,0.56115,0.76814,0.68459,0.76373,0.98984,0.66283,0.34572,0.52672,0.61866,0.40807,0.97788,0.96629,0.43442,0.47099,0.84164,0.8405,0.41242,0.83451,0.98247,0.50262,0.71844,0.85514,0.35783,0.86219,0.54515,0.63181,0.55582,0.88931,0.80619,0.81048,0.82619,0.63511,0.61025,0.98534,0.87481,0.59799,0.65716,0.9942,0.99056,0.78172,0.76585,0.9911,0.66844,0.57424,0.81459,0.48504,0.49768,0.9853,0.95521,0.34377,0.86915,0.73078,0.81133,0.65418,0.34688,0.49291,0.67678,0.69687,0.7885,0.9937,0.56215,0.572,0.44151,0.76441,0.57151,0.96173,0.90598,0.93011,0.77591,0.7945,0.76612,0.61473,0.68699,0.40137,0.38064,0.53663,0.38113,0.38008,0.53031,0.44458,0.56045,0.57163,0.89854,0.75841,0.44713,0.54775,0.81082,0.35083,0.67192,0.65459,0.71543,0.52647,0.86856,0.99032,0.8608,0.92475,0.45362,0.4923,0.56715,0.73119,0.34111,0.66322,0.88845,0.56786,0.65888,0.49549,0.44557,0.64537,0.44488,0.41982,0.45576,0.61892,0.99015,0.98647,0.99051,0.99533,0.99371,0.50256,0.43769,0.60984,0.6084,0.58853,0.42815,0.41833,0.47602,0.54122,0.5344,0.97887,0.85645,0.63557,0.74639,0.59635,0.34106,0.65142,0.36692,0.58229,0.60964,0.55944,0.36694,0.35368,0.35717,0.33972,0.37311,0.58037,0.37599,0.5908,0.42653,0.90526,0.65383,0.57261,0.46743,0.57499,0.60677,0.55126,0.72194,0.64225,0.41199,0.35481,0.65038,0.38188,0.6445,0.58118,0.35239,0.36413,0.55226,0.57876,0.57691,0.44539,0.85503,0.70383,0.74951,0.36146,0.5706,0.45862,0.63339,0.60278,0.56346
7,0.92962,0.9423,0.84642,0.46612,0.66818,0.98603,0.97891,1.0,0.80031,0.77034,0.75276,0.59451,0.47294,0.61549,0.72973,0.6272,0.45843,0.49482,0.50051,0.43514,0.83312,0.34886,0.6702,0.84698,0.67841,0.53927,0.51754,0.4415,0.4474,0.56068,0.92494,0.94411,0.85932,0.55689,0.87413,0.72786,0.71401,0.82164,0.40856,0.75585,0.67656,0.52396,0.98562,0.65534,0.51456,0.54152,0.5967,0.40859,0.9783,0.9564,0.82884,0.8731,0.83654,0.83455,0.77831,0.82134,0.97426,0.73303,0.37214,0.83437,0.35657,0.55513,0.53559,0.49168,0.5453,0.8694,0.80553,0.80329,0.83358,0.63369,0.60291,0.98276,0.8497,0.55967,0.65226,0.9838,0.96783,0.76671,0.75089,0.97408,0.66826,0.75554,0.79687,0.48424,0.49248,0.98542,0.94129,0.64551,0.84337,0.71935,0.80958,0.41535,0.50863,0.63771,0.66994,0.52642,0.78045,0.98205,0.60486,0.45394,0.68258,0.51188,0.57198,0.96731,0.88553,0.90668,0.78127,0.79656,0.75789,0.46295,0.38579,0.39578,0.37531,0.37964,0.37741,0.37615,0.35073,0.58854,0.55169,0.56175,0.87376,0.744,0.58118,0.54478,0.80865,0.66244,0.35429,0.64697,0.54401,0.42357,0.84992,0.97575,0.84109,0.89839,0.60257,0.48965,0.76775,0.709,0.65964,0.6546,0.86964,0.5561,0.65051,0.48787,0.44223,0.65438,0.44391,0.69429,0.45394,0.6104,0.97963,0.98655,0.98354,0.97531,0.97425,0.49434,0.61585,0.60881,0.42803,0.42348,0.60035,0.41556,0.46997,0.53063,0.52405,0.97917,0.84696,0.33814,0.7239,0.60148,0.33832,0.64401,0.45685,0.56686,0.64501,0.36289,0.56914,0.35096,0.35434,0.50712,0.58462,0.57079,0.37163,0.58387,0.42142,0.89402,0.64537,0.73918,0.46556,0.56756,0.33645,0.53932,0.57357,0.65197,0.48631,0.61484,0.42815,0.56335,0.64153,0.36509,0.62352,0.35932,0.34121,0.39242,0.3931,0.82184,0.84563,0.68913,0.40985,0.61768,0.58675,0.49392,0.47801,0.59847,0.54464
8,0.76633,0.76178,0.67366,0.46679,0.49644,0.81269,0.79851,0.80031,1.0,0.93459,0.67351,0.60925,0.48326,0.4412,0.65077,0.56657,0.58076,0.50015,0.51641,0.55015,0.68236,0.34584,0.49665,0.45075,0.37133,0.52119,0.49773,0.4706,0.39155,0.53903,0.75148,0.75749,0.68911,0.55918,0.46316,0.70947,0.70059,0.64174,0.40442,0.40608,0.37996,0.64478,0.81036,0.34184,0.49971,0.52361,0.59775,0.3921,0.8109,0.78171,0.67081,0.68984,0.81996,0.81844,0.61425,0.66592,0.80099,0.56987,0.53821,0.65359,0.49612,0.8112,0.37584,0.54238,0.52487,0.6904,0.97665,0.98043,0.89178,0.83631,0.6281,0.80525,0.7539,0.57491,0.64163,0.8035,0.78199,0.58362,0.56668,0.78922,0.6209,0.55327,0.61765,0.48247,0.59125,0.81023,0.77958,0.47821,0.66247,0.55107,0.67052,0.64021,0.49309,0.57284,0.50317,0.64724,0.76294,0.80222,0.54332,0.44734,0.51918,0.693,0.58324,0.81028,0.70246,0.72212,0.65906,0.9918,0.6756,0.49021,0.3818,0.39477,0.37378,0.38157,0.37276,0.37611,0.50337,0.44872,0.38769,0.54413,0.74307,0.44907,0.72781,0.5573,0.93928,0.34438,0.35079,0.52264,0.67154,0.52189,0.66723,0.79235,0.65872,0.71389,0.45072,0.57097,0.59639,0.81867,0.48927,0.48468,0.45897,0.59112,0.64044,0.55701,0.72406,0.64819,0.44603,0.53208,0.45959,0.49109,0.80353,0.81103,0.80641,0.7926,0.79092,0.48257,0.43422,0.43359,0.55418,0.56225,0.427,0.42027,0.48245,0.52877,0.51801,0.81101,0.86149,0.48287,0.73122,0.5998,0.47961,0.34356,0.38354,0.56052,0.58971,0.36219,0.36377,0.51673,0.51722,0.50349,0.59475,0.58546,0.39156,0.59567,0.42197,0.83778,0.63522,0.57462,0.4689,0.34057,0.49909,0.53145,0.68937,0.65381,0.49185,0.5222,0.42094,0.38284,0.56106,0.36488,0.5322,0.37309,0.34583,0.39813,0.39766,0.44431,0.74026,0.55092,0.41191,0.51182,0.54954,0.48575,0.51462,0.51627,0.44185
9,0.72922,0.76745,0.73985,0.85646,0.34942,0.77458,0.78766,0.77034,0.93459,1.0,0.73717,0.59428,0.51213,0.53983,0.72677,0.54215,0.56438,0.53557,0.52887,0.44642,0.70694,0.50688,0.36851,0.47178,0.38465,0.35114,0.53673,0.47141,0.39461,0.54896,0.77463,0.81376,0.75373,0.59282,0.46934,0.78817,0.74093,0.72766,0.55211,0.63057,0.38711,0.72345,0.78666,0.49019,0.50083,0.57534,0.67464,0.40286,0.77311,0.77801,0.70475,0.74827,0.7843,0.77897,0.66029,0.71779,0.79319,0.55495,0.53884,0.74492,0.49742,0.5507,0.72778,0.57945,0.54419,0.73647,0.93254,0.95773,0.83705,0.82242,0.63592,0.79123,0.77581,0.57475,0.6159,0.7913,0.77935,0.60374,0.60735,0.79509,0.61838,0.60958,0.67385,0.46752,0.61299,0.77597,0.76861,0.34429,0.73917,0.58542,0.66831,0.64844,0.34745,0.61339,0.5059,0.71998,0.8056,0.79725,0.59517,0.44874,0.4577,0.49289,0.49111,0.76514,0.76937,0.78391,0.62703,0.92216,0.69128,0.49917,0.50125,0.3909,0.38047,0.50756,0.37999,0.37696,0.50424,0.44987,0.38313,0.54512,0.76717,0.59418,0.77005,0.59332,0.90807,0.34954,0.35583,0.36182,0.74854,0.41431,0.73601,0.78786,0.71093,0.78219,0.47111,0.53192,0.60152,0.90817,0.33969,0.3398,0.75373,0.59908,0.64747,0.5438,0.78513,0.63435,0.5362,0.44927,0.47761,0.49431,0.79389,0.77877,0.78862,0.78034,0.77805,0.52681,0.53621,0.43851,0.43656,0.54264,0.43385,0.4244,0.51072,0.56799,0.56388,0.77635,0.82216,0.48392,0.81001,0.58223,0.48099,0.48768,0.39483,0.63767,0.60068,0.57234,0.59827,0.35516,0.52385,0.3396,0.58424,0.57781,0.41726,0.60247,0.42754,0.50094,0.61985,0.59757,0.46778,0.3428,0.50042,0.6077,0.72834,0.61511,0.40994,0.52533,0.46331,0.38376,0.55534,0.56905,0.53378,0.38823,0.35838,0.38762,0.39089,0.72627,0.76026,0.58163,0.42979,0.37142,0.60245,0.51944,0.63152,0.60464,0.5964
