,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,T1176TS494_1o,15143.176,15143.176,0.928,0.928,0.657,0.657
1,T1176TS494_2o,11090.242,11090.242,0.735,0.735,0.652,0.652
2,T1176TS494_3o,6636.06,6636.06,0.59,0.59,0.652,0.652
3,T1176TS314_2o,5856.255,5856.255,0.596,0.596,0.659,0.659
4,T1176TS288_1o,7515.498,7515.498,0.624,0.624,0.658,0.658
5,T1176TS298_3o,4331.019,4331.019,0.823,0.823,0.667,0.667
6,T1176TS298_5o,3025.404,3025.404,0.619,0.619,0.666,0.666
7,T1176TS385_1o,2538.871,2538.871,0.644,0.644,0.659,0.659
8,T1176TS131_1o,12546.017,12546.017,0.59,0.59,0.501,0.501
9,T1176TS314_4o,5003.253,5003.253,0.494,0.494,0.657,0.657
10,T1176TS390_2o,3667.372,3667.372,0.644,0.644,0.668,0.668
11,T1176TS447_4o,1541.112,1541.112,0.478,0.478,0.64,0.64
12,T1176TS037_1o,1401.455,1401.455,0.476,0.476,0.655,0.655
13,T1176TS447_5o,-1063.493,-1063.493,0.421,0.421,0.64,0.64
14,T1176TS447_3o,-4922.071,-4922.071,0.355,0.355,0.639,0.639
15,T1176TS447_2o,-4887.718,-4887.718,0.357,0.357,0.642,0.642
16,T1176TS374_1o,1194.731,1194.731,0.419,0.419,0.652,0.652
17,T1176TS091_1o,3395.873,3395.873,0.581,0.581,0.623,0.623
18,T1176TS367_5o,947.583,947.583,0.529,0.529,0.658,0.658
19,T1176TS314_3o,2793.528,2793.528,0.523,0.523,0.643,0.643
20,T1176TS037_3o,861.802,861.802,0.48,0.48,0.657,0.657
21,T1176TS447_1o,-6978.787,-6978.787,0.321,0.321,0.612,0.612
22,T1176TS423_1o,1390.688,1390.688,0.456,0.456,0.653,0.653
23,T1176TS288_2o,-5945.236,-5945.236,0.148,0.148,0.661,0.661
24,T1176TS091_3o,48.44,48.44,0.41,0.41,0.621,0.621
25,T1176TS374_3o,-2926.767,-2926.767,0.143,0.143,0.664,0.664
26,T1176TS348_1o,1951.621,1951.621,0.464,0.464,0.673,0.673
27,T1176TS494_4o,1368.302,1368.302,0.527,0.527,0.657,0.657
28,T1176TS494_5o,4952.256,4952.256,0.729,0.729,0.657,0.657
29,T1176TS037_2o,1610.942,1610.942,0.513,0.513,0.654,0.654
30,T1176TS367_3o,-9925.531,-9925.531,0.074,0.074,0.667,0.667
31,T1176TS367_4o,123.722,123.722,0.364,0.364,0.669,0.669
32,T1176TS398_2o,-3971.178,-3971.178,0.237,0.237,0.653,0.653
33,T1176TS169_4o,1746.402,1746.402,0.427,0.427,0.662,0.662
34,T1176TS367_1o,-7022.478,-7022.478,0.223,0.223,0.657,0.657
35,T1176TS398_3o,-5588.4,-5588.4,0.178,0.178,0.648,0.648
36,T1176TS399_4o,2383.329,2383.329,0.499,0.499,0.616,0.616
37,T1176TS288_4o,-5173.594,-5173.594,0.141,0.141,0.663,0.663
