,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,H1111TS444_2,184245.743,184245.743,0.719,0.719,0.637,0.637
1,H1111TS119_2,138928.795,138928.795,0.698,0.698,0.629,0.629
2,H1111TS119_3,134537.435,134537.435,0.695,0.695,0.629,0.629
3,H1111TS119_4,139951.041,139951.041,0.703,0.703,0.63,0.63
4,H1111TS444_4,172899.279,172899.279,0.699,0.699,0.636,0.636
5,H1111TS119_5,136055.787,136055.787,0.695,0.695,0.628,0.628
6,H1111TS119_1,132267.728,132267.728,0.67,0.67,0.631,0.631
7,H1111TS494_1,128956.544,128956.544,0.692,0.692,0.649,0.649
8,H1111TS439_4,123509.778,103275.19734893618,0.684,0.5719404255319149,0.671,0.5610702127659575
9,H1111TS278_2,137100.145,137100.145,0.648,0.648,0.651,0.651
10,H1111TS494_4,132269.214,132269.214,0.683,0.683,0.642,0.642
11,H1111TS439_3,104005.503,86966.30357234043,0.63,0.5267872340425532,0.677,0.5660872340425532
12,H1111TS374_2,135253.26,135253.26,0.702,0.702,0.649,0.649
13,H1111TS397_2,48127.86,47667.06134042553,0.502,0.49719361702127657,0.655,0.6487287234042554
14,H1111TS374_5,127899.803,127899.803,0.681,0.681,0.65,0.65
15,H1111TS397_4,20846.169,20646.578020212768,0.435,0.4308351063829787,0.657,0.6507095744680851
16,H1111TS397_3,43218.84,42805.04259574468,0.482,0.4773851063829787,0.653,0.6467478723404255
17,H1111TS397_1,16367.45,16210.740372340426,0.452,0.4476723404255319,0.655,0.6487287234042554
18,H1111TS180_1,75563.2,75563.2,0.557,0.557,0.648,0.648
19,H1111TS397_5,33174.093,32856.46870531915,0.451,0.446681914893617,0.647,0.6408053191489361
20,H1111TS239_3,56630.851,32532.616531914897,0.563,0.3234255319148936,0.682,0.3917872340425533
21,H1111TS239_5,53402.182,31586.82254468085,0.548,0.324136170212766,0.673,0.3980723404255319
22,H1111TS374_3,88260.963,88260.963,0.614,0.614,0.648,0.648
23,H1111TS374_1,99822.165,99822.165,0.631,0.631,0.629,0.629
24,H1111TS374_4,84765.02,84765.02,0.597,0.597,0.629,0.629
25,H1111TS225_1,73468.637,42518.0197106383,0.623,0.3605446808510638,0.675,0.3906382978723404
26,H1111TS444_3,77107.399,77107.399,0.558,0.558,0.618,0.618
27,H1111TS225_2,71572.221,43324.03590319149,0.601,0.3637968085106383,0.673,0.4073797872340426
28,H1111TS444_5,71854.975,71854.975,0.56,0.56,0.62,0.62
29,H1111TS444_1,111318.122,111318.122,0.633,0.633,0.622,0.622
30,H1111TS348_1,-4784.723,-4784.723,0.417,0.417,0.616,0.616
31,H1111TS399_1,80238.489,80238.489,0.734,0.734,0.638,0.638
32,H1111TS150_4,64290.555,64290.555,0.542,0.542,0.636,0.636
33,H1111TS035_3,-1583.939,-1583.939,0.413,0.413,0.609,0.609
34,H1111TS257_1,8156.025,8156.025,0.432,0.432,0.618,0.618
35,H1111TS150_2,-56856.576,-56856.576,0.336,0.336,0.573,0.573
36,H1111TS187_4,10168.727,1129.8585555555555,0.854,0.09488888888888888,0.64,0.07111111111111111
37,H1111TS187_2,10469.549,1163.2832222222223,0.876,0.09733333333333333,0.639,0.071
38,H1111TS158_2,51311.91,51311.91,0.495,0.495,0.536,0.536
39,H1111TS158_3,48544.99,48544.99,0.501,0.501,0.541,0.541
40,H1111TS187_5,9732.65,1081.4055555555556,0.839,0.09322222222222222,0.64,0.07111111111111111
41,H1111TS158_1,50706.478,50706.478,0.5,0.5,0.535,0.535
42,H1111TS158_5,51088.297,51088.297,0.498,0.498,0.538,0.538
43,H1111TS158_4,53115.578,53115.578,0.503,0.503,0.536,0.536
44,H1111TS091_1,49465.701,49465.701,0.53,0.53,0.583,0.583
45,H1111TS091_2,31938.123,31938.123,0.487,0.487,0.576,0.576
46,H1111TS368_1,8913.735,990.415,0.798,0.08866666666666667,0.636,0.07066666666666667
47,H1111TS368_5,9137.893,1015.3214444444444,0.801,0.089,0.636,0.07066666666666667
48,H1111TS037_3,9079.803,1008.867,0.806,0.08955555555555555,0.641,0.07122222222222221
49,H1111TS037_2,8758.314,973.146,0.818,0.09088888888888888,0.639,0.071
50,H1111TS385_2,8624.086,958.2317777777777,0.799,0.08877777777777777,0.638,0.07088888888888889
51,H1111TS368_3,9627.816,1069.7573333333335,0.755,0.08388888888888889,0.637,0.07077777777777777
52,H1111TS097_5,9028.675,1003.186111111111,0.803,0.08922222222222222,0.638,0.07088888888888889
53,H1111TS348_5,-25184.464,-25184.464,0.413,0.413,0.52,0.52
54,H1111TS097_4,8886.072,987.3413333333333,0.808,0.08977777777777778,0.634,0.07044444444444443
55,H1111TS150_5,-32832.186,-32832.186,0.389,0.389,0.517,0.517
56,H1111TS037_4,9518.311,1057.5901111111111,0.796,0.08844444444444445,0.642,0.07133333333333333
57,H1111TS097_3,10294.998,1143.8886666666665,0.853,0.09477777777777777,0.638,0.07088888888888889
58,H1111TS097_2,9360.341,1040.0378888888888,0.795,0.08833333333333333,0.634,0.07044444444444443
59,H1111TS385_1,10712.314,1190.257111111111,0.807,0.08966666666666667,0.638,0.07088888888888889
60,H1111TS368_4,10381.025,1153.447222222222,0.804,0.08933333333333333,0.639,0.071
61,H1111TS385_4,10949.636,1216.6262222222222,0.803,0.08922222222222222,0.633,0.07033333333333333
62,H1111TS348_3,-25094.032,-25094.032,0.434,0.434,0.467,0.467
63,H1111TS441_2,4186.575,465.17499999999995,0.744,0.08266666666666667,0.622,0.06911111111111111
64,H1111TS092_1,3419.278,379.9197777777777,0.789,0.08766666666666667,0.619,0.06877777777777777
65,H1111TS035_1,-839.018,-839.018,0.413,0.413,0.435,0.435
66,H1111TS239_4,48098.764,28449.907217021275,0.519,0.30698297872340424,0.683,0.4039872340425532
67,H1111TS288_3,34772.613,21455.442063829785,0.529,0.32640425531914896,0.658,0.406
68,H1111TS288_2,25750.39,15888.538510638298,0.479,0.2955531914893617,0.651,0.4016808510638298
69,H1111TS288_5,23128.469,14270.757468085107,0.485,0.29925531914893616,0.665,0.4103191489361702
70,H1111TS288_4,25948.039,16010.492148936171,0.473,0.2918510638297872,0.659,0.40661702127659577
71,H1111TS288_1,2923.905,1804.111595744681,0.423,0.261,0.655,0.4041489361702128
72,H1111TS399_2,57332.966,57332.966,0.557,0.557,0.626,0.626
73,H1111TS227_4,8055.175,895.0194444444444,0.721,0.0801111111111111,0.64,0.07111111111111111
74,H1111TS390_3,8847.121,983.0134444444443,0.762,0.08466666666666667,0.639,0.071
75,H1111TS360_4,49816.937,49816.937,0.526,0.526,0.639,0.639
76,H1111TS037_5,8608.05,956.4499999999998,0.765,0.08499999999999999,0.64,0.07111111111111111
77,H1111TS227_2,8669.764,963.307111111111,0.743,0.08255555555555555,0.636,0.07066666666666667
78,H1111TS037_1,8522.671,946.9634444444445,0.753,0.08366666666666667,0.634,0.07044444444444443
79,H1111TS385_3,8369.19,929.91,0.755,0.08388888888888889,0.641,0.07122222222222221
80,H1111TS360_5,38034.392,38034.392,0.473,0.473,0.639,0.639
81,H1111TS360_2,30824.151,30824.151,0.472,0.472,0.634,0.634
82,H1111TS360_3,25760.588,25760.588,0.458,0.458,0.633,0.633
83,H1111TS227_5,9341.777,1037.975222222222,0.77,0.08555555555555555,0.64,0.07111111111111111
84,H1111TS086_2,7907.104,7907.104,0.407,0.407,0.582,0.582
85,H1111TS086_1,12866.519,12866.519,0.417,0.417,0.582,0.582
