,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,T1132TS447_5o,15701.75,15701.75,0.915,0.915,0.68,0.68
1,T1132TS447_2o,14209.279,14209.279,0.877,0.877,0.681,0.681
2,T1132TS003_3o,13166.325,13166.325,0.84,0.84,0.659,0.659
3,T1132TS447_4o,14018.304,14018.304,0.872,0.872,0.683,0.683
4,T1132TS205_3o,12475.783,12475.783,0.833,0.833,0.657,0.657
5,T1132TS350_2o,10194.331,10194.331,0.84,0.84,0.633,0.633
6,T1132TS147_4o,14149.937,14149.937,0.887,0.887,0.643,0.643
7,T1132TS494_2o,11626.279,11626.279,0.774,0.774,0.654,0.654
8,T1132TS147_5o,13370.08,13370.08,0.862,0.862,0.653,0.653
9,T1132TS248_3o,13561.292,13561.292,0.899,0.899,0.654,0.654
10,T1132TS462_2o,12135.243,12135.243,0.815,0.815,0.652,0.652
11,T1132TS348_5o,7507.75,7507.75,0.666,0.666,0.658,0.658
12,T1132TS314_1o,11061.751,11061.751,0.689,0.689,0.654,0.654
13,T1132TS205_1o,13291.163,13291.163,0.919,0.919,0.644,0.644
14,T1132TS248_4o,12846.509,12846.509,0.849,0.849,0.651,0.651
15,T1132TS423_2o,13468.989,13468.989,0.835,0.835,0.661,0.661
16,T1132TS444_1o,16436.896,16436.896,0.915,0.915,0.666,0.666
17,T1132TS205_5o,15537.287,15537.287,0.874,0.874,0.651,0.651
18,T1132TS248_5o,13335.641,13335.641,0.861,0.861,0.66,0.66
19,T1132TS205_4o,15830.295,15830.295,0.868,0.868,0.659,0.659
20,T1132TS444_5o,13676.484,13676.484,0.872,0.872,0.666,0.666
21,T1132TS180_1o,12296.221,12296.221,0.865,0.865,0.656,0.656
22,T1132TS180_3o,11098.293,11098.293,0.852,0.852,0.66,0.66
23,T1132TS205_2o,13566.495,13566.495,0.861,0.861,0.646,0.646
24,T1132TS158_2o,13009.365,13009.365,0.88,0.88,0.642,0.642
25,T1132TS131_5o,12415.998,12415.998,0.809,0.809,0.654,0.654
26,T1132TS278_3o,9992.401,9992.401,0.834,0.834,0.638,0.638
27,T1132TS131_3o,10132.221,10132.221,0.651,0.651,0.644,0.644
28,T1132TS278_5o,7021.953,7021.953,0.744,0.744,0.639,0.639
29,T1132TS037_5o,10164.427,10164.427,0.74,0.74,0.649,0.649
30,T1132TS278_2o,12245.514,12245.514,0.818,0.818,0.639,0.639
31,T1132TS037_3o,14060.548,14060.548,0.845,0.845,0.527,0.527
32,T1132TS131_1o,9815.905,9815.905,0.728,0.728,0.646,0.646
33,T1132TS444_3o,14034.27,14034.27,0.832,0.832,0.656,0.656
34,T1132TS131_2o,8631.943,8631.943,0.753,0.753,0.655,0.655
35,T1132TS037_4o,9792.079,9792.079,0.697,0.697,0.634,0.634
36,T1132TS091_2o,6819.833,6819.833,0.639,0.639,0.611,0.611
37,T1132TS091_4o,7868.926,7868.926,0.648,0.648,0.608,0.608
38,T1132TS091_3o,8298.517,8298.517,0.675,0.675,0.62,0.62
39,T1132TS165_5o,4413.094,4413.094,0.59,0.59,0.651,0.651
40,T1132TS278_1o,10183.892,10183.892,0.697,0.697,0.654,0.654
41,T1132TS494_4o,1437.701,1423.6058921568629,0.473,0.4683627450980392,0.631,0.6248137254901961
42,T1132TS185_2o,13104.956,13104.956,0.835,0.835,0.637,0.637
43,T1132TS374_5o,10742.855,10742.855,0.742,0.742,0.659,0.659
44,T1132TS350_3o,9600.477,9600.477,0.789,0.789,0.63,0.63
45,T1132TS188_4o,10789.983,10789.983,0.747,0.747,0.659,0.659
46,T1132TS385_1o,4745.329,4745.329,0.623,0.623,0.638,0.638
47,T1132TS462_1o,13454.812,13454.812,0.853,0.853,0.65,0.65
48,T1132TS188_5o,6143.908,6143.908,0.592,0.592,0.654,0.654
49,T1132TS312_3o,8592.036,8592.036,0.754,0.754,0.641,0.641
50,T1132TS312_1o,8969.118,8969.118,0.77,0.77,0.64,0.64
51,T1132TS037_2o,9170.435,9170.435,0.635,0.635,0.654,0.654
52,T1132TS398_1o,2030.84,2030.84,0.488,0.488,0.656,0.656
53,T1132TS398_3o,1513.217,1513.217,0.472,0.472,0.658,0.658
54,T1132TS398_2o,1594.155,1594.155,0.464,0.464,0.653,0.653
55,T1132TS398_4o,2169.643,2169.643,0.489,0.489,0.656,0.656
56,T1132TS398_5o,1849.702,1849.702,0.477,0.477,0.651,0.651
57,T1132TS091_5o,4543.699,4543.699,0.559,0.559,0.61,0.61
58,T1132TS091_1o,6737.213,6737.213,0.648,0.648,0.61,0.61
59,T1132TS165_1o,2345.578,2345.578,0.51,0.51,0.655,0.655
60,T1132TS098_2o,9577.667,9577.667,0.653,0.653,0.653,0.653
61,T1132TS494_5o,10216.914,9716.084882352943,0.924,0.8787058823529412,0.597,0.5677352941176471
62,T1132TS399_1o,11841.453,11841.453,0.834,0.834,0.657,0.657
63,T1132TS399_3o,11632.338,11632.338,0.808,0.808,0.656,0.656
64,T1132TS423_1o,11355.337,11355.337,0.767,0.767,0.652,0.652
65,T1132TS350_1o,9829.939,9829.939,0.805,0.805,0.629,0.629
66,T1132TS444_4o,3472.926,3472.926,0.603,0.603,0.632,0.632
67,T1132TS278_4o,8868.686,8868.686,0.75,0.75,0.642,0.642
68,T1132TS165_4o,-1323.631,-1323.631,0.352,0.352,0.535,0.535
69,T1132TS493_1o,-2694.745,-2694.745,0.184,0.184,0.574,0.574
70,T1132TS165_2o,-1363.819,-1363.819,0.375,0.375,0.537,0.537
71,T1132TS423_4o,7446.493,7446.493,0.624,0.624,0.637,0.637
72,T1132TS165_3o,-3732.072,-3732.072,0.278,0.278,0.553,0.553
73,T1132TS185_3o,9919.531,9919.531,0.743,0.743,0.64,0.64
74,T1132TS185_1o,8434.568,8434.568,0.779,0.779,0.65,0.65
