,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,T1187TS494_1o,2211.756,2211.756,0.765,0.765,0.703,0.703
1,T1187TS165_2o,687.033,687.033,0.607,0.607,0.712,0.712
2,T1187TS278_2o,-443.549,-443.549,0.367,0.367,0.723,0.723
3,T1187TS150_5o,-1513.264,-1513.264,0.142,0.142,0.708,0.708
4,T1187TS494_3o,1088.019,1088.019,0.623,0.623,0.702,0.702
5,T1187TS494_2o,-1862.446,-1862.446,0.148,0.148,0.715,0.715
6,T1187TS147_2o,-194.888,-194.888,0.411,0.411,0.692,0.692
7,T1187TS073_3o,692.613,692.613,0.599,0.599,0.701,0.701
8,T1187TS298_1o,-760.676,-760.676,0.184,0.184,0.71,0.71
9,T1187TS298_2o,-802.514,-802.514,0.158,0.158,0.708,0.708
10,T1187TS390_1o,-785.391,-785.391,0.198,0.198,0.702,0.702
11,T1187TS205_4o,-960.787,-960.787,0.157,0.157,0.702,0.702
12,T1187TS374_5o,-1005.306,-1005.306,0.104,0.104,0.708,0.708
13,T1187TS073_2o,1030.365,1030.365,0.692,0.692,0.709,0.709
14,T1187TS291_1o,1059.94,1059.94,0.702,0.702,0.702,0.702
15,T1187TS494_4o,-554.541,-554.541,0.273,0.273,0.703,0.703
16,T1187TS288_5o,1157.887,1157.887,0.6,0.6,0.711,0.711
17,T1187TS187_5o,357.878,357.878,0.537,0.537,0.712,0.712
18,T1187TS169_5o,-789.355,-789.355,0.324,0.324,0.695,0.695
19,T1187TS187_4o,1202.13,1202.13,0.616,0.616,0.706,0.706
20,T1187TS074_5o,961.557,961.557,0.562,0.562,0.714,0.714
21,T1187TS071_5o,-1210.038,-1210.038,0.092,0.092,0.701,0.701
22,T1187TS367_2o,-390.386,-390.386,0.302,0.302,0.694,0.694
23,T1187TS444_5o,1835.745,1835.745,0.666,0.666,0.704,0.704
24,T1187TS073_1o,983.463,983.463,0.677,0.677,0.705,0.705
25,T1187TS367_1o,81.674,81.674,0.458,0.458,0.71,0.71
26,T1187TS278_3o,-179.977,-179.977,0.37,0.37,0.712,0.712
27,T1187TS444_1o,771.837,771.837,0.523,0.523,0.706,0.706
28,T1187TS073_4o,334.236,334.236,0.506,0.506,0.676,0.676
29,T1187TS091_1o,151.522,151.522,0.379,0.379,0.637,0.637
30,T1187TS350_3o,497.718,497.718,0.58,0.58,0.683,0.683
31,T1187TS073_5o,955.339,955.339,0.612,0.612,0.694,0.694
32,T1187TS439_4o,-970.122,-970.122,0.133,0.133,0.689,0.689
33,T1187TS374_3o,2647.277,2647.277,0.904,0.904,0.686,0.686
34,T1187TS278_5o,2534.537,2534.537,0.771,0.771,0.693,0.693
35,T1187TS494_5o,1591.463,1591.463,0.822,0.822,0.678,0.678
36,T1187TS444_2o,2139.667,2139.667,0.82,0.82,0.688,0.688
37,T1187TS037_2o,-1258.41,-1258.41,0.175,0.175,0.705,0.705
38,T1187TS278_1o,22.028,22.028,0.416,0.416,0.718,0.718
39,T1187TS374_1o,-384.095,-384.095,0.339,0.339,0.701,0.701
40,T1187TS399_2o,-1130.217,-1130.217,0.168,0.168,0.708,0.708
41,T1187TS348_4o,2168.343,2168.343,0.832,0.832,0.687,0.687
42,T1187TS441_1o,167.599,167.599,0.44,0.44,0.708,0.708
43,T1187TS444_3o,-555.291,-555.291,0.294,0.294,0.705,0.705
44,T1187TS447_4o,1044.803,1044.803,0.572,0.572,0.697,0.697
45,T1187TS037_1o,782.083,782.083,0.619,0.619,0.69,0.69
46,T1187TS399_1o,1082.325,1082.325,0.618,0.618,0.691,0.691
47,T1187TS304_1o,387.726,387.726,0.449,0.449,0.682,0.682
48,T1187TS461_3o,-645.982,-645.982,0.338,0.338,0.705,0.705
49,T1187TS439_5o,1149.536,1149.536,0.586,0.586,0.695,0.695
50,T1187TS374_2o,478.226,478.226,0.582,0.582,0.692,0.692
51,T1187TS205_1o,762.111,762.111,0.867,0.867,0.692,0.692
52,T1187TS291_5o,1138.932,1138.932,0.562,0.562,0.682,0.682
53,T1187TS291_2o,1094.307,1094.307,0.627,0.627,0.683,0.683
54,T1187TS360_2o,748.099,748.099,0.69,0.69,0.695,0.695
55,T1187TS423_5o,-1216.697,-1216.697,0.082,0.082,0.699,0.699
56,T1187TS188_2o,-416.156,-416.156,0.288,0.288,0.684,0.684
57,T1187TS298_3o,-685.662,-685.662,0.199,0.199,0.687,0.687
58,T1187TS348_3o,-324.85,-324.85,0.338,0.338,0.689,0.689
59,T1187TS348_2o,-506.917,-506.917,0.276,0.276,0.699,0.699
60,T1187TS003_3o,266.608,266.608,0.435,0.435,0.693,0.693
61,T1187TS147_3o,-147.399,-147.399,0.372,0.372,0.679,0.679
62,T1187TS188_3o,-1182.167,-1182.167,0.223,0.223,0.701,0.701
63,T1187TS147_1o,-584.226,-584.226,0.245,0.245,0.681,0.681
64,T1187TS390_5o,-440.669,-440.669,0.275,0.275,0.694,0.694
65,T1187TS298_4o,264.841,264.841,0.449,0.449,0.69,0.69
66,T1187TS169_2o,-900.635,-900.635,0.215,0.215,0.692,0.692
67,T1187TS071_2o,-1064.624,-1064.624,0.077,0.077,0.702,0.702
68,T1187TS071_4o,-971.78,-971.78,0.101,0.101,0.691,0.691
69,T1187TS071_3o,-963.258,-963.258,0.078,0.078,0.702,0.702
70,T1187TS205_2o,-126.974,-126.974,0.374,0.374,0.69,0.69
71,T1187TS205_3o,-616.889,-616.889,0.25,0.25,0.691,0.691
72,T1187TS071_1o,-1099.371,-1099.371,0.079,0.079,0.699,0.699
