,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,T1127TS367_4o,12182.416,12182.416,0.905,0.905,0.688,0.688
1,T1127TS494_2o,12407.001,12407.001,0.973,0.973,0.686,0.686
2,T1127TS494_1o,13701.825,13701.825,0.946,0.946,0.681,0.681
3,T1127TS374_5o,12653.002,12653.002,0.938,0.938,0.694,0.694
4,T1127TS245_3o,12662.159,12662.159,0.984,0.984,0.695,0.695
5,T1127TS205_1o,12005.084,12005.084,0.966,0.966,0.685,0.685
6,T1127TS245_2o,12247.961,12247.961,0.96,0.96,0.683,0.683
7,T1127TS367_3o,12459.364,12459.364,0.968,0.968,0.681,0.681
8,T1127TS456_5o,12586.08,12586.08,0.95,0.95,0.69,0.69
9,T1127TS423_2o,11851.475,11851.475,0.941,0.941,0.686,0.686
10,T1127TS374_1o,12299.944,12299.944,0.93,0.93,0.688,0.688
11,T1127TS278_3o,11230.984,11230.984,0.889,0.889,0.691,0.691
12,T1127TS278_1o,11803.68,11803.68,0.909,0.909,0.693,0.693
13,T1127TS444_5o,11203.978,11203.978,0.947,0.947,0.682,0.682
14,T1127TS423_4o,11119.64,11119.64,0.901,0.901,0.683,0.683
15,T1127TS444_1o,11486.923,11486.923,0.996,0.996,0.686,0.686
16,T1127TS423_5o,11336.638,11336.638,0.937,0.937,0.674,0.674
17,T1127TS350_2o,10809.305,10809.305,0.957,0.957,0.671,0.671
18,T1127TS312_3o,12046.753,11590.004071090047,0.945,0.909170616113744,0.693,0.6667251184834122
19,T1127TS444_3o,11743.322,11743.322,0.995,0.995,0.689,0.689
20,T1127TS444_4o,11059.013,11059.013,0.966,0.966,0.688,0.688
21,T1127TS444_2o,10724.931,10724.931,0.929,0.929,0.685,0.685
22,T1127TS185_3o,12986.218,12986.218,0.974,0.974,0.691,0.691
23,T1127TS312_5o,11926.929,11418.197431279621,0.978,0.9362843601895734,0.693,0.6634407582938389
24,T1127TS091_3o,9878.947,9878.947,0.904,0.904,0.65,0.65
25,T1127TS131_2o,12203.09,12203.09,0.966,0.966,0.679,0.679
26,T1127TS091_5o,9580.078,9580.078,0.898,0.898,0.653,0.653
27,T1127TS312_2o,10086.353,9751.734654028434,0.943,0.9117156398104265,0.701,0.6777440758293838
28,T1127TS091_2o,10625.177,10625.177,0.891,0.891,0.646,0.646
29,T1127TS188_2o,11029.321,11029.321,0.934,0.934,0.677,0.677
30,T1127TS091_4o,10405.435,10405.435,0.87,0.87,0.649,0.649
31,T1127TS205_2o,10972.14,10972.14,0.915,0.915,0.666,0.666
32,T1127TS205_3o,11321.535,11321.535,0.919,0.919,0.674,0.674
33,T1127TS091_1o,10322.045,10322.045,0.912,0.912,0.641,0.641
34,T1127TS073_5o,11226.152,11226.152,0.948,0.948,0.681,0.681
35,T1127TS073_4o,10282.811,10282.811,0.96,0.96,0.672,0.672
36,T1127TS073_1o,12093.127,12093.127,0.953,0.953,0.678,0.678
37,T1127TS073_3o,12275.041,12275.041,0.945,0.945,0.669,0.669
38,T1127TS073_2o,10508.982,10508.982,0.957,0.957,0.674,0.674
39,T1127TS205_4o,10102.232,10102.232,0.888,0.888,0.66,0.66
40,T1127TS147_1o,10471.086,10471.086,0.902,0.902,0.693,0.693
41,T1127TS147_5o,10225.42,10225.42,0.933,0.933,0.688,0.688
42,T1127TS147_4o,10780.898,10780.898,0.91,0.91,0.693,0.693
43,T1127TS494_5o,7430.388,7148.667127962085,0.844,0.8119999999999999,0.547,0.526260663507109
44,T1127TS046_1o,10369.855,10369.855,0.916,0.916,0.68,0.68
45,T1127TS291_5o,9064.105,9064.105,0.92,0.92,0.678,0.678
46,T1127TS291_1o,10317.528,10317.528,0.962,0.962,0.678,0.678
47,T1127TS158_5o,11034.336,11034.336,0.899,0.899,0.676,0.676
48,T1127TS131_5o,11780.559,11780.559,0.904,0.904,0.674,0.674
49,T1127TS046_4o,8794.178,8794.178,0.839,0.839,0.677,0.677
50,T1127TS312_1o,10802.591,10341.816976303318,0.915,0.8759715639810427,0.696,0.6663127962085308
51,T1127TS035_2o,9802.714,9802.714,0.91,0.91,0.677,0.677
52,T1127TS304_4o,7211.774,7211.774,0.831,0.831,0.685,0.685
53,T1127TS312_4o,10680.51,10224.943222748816,0.902,0.8635260663507109,0.691,0.6615260663507109
54,T1127TS147_2o,10299.904,10299.904,0.877,0.877,0.687,0.687
55,T1127TS165_1o,7404.042,7404.042,0.822,0.822,0.681,0.681
56,T1127TS188_1o,9451.909,9451.909,0.897,0.897,0.677,0.677
57,T1127TS188_3o,9824.697,9824.697,0.931,0.931,0.674,0.674
58,T1127TS398_1o,6234.42,6234.42,0.686,0.686,0.69,0.69
59,T1127TS493_4o,7719.445,7719.445,0.862,0.862,0.659,0.659
60,T1127TS398_3o,5470.639,5470.639,0.786,0.786,0.673,0.673
61,T1127TS493_2o,7082.96,7082.96,0.798,0.798,0.637,0.637
62,T1127TS165_4o,4415.056,4415.056,0.647,0.647,0.68,0.68
63,T1127TS147_3o,10756.759,10756.759,0.933,0.933,0.691,0.691
64,T1127TS046_5o,3244.458,3244.458,0.658,0.658,0.666,0.666
65,T1127TS493_3o,5164.067,5164.067,0.725,0.725,0.648,0.648
66,T1127TS493_5o,5780.402,5780.402,0.703,0.703,0.644,0.644
67,T1127TS493_1o,6366.738,6366.738,0.752,0.752,0.644,0.644
68,T1127TS278_5o,4971.169,4971.169,0.648,0.648,0.65,0.65
69,T1127TS447_1o,7630.507,7630.507,0.853,0.853,0.678,0.678
70,T1127TS304_5o,112.461,112.461,0.453,0.453,0.66,0.66
71,T1127TS447_3o,7665.534,7665.534,0.884,0.884,0.672,0.672
72,T1127TS447_2o,7629.965,7629.965,0.871,0.871,0.672,0.672
73,T1127TS398_2o,2971.323,2971.323,0.568,0.568,0.672,0.672
74,T1127TS398_4o,946.499,946.499,0.472,0.472,0.662,0.662
75,T1127TS165_5o,4304.991,4304.991,0.676,0.676,0.513,0.513
76,T1127TS447_4o,7704.544,7704.544,0.896,0.896,0.66,0.66
77,T1127TS447_5o,6553.98,6553.98,0.871,0.871,0.659,0.659
78,T1127TS398_5o,1460.872,1460.872,0.469,0.469,0.666,0.666
79,T1127TS165_2o,-2669.608,-2669.608,0.209,0.209,0.49,0.49
80,T1127TS494_3o,4240.966,4240.966,0.835,0.835,0.681,0.681
81,T1127TS119_4o,3593.821,3593.821,0.87,0.87,0.671,0.671
82,T1127TS494_4o,3127.792,3127.792,0.847,0.847,0.681,0.681
83,T1127TS278_2o,1727.927,1727.927,0.653,0.653,0.665,0.665
