,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,H1135TS257_5,21526.752,21526.752,0.704,0.704,0.619,0.619
1,H1135TS257_3,22867.628,22867.628,0.72,0.72,0.617,0.617
2,H1135TS257_4,20458.316,20458.316,0.666,0.666,0.608,0.608
3,H1135TS257_2,18324.664,18324.664,0.668,0.668,0.601,0.601
4,H1135TS348_3,13578.009,13578.009,0.624,0.624,0.627,0.627
5,H1135TS348_1,15571.082,15571.082,0.695,0.695,0.633,0.633
6,H1135TS257_1,14406.277,14406.277,0.602,0.602,0.608,0.608
7,H1135TS494_3,16881.587,16881.587,0.644,0.644,0.63,0.63
8,H1135TS348_5,14134.868,14134.868,0.628,0.628,0.624,0.624
9,H1135TS348_2,13694.823,13694.823,0.63,0.63,0.624,0.624
10,H1135TS180_1,14804.45,14804.45,0.65,0.65,0.622,0.622
11,H1135TS180_2,11574.088,11574.088,0.741,0.741,0.606,0.606
12,H1135TS494_1,26497.045,26497.045,0.649,0.649,0.633,0.633
13,H1135TS494_4,19075.834,19075.834,0.643,0.643,0.63,0.63
14,H1135TS472_1,17798.795,17798.795,0.58,0.58,0.588,0.588
15,H1135TS037_2,18135.005,18135.005,0.706,0.706,0.629,0.629
16,H1135TS037_3,16459.803,16459.803,0.684,0.684,0.624,0.624
17,H1135TS147_5,18646.63,18646.63,0.72,0.72,0.605,0.605
18,H1135TS215_3,1745.899,209.88949726775942,0.911,0.10951912568306005,0.609,0.07321311475409831
19,H1135TS037_1,16584.039,16584.039,0.674,0.674,0.629,0.629
20,H1135TS158_3,19437.499,19437.499,0.75,0.75,0.617,0.617
21,H1135TS248_5,15385.247,15385.247,0.606,0.606,0.606,0.606
22,H1135TS086_3,16746.4,16746.4,0.714,0.714,0.62,0.62
23,H1135TS158_5,16830.238,16830.238,0.706,0.706,0.615,0.615
24,H1135TS215_2,1821.23,218.94568306010916,0.956,0.1149289617486338,0.615,0.07393442622950815
25,H1135TS444_2,17791.93,17791.93,0.664,0.664,0.632,0.632
26,H1135TS320_2,15114.551,15114.551,0.653,0.653,0.634,0.634
27,H1135TS461_1,11344.988,11344.988,0.761,0.761,0.616,0.616
28,H1135TS278_1,9836.458,9836.458,0.534,0.534,0.622,0.622
29,H1135TS215_1,1819.647,218.7553770491802,0.931,0.1119234972677595,0.611,0.07345355191256826
30,H1135TS071_5,1608.011,193.31279781420753,0.926,0.11132240437158464,0.601,0.07225136612021853
31,H1135TS158_2,15880.152,15880.152,0.697,0.697,0.617,0.617
32,H1135TS158_1,17081.659,17081.659,0.712,0.712,0.613,0.613
33,H1135TS071_1,1798.124,216.16791256830587,0.932,0.11204371584699448,0.605,0.07273224043715842
34,H1135TS444_1,14458.891,14458.891,0.613,0.613,0.625,0.625
35,H1135TS035_5,8479.014,8479.014,0.511,0.511,0.589,0.589
36,H1135TS278_4,10574.033,10574.033,0.56,0.56,0.628,0.628
37,H1135TS278_3,10216.897,10216.897,0.566,0.566,0.631,0.631
38,H1135TS399_3,10408.137,10408.137,0.501,0.501,0.63,0.63
39,H1135TS071_3,1465.203,176.14462295081955,0.895,0.10759562841530049,0.598,0.07189071038251361
40,H1135TS461_3,10381.107,10381.107,0.707,0.707,0.622,0.622
41,H1135TS278_2,12650.103,12650.103,0.565,0.565,0.621,0.621
42,H1135TS147_4,18162.873,18162.873,0.709,0.709,0.605,0.605
43,H1135TS278_5,8347.216,8347.216,0.516,0.516,0.622,0.622
44,H1135TS494_2,19315.044,19315.044,0.591,0.591,0.612,0.612
45,H1135TS205_5,9056.612,9056.612,0.531,0.531,0.627,0.627
