,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,H1129TS439_1,1341.834,1341.834,0.593,0.593,0.571,0.571
1,H1129TS439_2,1276.654,1276.654,0.607,0.607,0.572,0.572
2,H1129TS439_3,855.988,855.988,0.564,0.564,0.571,0.571
3,H1129TS494_1,2114.954,2114.954,0.651,0.651,0.594,0.594
4,H1129TS439_4,468.326,468.326,0.502,0.502,0.57,0.57
5,H1129TS439_5,442.113,442.113,0.505,0.505,0.571,0.571
6,H1129TS037_1,2302.402,2302.402,0.666,0.666,0.613,0.613
7,H1129TS225_2,23216.509,23216.509,0.772,0.772,0.429,0.429
8,H1129TS037_4,6398.791,6398.791,0.804,0.804,0.569,0.569
9,H1129TS257_2,6108.772,6108.772,0.637,0.637,0.543,0.543
10,H1129TS257_1,3766.705,3766.705,0.576,0.576,0.54,0.54
11,H1129TS225_1,25368.288,25368.288,0.699,0.699,0.36,0.36
12,H1129TS257_4,3534.871,3534.871,0.563,0.563,0.532,0.532
13,H1129TS257_3,5328.813,5328.813,0.599,0.599,0.534,0.534
14,H1129TS245_5,10394.347,10394.347,0.72,0.72,0.496,0.496
15,H1129TS225_4,7233.742,7233.742,0.7,0.7,0.517,0.517
16,H1129TS314_2,1884.174,1884.174,0.619,0.619,0.586,0.586
17,H1129TS444_1,976.389,948.9346589762075,0.471,0.45775630857966826,0.573,0.5568882480173034
18,H1129TS314_1,1114.013,1114.013,0.531,0.531,0.591,0.591
19,H1129TS257_5,-7276.759,-7276.759,0.241,0.241,0.516,0.516
20,H1129TS245_3,24637.227,24637.227,0.685,0.685,0.295,0.295
21,H1129TS494_2,1471.26,1419.2832588320114,0.774,0.7466560922855082,0.603,0.5816971881759192
22,H1129TS385_1,5956.678,5956.678,0.634,0.634,0.508,0.508
23,H1129TS091_1,4008.079,4008.079,0.816,0.816,0.497,0.497
24,H1129TS147_5,3957.19,3957.19,0.915,0.915,0.564,0.564
25,H1129TS493_4,1196.281,1196.281,0.726,0.726,0.579,0.579
26,H1129TS461_2,372.016,372.016,0.446,0.446,0.58,0.58
27,H1129TS314_4,1293.679,1293.679,0.483,0.483,0.583,0.583
28,H1129TS350_4,2701.274,2701.274,0.681,0.681,0.483,0.483
29,H1129TS245_2,17133.449,17133.449,0.687,0.687,0.354,0.354
30,H1129TS444_3,-75.181,-73.06704253785146,0.375,0.36445565969718813,0.575,0.5588320115356884
31,H1129TS314_5,-761.219,-761.219,0.297,0.297,0.578,0.578
32,H1129TS245_4,9982.845,9982.845,0.586,0.586,0.399,0.399
33,H1129TS147_3,1067.614,1067.614,0.583,0.583,0.571,0.571
34,H1129TS494_3,1329.655,1282.6808868060562,0.691,0.6665883201153568,0.599,0.5778385003604902
35,H1129TS350_2,767.607,763.7329920692141,0.496,0.4934967555875991,0.525,0.5223503965392934
36,H1129TS494_4,975.665,941.1966618601297,0.76,0.7331506849315068,0.597,0.5759091564527757
37,H1129TS350_3,1066.821,1061.4368997837057,0.528,0.5253352559480894,0.528,0.5253352559480894
38,H1129TS091_4,2193.651,2193.651,0.682,0.682,0.499,0.499
39,H1129TS225_3,1113.822,1113.822,0.473,0.473,0.555,0.555
40,H1129TS314_3,-385.111,-385.111,0.344,0.344,0.587,0.587
41,H1129TS348_1,989.196,989.196,0.583,0.583,0.566,0.566
42,H1129TS185_4,350.81,342.4634030281182,0.433,0.4226979091564527,0.551,0.5378904109589041
43,H1129TS091_2,1374.766,1374.766,0.61,0.61,0.5,0.5
44,H1129TS493_3,427.815,427.815,0.474,0.474,0.577,0.577
45,H1129TS494_5,713.05,653.929055515501,0.706,0.6474635904830568,0.582,0.5337447728911318
46,H1129TS447_1,1626.13,1626.13,0.578,0.578,0.56,0.56
47,H1129TS493_1,-33.976,-33.976,0.434,0.434,0.581,0.581
48,H1129TS180_1,-1145.949,-1145.949,0.113,0.113,0.583,0.583
49,H1129TS180_5,-1346.423,-1346.423,0.077,0.077,0.585,0.585
