,model,GNN_sum_score,GNN_sum_score_norm,GNN_pcadscore,GNN_pcadscore_norm,voromqa_dark,voromqa_dark_norm
0,T1161TS225_1o,7910.624,7910.624,0.926,0.926,0.682,0.682
1,T1161TS374_5o,7859.034,7859.034,0.876,0.876,0.674,0.674
2,T1161TS188_3o,7727.875,7727.875,0.852,0.852,0.65,0.65
3,T1161TS444_1o,7781.613,7781.613,0.922,0.922,0.692,0.692
4,T1161TS444_5o,8008.441,8008.441,0.924,0.924,0.677,0.677
5,T1161TS278_1o,7044.396,7044.396,0.913,0.913,0.675,0.675
6,T1161TS003_3o,7383.002,7383.002,0.903,0.903,0.649,0.649
7,T1161TS494_5o,7802.238,7802.238,0.888,0.888,0.642,0.642
8,T1161TS205_5o,8146.55,8146.55,0.937,0.937,0.645,0.645
9,T1161TS205_3o,7294.049,7294.049,0.901,0.901,0.636,0.636
10,T1161TS494_4o,6392.366,6392.366,0.834,0.834,0.662,0.662
11,T1161TS037_2o,6727.806,6727.806,0.864,0.864,0.665,0.665
12,T1161TS225_3o,7100.193,7100.193,0.881,0.881,0.681,0.681
13,T1161TS288_5o,6074.877,6074.877,0.856,0.856,0.654,0.654
14,T1161TS399_1o,6895.151,6895.151,0.88,0.88,0.68,0.68
15,T1161TS147_3o,8553.462,8553.462,0.934,0.934,0.677,0.677
16,T1161TS360_2o,7888.823,7888.823,0.895,0.895,0.646,0.646
17,T1161TS423_3o,6816.176,6816.176,0.908,0.908,0.644,0.644
18,T1161TS225_4o,7281.551,7281.551,0.961,0.961,0.679,0.679
19,T1161TS477_1o,7037.077,7037.077,0.94,0.94,0.651,0.651
20,T1161TS185_1o,6786.108,6786.108,0.85,0.85,0.69,0.69
21,T1161TS185_4o,6769.239,6769.239,0.858,0.858,0.682,0.682
22,T1161TS158_3o,7042.327,7042.327,0.872,0.872,0.639,0.639
23,T1161TS131_1o,7491.215,7491.215,0.899,0.899,0.629,0.629
24,T1161TS288_2o,5850.819,5850.819,0.837,0.837,0.647,0.647
25,T1161TS147_2o,9359.759,9359.759,0.965,0.965,0.659,0.659
26,T1161TS185_5o,6235.856,6235.856,0.806,0.806,0.685,0.685
27,T1161TS185_2o,6079.961,6079.961,0.794,0.794,0.662,0.662
28,T1161TS147_4o,7902.963,7902.963,0.93,0.93,0.652,0.652
29,T1161TS147_5o,7752.205,7752.205,0.941,0.941,0.657,0.657
30,T1161TS147_1o,8500.11,8500.11,0.99,0.99,0.689,0.689
31,T1161TS205_4o,7430.055,7430.055,0.945,0.945,0.681,0.681
32,T1161TS091_2o,7690.962,7690.962,0.946,0.946,0.626,0.626
33,T1161TS423_1o,7365.152,7365.152,0.969,0.969,0.666,0.666
34,T1161TS037_5o,8897.57,8897.57,0.958,0.958,0.697,0.697
35,T1161TS288_4o,6789.389,6789.389,0.845,0.845,0.643,0.643
36,T1161TS091_3o,7370.936,7370.936,0.88,0.88,0.603,0.603
37,T1161TS073_2o,7104.847,7104.847,0.919,0.919,0.66,0.66
38,T1161TS205_2o,7153.584,7153.584,0.929,0.929,0.694,0.694
39,T1161TS494_3o,7542.137,7542.137,0.957,0.957,0.646,0.646
40,T1161TS073_3o,7266.818,7266.818,0.916,0.916,0.693,0.693
41,T1161TS444_2o,6691.633,6691.633,0.869,0.869,0.624,0.624
42,T1161TS073_4o,7232.9,7232.9,0.918,0.918,0.648,0.648
43,T1161TS073_1o,7624.019,7624.019,0.954,0.954,0.627,0.627
44,T1161TS073_5o,8559.041,8559.041,0.958,0.958,0.635,0.635
45,T1161TS037_1o,7130.23,7130.23,0.975,0.975,0.667,0.667
46,T1161TS278_5o,7295.737,7295.737,0.937,0.937,0.678,0.678
47,T1161TS248_1o,7275.498,7275.498,0.971,0.971,0.697,0.697
48,T1161TS037_4o,6974.874,6974.874,0.925,0.925,0.689,0.689
49,T1161TS374_1o,6763.145,6763.145,0.925,0.925,0.671,0.671
50,T1161TS494_1o,6757.519,6757.519,0.976,0.976,0.699,0.699
51,T1161TS447_5o,6659.812,6659.812,0.97,0.97,0.692,0.692
52,T1161TS350_4o,6646.528,6646.528,0.933,0.933,0.674,0.674
53,T1161TS462_5o,6839.353,6839.353,0.892,0.892,0.617,0.617
54,T1161TS350_3o,6646.253,6646.253,1.0,1.0,0.675,0.675
55,T1161TS037_3o,6021.882,6021.882,0.994,0.994,0.688,0.688
56,T1161TS314_2o,3473.511,3473.511,0.893,0.893,0.649,0.649
57,T1161TS314_1o,3934.493,3934.493,0.991,0.991,0.677,0.677
58,T1161TS439_4o,6858.376,6858.376,0.843,0.843,0.64,0.64
59,T1161TS239_2o,6718.407,6718.407,0.853,0.853,0.63,0.63
