,T1115TS003_1o,T1115TS003_2o,T1115TS003_3o,T1115TS003_4o,T1115TS003_5o,T1115TS035_1o,T1115TS035_2o,T1115TS035_3o,T1115TS035_4o,T1115TS035_5o,T1115TS054_1o,T1115TS054_2o,T1115TS054_3o,T1115TS054_4o,T1115TS054_5o,T1115TS071_1o,T1115TS071_2o,T1115TS071_3o,T1115TS071_4o,T1115TS071_5o,T1115TS086_1o,T1115TS086_2o,T1115TS086_3o,T1115TS086_4o,T1115TS086_5o,T1115TS091_1o,T1115TS091_2o,T1115TS091_3o,T1115TS091_4o,T1115TS091_5o,T1115TS098_1o,T1115TS098_2o,T1115TS098_3o,T1115TS098_4o,T1115TS098_5o,T1115TS119_1o,T1115TS119_2o,T1115TS119_3o,T1115TS119_4o,T1115TS119_5o,T1115TS125_1o,T1115TS125_2o,T1115TS125_3o,T1115TS125_4o,T1115TS125_5o,T1115TS131_1o,T1115TS131_2o,T1115TS131_3o,T1115TS131_4o,T1115TS131_5o,T1115TS147_1o,T1115TS147_2o,T1115TS147_3o,T1115TS147_4o,T1115TS147_5o,T1115TS150_1o,T1115TS150_2o,T1115TS150_3o,T1115TS150_4o,T1115TS150_5o,T1115TS158_1o,T1115TS158_2o,T1115TS158_3o,T1115TS158_4o,T1115TS158_5o,T1115TS165_1o,T1115TS165_2o,T1115TS165_3o,T1115TS165_4o,T1115TS165_5o,T1115TS169_1o,T1115TS169_2o,T1115TS169_3o,T1115TS169_4o,T1115TS169_5o,T1115TS180_1o,T1115TS180_2o,T1115TS180_3o,T1115TS180_4o,T1115TS180_5o,T1115TS185_1o,T1115TS185_2o,T1115TS185_3o,T1115TS185_4o,T1115TS185_5o,T1115TS187_1o,T1115TS187_2o,T1115TS187_3o,T1115TS187_4o,T1115TS187_5o,T1115TS188_1o,T1115TS188_2o,T1115TS188_3o,T1115TS188_4o,T1115TS188_5o,T1115TS234_1o,T1115TS239_1o,T1115TS239_2o,T1115TS239_3o,T1115TS239_4o,T1115TS239_5o,T1115TS248_1o,T1115TS248_2o,T1115TS248_3o,T1115TS248_4o,T1115TS248_5o,T1115TS278_1o,T1115TS278_2o,T1115TS278_3o,T1115TS278_4o,T1115TS278_5o,T1115TS288_1o,T1115TS288_2o,T1115TS288_3o,T1115TS288_4o,T1115TS288_5o,T1115TS298_1o,T1115TS298_2o,T1115TS298_3o,T1115TS298_4o,T1115TS298_5o,T1115TS320_1o,T1115TS320_2o,T1115TS320_3o,T1115TS320_4o,T1115TS348_1o,T1115TS348_2o,T1115TS348_3o,T1115TS348_4o,T1115TS348_5o,T1115TS352_1o,T1115TS352_2o,T1115TS352_3o,T1115TS352_4o,T1115TS352_5o,T1115TS360_1o,T1115TS360_2o,T1115TS360_3o,T1115TS360_4o,T1115TS360_5o,T1115TS367_1o,T1115TS367_2o,T1115TS367_3o,T1115TS367_4o,T1115TS367_5o,T1115TS374_1o,T1115TS374_2o,T1115TS374_3o,T1115TS374_4o,T1115TS374_5o,T1115TS385_1o,T1115TS390_1o,T1115TS390_2o,T1115TS390_3o,T1115TS390_4o,T1115TS390_5o,T1115TS397_1o,T1115TS397_2o,T1115TS397_3o,T1115TS397_4o,T1115TS397_5o,T1115TS399_1o,T1115TS399_2o,T1115TS399_3o,T1115TS399_4o,T1115TS399_5o,T1115TS423_1o,T1115TS423_2o,T1115TS423_3o,T1115TS423_4o,T1115TS423_5o,T1115TS439_1o,T1115TS439_2o,T1115TS439_3o,T1115TS439_4o,T1115TS439_5o,T1115TS461_1o,T1115TS462_1o,T1115TS462_2o,T1115TS462_3o,T1115TS462_4o,T1115TS462_5o,T1115TS494_1o,T1115TS494_2o,T1115TS494_3o,T1115TS494_4o,T1115TS494_5o
0,1.0,0.78652,0.91151,0.67625,0.72578,0.29431,0.34553,0.3183,0.32035,0.33681,0.13398,0.31779,0.15131,0.16828,0.16841,0.05934,0.10206,0.10452,0.06755,0.05925,0.90824,0.91413,0.91899,0.94798,0.96325,0.37417,0.31143,0.37712,0.35981,0.36958,0.38032,0.38032,0.12984,0.12984,0.38046,0.25393,0.27664,0.17991,0.28843,0.17719,0.13398,0.31779,0.15131,0.16828,0.16841,0.3928,0.28278,0.26788,0.24596,0.31538,0.39075,0.20885,0.86619,0.42143,0.37335,0.3473,0.32788,0.32905,0.37262,0.38661,0.94798,0.96325,0.95268,0.90824,0.91413,0.35431,0.35252,0.3523,0.35431,0.3984,0.38032,0.12984,0.38032,0.12984,0.12984,0.43347,0.29395,0.34766,0.25059,0.21766,0.40005,0.39714,0.39893,0.40364,0.39619,0.19298,0.23054,0.23377,0.22397,0.22533,0.36077,0.36077,0.36077,0.36013,0.38046,0.23744,0.31481,0.20419,0.21431,0.26898,0.19602,0.31747,0.29431,0.34553,0.3183,0.31728,0.17435,0.1744,0.10651,0.37294,0.15341,0.23182,0.20378,0.20122,0.20152,0.19719,0.38046,0.36013,0.34457,0.36033,0.34105,0.34859,0.37566,0.20501,0.35268,0.36615,0.36706,0.38717,0.37879,0.37986,0.32934,0.32438,0.32213,0.35591,0.36253,0.27889,0.28335,0.25286,0.32676,0.28446,0.95894,0.77222,0.92339,0.66962,0.72341,0.40566,0.39717,0.4169,0.41366,0.40462,0.05208,0.46776,0.44368,0.45217,0.44447,0.45155,0.30037,0.35825,0.35446,0.36516,0.33663,0.13398,0.31779,0.15131,0.16828,0.16841,0.60222,0.59756,0.45551,0.62819,0.5645,0.21431,0.18342,0.20419,0.30398,0.26898,0.84302,0.06048,0.06034,0.07114,0.05966,0.06034,0.37146,0.369,0.37619,0.34531,0.3751
1,0.78652,1.0,0.79055,0.50976,0.62269,0.27572,0.30942,0.30995,0.30444,0.38869,0.14149,0.33151,0.14487,0.17869,0.14153,0.05865,0.06055,0.05922,0.05839,0.05854,0.79593,0.8114,0.8074,0.79114,0.80776,0.38213,0.29943,0.39377,0.39914,0.38299,0.37764,0.37764,0.13554,0.13554,0.37591,0.26767,0.27088,0.17915,0.26127,0.17847,0.14149,0.33151,0.14487,0.17869,0.14153,0.39722,0.30085,0.26995,0.2503,0.32013,0.41724,0.20916,0.68062,0.44547,0.42338,0.35083,0.36107,0.32081,0.40884,0.39743,0.79114,0.80776,0.78929,0.79593,0.8114,0.34481,0.28954,0.35055,0.34481,0.41143,0.37764,0.13554,0.37764,0.13554,0.13554,0.40131,0.29497,0.34281,0.28296,0.22607,0.39434,0.39163,0.39709,0.40095,0.38942,0.20046,0.22507,0.23244,0.22374,0.22683,0.36697,0.36697,0.36697,0.36745,0.37591,0.22348,0.33885,0.20417,0.21738,0.28917,0.18993,0.30285,0.27572,0.30942,0.30995,0.32397,0.17239,0.17218,0.10327,0.35452,0.15465,0.2414,0.2116,0.21032,0.21108,0.20704,0.37591,0.36743,0.35707,0.36461,0.3647,0.42264,0.37773,0.20046,0.35834,0.42271,0.4195,0.42188,0.42288,0.36093,0.36313,0.36587,0.36411,0.39942,0.3951,0.31523,0.31888,0.26744,0.32837,0.29121,0.80724,0.91503,0.79168,0.54877,0.6056,0.42079,0.42091,0.41937,0.41368,0.41906,0.05162,0.44,0.4064,0.41325,0.38294,0.41292,0.34169,0.34189,0.31952,0.35547,0.33547,0.14149,0.33151,0.14487,0.17869,0.14153,0.50498,0.55729,0.41716,0.5517,0.53161,0.21738,0.18508,0.20417,0.33477,0.28917,0.77945,0.05784,0.05774,0.05827,0.05773,0.05745,0.35585,0.35361,0.36203,0.32474,0.35782
2,0.91151,0.79055,1.0,0.61296,0.71857,0.29627,0.33126,0.32433,0.32176,0.33221,0.13507,0.32202,0.21655,0.1713,0.16455,0.09275,0.05959,0.06093,0.05981,0.08851,0.94583,0.94705,0.93892,0.91558,0.9195,0.37672,0.3292,0.37419,0.35839,0.37737,0.38594,0.38594,0.1053,0.1053,0.38411,0.26343,0.2899,0.18776,0.28427,0.18085,0.13507,0.32202,0.21655,0.1713,0.16455,0.39686,0.29772,0.26844,0.24101,0.30685,0.39384,0.20539,0.86029,0.43256,0.39116,0.35868,0.33726,0.33996,0.38768,0.39976,0.91558,0.9195,0.91051,0.94583,0.94705,0.35182,0.32652,0.35092,0.35182,0.40986,0.38594,0.1053,0.38594,0.1053,0.1053,0.42975,0.29423,0.31277,0.25369,0.21986,0.4023,0.40045,0.39946,0.40743,0.40038,0.1993,0.23379,0.23324,0.22477,0.22593,0.36958,0.36958,0.36958,0.36737,0.38411,0.1894,0.32624,0.19939,0.21173,0.27216,0.19658,0.31836,0.29627,0.33126,0.32433,0.33026,0.1718,0.17158,0.10778,0.37212,0.15203,0.23683,0.19229,0.19136,0.19231,0.18847,0.38411,0.36986,0.35331,0.36587,0.32834,0.38462,0.38334,0.21021,0.33234,0.40333,0.40366,0.39613,0.39801,0.38392,0.33833,0.33207,0.32973,0.36933,0.36896,0.27657,0.28119,0.25286,0.3356,0.27945,0.91768,0.77136,0.94824,0.65892,0.71291,0.40903,0.39827,0.41806,0.40871,0.40551,0.05287,0.4687,0.43803,0.44968,0.44264,0.45122,0.36501,0.32587,0.30081,0.37041,0.3403,0.13507,0.32202,0.21655,0.1713,0.16455,0.5736,0.60817,0.46437,0.61866,0.5617,0.21173,0.18604,0.19939,0.30572,0.27216,0.79451,0.08174,0.08311,0.11552,0.08393,0.0921,0.3762,0.37346,0.38082,0.34996,0.37083
3,0.67625,0.50976,0.61296,1.0,0.87025,0.2502,0.30355,0.25138,0.22103,0.28636,0.12009,0.26215,0.18708,0.15746,0.15419,0.05835,0.06466,0.06193,0.0598,0.05948,0.66721,0.65248,0.65884,0.67481,0.67723,0.29938,0.27459,0.30085,0.30434,0.29823,0.32809,0.32809,0.15524,0.15524,0.32406,0.21001,0.2319,0.18243,0.24109,0.17597,0.12009,0.26215,0.18708,0.15746,0.15419,0.36626,0.27307,0.244,0.22875,0.29243,0.30689,0.18759,0.70029,0.34095,0.31162,0.29558,0.27294,0.29165,0.32014,0.32552,0.67481,0.67723,0.67001,0.66721,0.65248,0.31529,0.31378,0.31259,0.31529,0.35114,0.32809,0.15524,0.32809,0.15524,0.15524,0.41644,0.27926,0.28214,0.24719,0.18891,0.34849,0.34551,0.34797,0.35079,0.34322,0.20255,0.22955,0.2217,0.22257,0.21581,0.30425,0.30425,0.30425,0.3039,0.32406,0.2136,0.28797,0.19596,0.20644,0.21234,0.17633,0.24514,0.2502,0.30355,0.25138,0.27108,0.17235,0.17128,0.10865,0.3318,0.15441,0.21812,0.1902,0.19187,0.19396,0.18555,0.32406,0.3039,0.28945,0.30275,0.28702,0.31018,0.2809,0.1773,0.28627,0.32699,0.32555,0.32158,0.33263,0.32064,0.27287,0.26963,0.2677,0.30046,0.30418,0.26994,0.272,0.24401,0.28532,0.23092,0.66645,0.52854,0.65492,0.96244,0.87947,0.35721,0.35395,0.3545,0.36046,0.36956,0.05123,0.44014,0.47214,0.46065,0.4603,0.45796,0.31982,0.32208,0.31836,0.3226,0.29565,0.12009,0.26215,0.18708,0.15746,0.15419,0.55819,0.47658,0.4329,0.57038,0.46819,0.20644,0.18222,0.19596,0.26997,0.21234,0.62814,0.06077,0.06881,0.06413,0.06909,0.06057,0.32551,0.32277,0.33371,0.30684,0.33377
4,0.72578,0.62269,0.71857,0.87025,1.0,0.25096,0.29411,0.29229,0.25797,0.30875,0.12514,0.28309,0.19744,0.16523,0.16054,0.06001,0.06093,0.07267,0.06049,0.05851,0.72566,0.71272,0.72124,0.73472,0.73742,0.32158,0.27335,0.31328,0.32682,0.31595,0.33846,0.33846,0.14021,0.14021,0.33699,0.23236,0.25855,0.18558,0.26658,0.17967,0.12514,0.28309,0.19744,0.16523,0.16054,0.37203,0.27513,0.25219,0.23328,0.29708,0.33533,0.20074,0.73446,0.3689,0.34512,0.31027,0.29117,0.30334,0.33411,0.34422,0.73472,0.73742,0.72732,0.72566,0.71272,0.31983,0.27847,0.31756,0.31983,0.36996,0.33846,0.14021,0.33846,0.14021,0.14021,0.44392,0.28425,0.30446,0.23794,0.1959,0.35912,0.35677,0.35939,0.36241,0.35551,0.20646,0.23095,0.2261,0.2235,0.21817,0.31924,0.31924,0.31924,0.31963,0.33699,0.18654,0.29741,0.20178,0.20896,0.24198,0.17725,0.27795,0.25096,0.29411,0.29229,0.29388,0.17471,0.17105,0.10932,0.33898,0.15588,0.22909,0.19659,0.19502,0.19608,0.18938,0.33699,0.31965,0.30709,0.31821,0.30337,0.33522,0.32552,0.17881,0.3388,0.34717,0.35115,0.33595,0.34649,0.34036,0.29509,0.29116,0.28943,0.32099,0.32319,0.26265,0.27944,0.22752,0.30863,0.2649,0.72534,0.59606,0.71686,0.87555,0.95806,0.37497,0.36828,0.37256,0.37331,0.37543,0.05374,0.44379,0.47416,0.48133,0.46749,0.47192,0.32773,0.30257,0.28838,0.29316,0.31188,0.12514,0.28309,0.19744,0.16523,0.16054,0.54976,0.49854,0.42792,0.56245,0.47788,0.20896,0.18425,0.20178,0.28774,0.24198,0.68124,0.05926,0.05918,0.06206,0.05938,0.05917,0.33597,0.33283,0.34112,0.30059,0.33798
5,0.29621,0.27572,0.29902,0.24011,0.25013,1.0,0.73461,0.78651,0.73958,0.21763,0.26796,0.2746,0.43883,0.28712,0.21474,0.06035,0.06123,0.07143,0.08368,0.07881,0.28724,0.29609,0.28955,0.29272,0.27998,0.14204,0.67487,0.14105,0.14306,0.14194,0.16196,0.16196,0.11898,0.11898,0.16348,0.43657,0.17933,0.1822,0.18388,0.1818,0.26796,0.2746,0.43883,0.28712,0.21474,0.25787,0.25898,0.30922,0.12633,0.1242,0.29038,0.23665,0.30699,0.15335,0.25904,0.16434,0.142,0.19017,0.14084,0.15408,0.29272,0.27998,0.29165,0.28724,0.29609,0.52485,0.48917,0.52349,0.52485,0.44889,0.16196,0.11898,0.16196,0.11898,0.11898,0.19956,0.16458,0.19212,0.12098,0.20439,0.1761,0.17464,0.16892,0.17162,0.54084,0.14672,0.156,0.15679,0.16056,0.15531,0.15974,0.15974,0.15974,0.16007,0.16348,0.4156,0.25304,0.14655,0.15603,0.11265,0.11365,0.73577,1.0,0.73461,0.78651,0.50006,0.12653,0.09179,0.0971,0.19101,0.08437,0.17639,0.16108,0.15475,0.16028,0.15872,0.16348,0.16007,0.16168,0.1581,0.14941,0.13903,0.32569,0.28128,0.3343,0.15213,0.15375,0.15033,0.14769,0.15048,0.13893,0.13276,0.13266,0.13512,0.134,0.181,0.21092,0.21265,0.22531,0.18117,0.29025,0.26505,0.29364,0.24432,0.25454,0.38667,0.14931,0.14889,0.14783,0.14771,0.06892,0.23555,0.21227,0.22734,0.2161,0.22328,0.19216,0.19054,0.18959,0.18298,0.16656,0.26796,0.2746,0.43883,0.28712,0.21474,0.29597,0.35239,0.306,0.31197,0.32091,0.15603,0.13188,0.14655,0.24858,0.11265,0.30221,0.0652,0.06258,0.05871,0.06108,0.06116,0.18579,0.18639,0.18478,0.19353,0.17722
6,0.34844,0.32091,0.35365,0.28524,0.31603,0.73461,1.0,0.87437,0.87225,0.1336,0.21242,0.4556,0.41215,0.28733,0.21715,0.06388,0.06231,0.06799,0.09077,0.0615,0.33052,0.34907,0.33146,0.34229,0.31514,0.4358,0.74023,0.42837,0.14813,0.43213,0.20884,0.20884,0.12166,0.12166,0.20363,0.48444,0.61589,0.18667,0.61549,0.19355,0.21242,0.4556,0.41215,0.28733,0.21715,0.29362,0.29827,0.30068,0.28249,0.33611,0.41041,0.24761,0.35067,0.41156,0.37427,0.17063,0.151,0.18665,0.15291,0.51938,0.34229,0.31514,0.34448,0.33052,0.34907,0.69751,0.63902,0.66432,0.69751,0.59517,0.20884,0.12166,0.20884,0.12166,0.12166,0.2557,0.17963,0.23755,0.27026,0.28898,0.68899,0.71173,0.64164,0.71194,0.74527,0.16678,0.18341,0.16807,0.1849,0.17067,0.18821,0.18821,0.18821,0.18191,0.20363,0.31361,0.29745,0.16765,0.18063,0.13811,0.23024,0.86955,0.73461,1.0,0.87437,0.17377,0.14498,0.14994,0.09511,0.71622,0.13526,0.19917,0.17551,0.17444,0.18651,0.1747,0.203,0.18191,0.16592,0.1812,0.15619,0.34055,0.16752,0.21016,0.4582,0.15866,0.16104,0.15656,0.15616,0.1559,0.14876,0.38876,0.14306,0.14326,0.39243,0.25542,0.24771,0.26691,0.22644,0.23136,0.34457,0.32126,0.32808,0.27351,0.30778,0.54091,0.54101,0.56426,0.54833,0.52319,0.0596,0.27385,0.25245,0.25639,0.2573,0.25616,0.74286,0.75163,0.74972,0.73632,0.17316,0.21242,0.4556,0.41215,0.28733,0.21715,0.36254,0.43514,0.36305,0.37875,0.39841,0.18063,0.15102,0.16765,0.28448,0.13811,0.35028,0.06865,0.0679,0.06351,0.06396,0.07295,0.7388,0.71613,0.7582,0.71686,0.60643
7,0.3183,0.29911,0.32433,0.25134,0.29403,0.78651,0.87437,1.0,0.81957,0.2735,0.23218,0.37946,0.41763,0.28202,0.21735,0.06169,0.05788,0.06764,0.0581,0.06109,0.31723,0.32154,0.27444,0.31471,0.29695,0.37801,0.72572,0.15133,0.37904,0.38141,0.20077,0.20077,0.1293,0.1293,0.19908,0.46794,0.17411,0.18632,0.18125,0.19227,0.23218,0.37946,0.41763,0.28202,0.21735,0.1515,0.2794,0.27949,0.11099,0.30427,0.38922,0.23278,0.31878,0.16418,0.15152,0.16952,0.40825,0.19182,0.15132,0.16711,0.31471,0.29695,0.29901,0.31723,0.32154,0.62361,0.57094,0.6181,0.62361,0.53031,0.20077,0.1293,0.20077,0.1293,0.1293,0.24718,0.16285,0.224,0.27604,0.12272,0.22422,0.2121,0.21051,0.20816,0.21105,0.15934,0.16891,0.15881,0.17287,0.16204,0.18682,0.18682,0.18682,0.18612,0.19908,0.32318,0.14084,0.15979,0.16849,0.13494,0.21717,0.81664,0.78651,0.87437,1.0,0.18334,0.13556,0.09741,0.09185,0.22732,0.12703,0.19195,0.16873,0.16784,0.17395,0.16544,0.19908,0.18612,0.16736,0.19078,0.15527,0.1492,0.40234,0.20633,0.15407,0.16418,0.16487,0.16245,0.1605,0.16107,0.14713,0.1428,0.34694,0.14483,0.14879,0.1319,0.17147,0.25609,0.16928,0.22165,0.3224,0.30402,0.31716,0.27991,0.26745,0.16938,0.1692,0.16668,0.18268,0.17454,0.05516,0.25296,0.21484,0.24398,0.2179,0.24225,0.19457,0.19097,0.19144,0.18809,0.16643,0.23218,0.37946,0.41763,0.28202,0.21735,0.33831,0.40041,0.34006,0.35543,0.36041,0.16849,0.14274,0.15979,0.13458,0.13494,0.32616,0.06891,0.06803,0.06779,0.05778,0.05721,0.19298,0.19376,0.21418,0.19721,0.23246
8,0.32035,0.30341,0.32288,0.2641,0.25687,0.73958,0.87225,0.8196,1.0,0.12606,0.21138,0.36245,0.38868,0.26187,0.21026,0.0576,0.05959,0.05918,0.05954,0.06503,0.31281,0.31928,0.28344,0.28613,0.31731,0.36501,0.693,0.35925,0.36236,0.36689,0.1598,0.1598,0.11738,0.11738,0.15854,0.49762,0.18249,0.18715,0.19998,0.19399,0.21138,0.36245,0.38868,0.26187,0.21026,0.27237,0.30821,0.28713,0.25722,0.30348,0.35835,0.23316,0.3379,0.14878,0.3214,0.15934,0.14004,0.17746,0.36461,0.15214,0.28613,0.31731,0.30021,0.31281,0.31928,0.6593,0.61928,0.62873,0.6593,0.53681,0.1598,0.11738,0.1598,0.11738,0.11738,0.21072,0.14896,0.21688,0.27077,0.25321,0.60602,0.63611,0.5667,0.6348,0.66009,0.17435,0.16531,0.16134,0.16714,0.15575,0.15111,0.15111,0.15111,0.15113,0.15854,0.34129,0.28299,0.16947,0.17079,0.13514,0.23493,0.94743,0.73958,0.87225,0.8196,0.16304,0.08315,0.13658,0.0893,0.62558,0.08808,0.17349,0.18779,0.18382,0.18735,0.18983,0.15854,0.15113,0.15614,0.14849,0.14571,0.29222,0.38398,0.20795,0.403,0.14951,0.14984,0.14783,0.14499,0.14744,0.13744,0.31319,0.30888,0.33415,0.13682,0.23688,0.23197,0.2523,0.23412,0.19744,0.31009,0.29348,0.31453,0.28162,0.28941,0.48297,0.48112,0.50444,0.49132,0.47407,0.0627,0.259,0.23222,0.23717,0.23629,0.2367,0.64875,0.66702,0.65573,0.6438,0.55069,0.21138,0.36245,0.38868,0.26187,0.21026,0.27969,0.38227,0.36028,0.34276,0.39477,0.17079,0.14862,0.16947,0.27053,0.13514,0.31769,0.05843,0.05827,0.05657,0.0609,0.06018,0.64892,0.6275,0.66916,0.63437,0.16952
9,0.32304,0.38869,0.34133,0.29281,0.30875,0.21763,0.28803,0.1394,0.12563,1.0,0.17059,0.5469,0.27893,0.22489,0.13717,0.06055,0.11542,0.05975,0.06408,0.06033,0.33646,0.33798,0.34698,0.34126,0.33512,0.54958,0.29579,0.54196,0.54534,0.55113,0.54421,0.54421,0.12705,0.12705,0.54206,0.11691,0.24533,0.1541,0.24968,0.15839,0.17059,0.5469,0.27893,0.22489,0.13717,0.29329,0.25213,0.27313,0.25134,0.27851,0.55161,0.21815,0.36375,0.49927,0.53118,0.46305,0.51626,0.30542,0.66178,0.55937,0.34126,0.33512,0.32332,0.33646,0.33798,0.31784,0.3245,0.32793,0.31784,0.48405,0.54421,0.12705,0.54421,0.12705,0.12705,0.26444,0.24797,0.3181,0.26408,0.26796,0.36104,0.35583,0.37751,0.39156,0.35628,0.15892,0.17409,0.18506,0.174,0.1917,0.48507,0.48507,0.48507,0.48544,0.54206,0.12986,0.26925,0.16338,0.17256,0.3688,0.19892,0.25502,0.21763,0.28803,0.1394,0.4196,0.14687,0.14725,0.08795,0.30095,0.12747,0.20467,0.18012,0.17749,0.17778,0.16507,0.54206,0.48544,0.48102,0.47184,0.54152,0.48386,0.44747,0.22211,0.39938,0.62196,0.61763,0.65654,0.65001,0.66081,0.5325,0.55571,0.55092,0.68884,0.67414,0.32184,0.30739,0.26142,0.30842,0.32373,0.34001,0.35451,0.33953,0.32846,0.30645,0.55091,0.55477,0.58508,0.55792,0.58995,0.05474,0.26341,0.2613,0.26248,0.25942,0.26732,0.27826,0.27483,0.27264,0.29823,0.38026,0.17059,0.5469,0.27893,0.22489,0.13717,0.30724,0.3965,0.32679,0.34177,0.4004,0.17256,0.14597,0.16338,0.2703,0.3688,0.29728,0.05976,0.05978,0.06222,0.05971,0.05978,0.29323,0.28866,0.29277,0.25935,0.34389
